ゾーン,アクセシビリティ
23区,1.8000505
宇都宮,2.148909667
宇部,13.582397
浦和,5.402197
横浜,5.8624155
下関,5.473706
岩国,6.484661
岐阜,14.22067
魚沼,15.434137
京都,2.516131
郡山,2.988278
県南,1.189370167
古川,5.064008
広島,2.1048235
三条・燕,1.75421
山形,1.318608
山口,10.89559674
児玉・大里,0.709362
鹿児島,1.914564167
秋田臨海,2.311534
小田原,1.269578
沼田・利根,8.530667
上田,0.533404
新潟,2.106284667
新庄,0.439995
神戸,1.726407
盛岡,1.524693
西部,1.775446167
仙台,1.31846
川北薩・串木野,0.833974167
前橋・高崎,8.875836
大阪,1.105121
中部,1.373942
長岡,0.290943
長野,1.080028
東三河,1.495263667
東部,5.5329345
東北部,5.432358
徳山,7.290624
栃木・小山,9.441102259
那須,6.907336
南部,4.994543
播磨,1.429247667
白河,2.551979667
八代・芦北,2.496511667
備後,0.567265167
福岡,1.753659
福島,1.980693833
米沢,1.755003
豊田,10.308364
北九州,0.744473333
北上中部,5.206247
名古屋,2.940860333
両磐,1.384481
