OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
1,18,103,羽田,南紀白浜,羽田南紀白浜,,JAL,70,29000,31200,3,570,,1,,,,
2,103,18,南紀白浜,羽田,南紀白浜羽田,,JAL,70,29000,31200,3,330,,1,,,,
3,18,105,羽田,北九州,羽田北九州,,JAL,100,36700,38900,4,615,,2,,,,
3,18,105,羽田,北九州,羽田北九州,,SFJ,100,29600,31600,11,705,,2,,,,
4,105,18,北九州,羽田,北九州羽田,,JAL,100,36700,38900,4,625,,2,,,,
4,105,18,北九州,羽田,北九州羽田,,SFJ,100,29600,31600,11,980,,2,,,,
5,18,106,羽田,佐賀,羽田佐賀,,ANA,110,36700,38900,3,570,,1,,,,
6,106,18,佐賀,羽田,佐賀羽田,,ANA,110,36700,38900,3,600,,1,,,,
7,102,106,伊丹,佐賀,伊丹佐賀,,ANA,65,21900,24100,2,275,,1,,,,
8,106,102,佐賀,伊丹,佐賀伊丹,,ANA,65,21900,24100,2,0,,1,,,,
9,18,104,羽田,神戸,羽田神戸,,JAL,70,22500,24600,2,480,,3,,,,
9,18,104,羽田,神戸,羽田神戸,,ANA,70,22500,24600,2,790,,3,,,,
9,18,104,羽田,神戸,羽田神戸,,SKY,70,11400,11900,6,690,,3,,,,
10,104,18,神戸,羽田,神戸羽田,,JAL,70,22500,24600,2,715,,3,,,,
10,104,18,神戸,羽田,神戸羽田,,ANA,70,22500,24600,2,710,,3,,,,
10,104,18,神戸,羽田,神戸羽田,,SKY,70,11400,11900,6,695,,3,,,,
11,18,201,羽田,青森,羽田青森,,JAL,80,30100,32300,6,725,,1,,,,
12,201,18,青森,羽田,青森羽田,,JAL,80,30100,32300,6,620,,1,,,,
13,18,10,羽田,三沢,羽田三沢,,JAL,80,29500,31700,3,585,,1,,,,
14,10,18,三沢,羽田,三沢羽田,,JAL,80,29500,31700,3,350,,1,,,,
15,18,202,羽田,大館,羽田大館,,ANA,70,27900,30100,2,565,,1,,,,
16,202,18,大館,羽田,大館羽田,,ANA,70,27900,30100,2,355,,1,,,,
17,18,13,羽田,秋田,羽田秋田,,JAL,70,24600,26800,3,660,,2,,,,
17,18,13,羽田,秋田,羽田秋田,,ANA,70,24600,26800,4,480,,2,,,,
18,13,18,秋田,羽田,秋田羽田,,JAL,70,24600,26800,3,430,,2,,,,
18,13,18,秋田,羽田,秋田羽田,,ANA,70,24600,26800,4,700,,2,,,,
19,18,203,羽田,庄内,羽田庄内,,ANA,60,20400,22600,4,585,,1,,,,
20,203,18,庄内,羽田,庄内羽田,,ANA,60,20400,22600,4,725,,1,,,,
21,18,15,羽田,山形,羽田山形,,JAL,60,18200,20400,1,80,,1,,,,
22,15,18,山形,羽田,山形羽田,,JAL,60,18200,20400,1,0,,1,,,,
23,18,12,羽田,仙台,羽田仙台,,ANA,60,18100,20300,2,0,,2,,,,
23,18,12,羽田,仙台,羽田仙台,,IBX,60,18100,20300,2,270,,2,,,,
24,12,18,仙台,羽田,仙台羽田,,ANA,60,18100,20300,2,450,,2,,,,
24,12,18,仙台,羽田,仙台羽田,,IBX,60,18100,20300,2,0,,2,,,,
25,18,204,羽田,石見,羽田石見,,ANA,90,35800,37900,2,35,,1,,,,
26,204,18,石見,羽田,石見羽田,,ANA,90,35800,37900,2,0,,1,,,,
27,18,30,羽田,岡山,羽田岡山,,JAL,80,30100,32300,4,615,,2,,,,
27,18,30,羽田,岡山,羽田岡山,,ANA,80,30100,32300,5,635,,2,,,,
28,30,18,岡山,羽田,岡山羽田,,JAL,80,30100,32300,4,650,,2,,,,
28,30,18,岡山,羽田,岡山羽田,,ANA,80,30100,32300,5,655,,2,,,,
29,18,32,羽田,山口宇部,羽田山口宇部,,JAL,100,34600,36700,3,605,,2,,,,
29,18,32,羽田,山口宇部,羽田山口宇部,,ANA,100,34600,36700,5,655,,2,,,,
30,32,18,山口宇部,羽田,山口宇部羽田,,JAL,100,34600,36700,3,330,,2,,,,
30,32,18,山口宇部,羽田,山口宇部羽田,,ANA,100,34600,36700,5,575,,2,,,,
31,18,41,羽田,熊本,羽田熊本,,JAL,110,36700,36700,7,535,,3,,,,
31,18,41,羽田,熊本,羽田熊本,,ANA,110,36700,36700,5,600,,3,,,,
31,18,41,羽田,熊本,羽田熊本,,SNA,110,28500,28500,4,660,,3,,,,
32,41,18,熊本,羽田,熊本羽田,,JAL,110,36700,36700,7,570,,3,,,,
32,41,18,熊本,羽田,熊本羽田,,ANA,110,36700,36700,5,490,,3,,,,
32,41,18,熊本,羽田,熊本羽田,,SNA,110,28500,28500,4,380,,3,,,,
33,18,44,羽田,鹿児島,羽田鹿児島,,JAL,110,38900,41100,7,590,,3,,,,
33,18,44,羽田,鹿児島,羽田鹿児島,,ANA,110,38900,41100,6,630,,3,,,,
33,18,44,羽田,鹿児島,羽田鹿児島,,SNA,110,31500,31500,3,555,,3,,,,
34,44,18,鹿児島,羽田,鹿児島羽田,,JAL,110,38900,41100,7,565,,3,,,,
34,44,18,鹿児島,羽田,鹿児島羽田,,ANA,110,38900,41100,6,560,,3,,,,
34,44,18,鹿児島,羽田,鹿児島羽田,,SNA,110,31500,31500,3,270,,3,,,,
