"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC"
"1","東京","新千歳","JAL",6604,5903976,"10,177:02",1754613,2936503,"445","1,568,624,022","2,625,233,682",59.8,37511879,"10,529","1,941,826","117,646,801","33,535,620","9,412","1,735,993","152,927,826","305,577,694",50,894,444.655208964264,6598.67554085221,9834
"2","新千歳","東京","JAL",6597,5897718,"10,363:47",1809380,2932480,"445","1,617,585,720","2,621,637,120",61.7,45127017,"10,856","2,168,668","121,318,927","40,343,553","9,704","1,938,790","163,610,974","306,827,148",53.3,894,444.517204790056,6597.14525984987,9834
"3","東京","新千歳","ANA",6078,5433732,"9,603:12",1715570,2809869,"462","1,533,719,580","2,512,022,886",61.1,41168689,"30,270","3,098,436","115,028,970","36,804,808","27,061","2,770,000","154,630,839","460,326,128",33.6,894,462.30157946693,6073.53943547999,9834
"4","新千歳","東京","ANA",6079,5434626,"9,872:53",1750844,2799347,"460","1,565,254,536","2,502,616,218",62.5,41378944,"25,772","1,803,601","117,394,091","36,992,774","23,040","1,612,421","156,022,326","457,656,215",34.1,894,460.494653725942,6083.35053910787,9834
"5","東京","新千歳","SKY",2903,2595282,"4,680:39",397362,513831,"177","355,241,628","459,364,914",77.3,0,"9,841","0","26,643,122","0","8,799","0","26,651,921","48,354,310",55.1,894,177,2904.24715504199,4917
"6","新千歳","東京","SKY",2894,2587236,"4,730:18",396256,512238,"177","354,252,864","457,940,772",77.4,0,"10,280","0","26,568,965","0","9,191","0","26,578,156","48,204,399",55.1,894,177,2892.42178717937,4917
"7","東京","新千歳","ADO",3495,3124530,"5,260:03",602707,849131,"243","538,820,058","759,123,114",71,4874169,"18,057","0","40,411,506","4,357,507","16,142","0","44,785,155","108,743,873",41.2,894,242.955937052933,3493.97964457482,8046
"8","新千歳","東京","ADO",3487,3117378,"5,555:05",598819,848671,"243","535,344,186","758,711,874",70.6,3757075,"18,115","0","40,150,815","3,358,824","16,196","0","43,525,835","108,704,504",40,894,243.381416690565,3485.00540403344,8046
"9","東京","大阪","JAL",5463,2807982,"6,119:26",1262583,2050767,"375","648,967,662","1,054,094,238",61.6,24067801,"7,576","1,801,647","48,672,574","12,370,851","3,894","926,048","61,973,367","129,085,498",48,514,375.392092257002,5460.01839023688,5654
"10","大阪","東京","JAL",5462,2807468,"6,161:32",1315634,2049517,"375","676,235,876","1,053,451,738",64.2,15608944,"7,895","810,766","50,717,691","8,022,997","4,059","416,733","59,161,480","129,032,298",45.9,514,375.231966312706,5461.3527824929,5654
"11","東京","大阪","ANA",5096,2619344,"5,634:53",1324401,2155994,"423","680,742,114","1,108,180,916",61.4,16236237,"9,750","2,426,233","51,055,658","8,345,426","5,013","1,247,084","60,653,181","238,661,542",25.4,514,423.075745682889,5098.38937354316,5654
"12","大阪","東京","ANA",5091,2616774,"5,975:26",1347162,2154392,"423","692,441,268","1,107,357,488",62.5,12415705,"9,974","1,088,445","51,933,096","6,381,673","5,128","559,462","58,879,359","238,506,341",24.7,514,423.17658613239,5093.52187865532,5654
"13","東京","関西","JAL",2281,1546518,"2,934:16",249460,374347,"164","169,133,880","253,807,266",66.6,189389,"1,498","222,910","12,685,040","128,405","1,015","151,135","12,965,595","27,826,206",46.6,678,164.115300306883,2282.32568117755,7458
"14","関西","東京","JAL",2280,1545840,"2,564:35",243321,375328,"165","164,971,638","254,472,384",64.8,689417,"1,459","517,432","12,372,874","467,425","989","350,818","13,192,106","27,885,124",47.3,678,164.617543859649,2281.01672255852,7458
"15","東京","関西","ANA",1617,1096326,"2,033:02",242305,367216,"227","164,282,790","248,972,448",66,3310927,"2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30,678,227.097093382808,1616.61596989238,7458
"16","関西","東京","ANA",1934,1311252,"2,269:21",230813,367208,"190","156,491,214","248,967,024",62.9,2691252,"2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22,678,189.869700103413,1932.65331459713,7458
"17","東京","関西","SFJ",1455,986490,"1,806:39",150657,209520,"144","102,145,446","142,054,560",71.9,0,"502","0","7,660,909","0","341","0","7,661,250","15,258,042",50.2,678,144,1455.1170607325,6102
"18","関西","東京","SFJ",1456,987168,"1,721:20",158283,209664,"144","107,315,874","142,152,192",75.5,0,"539","0","8,048,691","0","366","0","8,049,057","15,268,529",52.7,678,144,1455.87748344371,6102
"19","東京","福岡","JAL",6779,7056939,"12,468:08",1526552,2622464,"387","1,589,140,632","2,729,985,024",58.2,32322041,"9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2,1041,386.851157987904,6780.23453360847,11451
"20","福岡","東京","JAL",6777,7054857,"10,470:03",1546302,2622485,"387","1,609,700,382","2,730,006,885",59,41041524,"9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5,1041,386.968422605873,6772.77703903753,11451
"21","東京","福岡","ANA",6414,6676974,"11,755:05",1605033,2669681,"416","1,670,839,353","2,779,137,921",60.1,33578705,"22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7,1041,416.227159338946,6416.217523109,11451
"22","福岡","東京","ANA",6411,6673851,"10,159:50",1639873,2662324,"415","1,707,107,793","2,771,479,284",61.6,32349941,"22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8,1041,415.274372172828,6410.53643541137,11451
"23","東京","福岡","SKY",3631,3779871,"6,987:51",589790,721349,"199","613,971,390","750,924,309",81.8,0,"11,172","0","46,047,855","0","11,630","0","46,059,485","90,928,997",50.7,1041,198.6640044065,3629.31710795145,5725.5
"24","福岡","東京","SKY",3628,3776748,"5,723:40",601398,720818,"199","626,055,318","750,371,538",83.4,0,"12,824","0","46,954,148","0","13,351","0","46,967,499","90,870,810",51.7,1041,198.681918412348,3629.42297510876,5725.5
"25","東京","那覇","JAL",4232,7139384,"11,217:57",1279999,2035566,"481","2,159,358,313","3,433,999,842",62.9,39015803,"9,600","1,089,710","161,951,875","65,819,660","16,195","1,838,341","229,626,071","366,416,400",62.7,1687,480.993856332703,4230.77038512214,18557
"26","那覇","東京","JAL",4224,7125888,"9,476:17",1285780,2023063,"479","2,169,110,860","3,412,907,281",63.6,27117403,"9,645","243,093","162,683,316","45,747,058","16,272","410,098","208,856,744","376,734,767",55.4,1687,478.944839015152,4221.08456335764,18557
"27","東京","那覇","ANA",3623,6112001,"9,668:04",1106219,1653361,"456","1,866,191,453","2,789,220,007",66.9,23484616,"21,132","2,903,273","139,964,357","39,618,548","35,650","4,897,821","184,516,376","463,134,415",39.8,1687,456.351366271046,3623.39466547459,18557
"28","那覇","東京","ANA",3616,6100192,"8,247:37",1075612,1654187,"457","1,814,557,444","2,790,613,469",65,23754708,"17,448","843,244","136,091,808","40,074,192","29,436","1,422,553","177,617,989","462,875,600",38.4,1687,457.463219026549,3617.31309421765,18557
"29","東京","那覇","JTA",17,28679,"43:50:00",1085,2400,"141","1,830,395","4,048,800",45.2,2293,"0","0","137,280","3,868","0","0","141,148","427,648",33,1687,141.176470588235,17.0031342182891,18557
"30","那覇","東京","JTA",257,433559,"588:27:00",32881,38470,"150","55,470,247","64,898,890",85.5,41893,"0","0","4,160,269","70,675","0","0","4,230,944","6,465,021",65.4,1687,149.688715953307,256.91522368003,18557
"31","東京","那覇","SKY",1087,1833769,"3,077:41",163200,209047,"192","275,318,400","352,662,289",78.1,0,"14,489","0","20,648,879","0","24,442","0","20,673,321","41,249,213",50.1,1687,192.315547378105,1086.56253208152,9278.5
"32","那覇","東京","SKY",1086,1832082,"2,525:32",171742,208782,"192","289,728,754","352,215,234",82.3,0,"11,632","0","21,729,658","0","19,623","0","21,749,281","41,180,018",52.8,1687,192.24861878453,1085.45907174649,9278.5
"33","成田","新千歳","JAL",638,569096,"1,099:57",63195,114520,"179","56,369,940","102,151,840",55.2,173935,"472","0","4,227,746","155,149","421","0","4,383,316","11,037,250",39.7,892,179.498432601881,637.797745599781,9812
"34","新千歳","成田","JAL",638,569096,"1,053:29",65119,114397,"179","58,086,148","102,042,124",56.9,20550,"486","0","4,356,460","18,330","433","0","4,375,223","11,022,889",39.7,892,179.305642633229,638.265690014577,9812
