"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob"
"1",3,8,"函館","丘珠","ANA",44683,40,16800,5,455,14.339423,2,0,55.9800796812749,0,673984,257,55.9800796812749,1506,2827,53,0.0662968260374134
"2",3,8,"函館","丘珠","HAC",15301,40,16800,3,390,14.339423,2,0,36,2.66581956797967,673984,257,36,787,2827,54,0.0227023193428924
"3",3,8,"新函館北斗","札幌","JR",614000,64,7760,1,952,17.243684,0,1,0,0,673984,NA,NA,NA,NA,NA,0.911000854619694
"4",3,18,"函館","東京","JAL",223082,80,31400,3,375,24.936932,3,0,343.71270718232,5536.56445672192,585120,786,343.71270718232,1086,8646,59.8,0.381258545255674
"5",3,18,"函館","東京","ANA",153967,80,31400,2,175,24.936932,3,0,343.899587345254,3776.96698762036,585120,786,343.899587345254,727,8646,61.6,0.263137476073284
"6",3,18,"函館","東京","ADO",131071,80,24200,2,280,24.936932,3,0,227.063711911357,1372.48476454294,585120,786,227.063711911357,722,7074,80,0.224007041290675
"7",3,18,"新函館北斗","東京","JR",77000,250,18280,1,580,18.3042805,0,1,0,0,585120,NA,NA,NA,NA,NA,0.131596937380366
"8",3,25,"函館","関西","ANA",36851,100,38900,1,0,43.577409,1,0,123.34435261708,151.724517906336,49851,1197,123.34435261708,363,13167,82.3,0.739222884194901
"9",3,25,"新函館北斗","新大阪","JR",13000,464,32730,1,0,18.3042805,0,1,0,0,49851,NA,NA,NA,NA,NA,0.260777115805099
"10",8,3,"丘珠","函館","ANA",42740,40,16800,5,600,14.339423,2,0,55.986074270557,0,672959,257,55.986074270557,1508,2827,50.6,0.0635105556207733
"11",8,3,"丘珠","函館","HAC",16219,40,16800,3,520,14.339423,2,0,36,31.2754182754183,672959,257,36,777,2827,58,0.0241010224991418
"12",8,3,"札幌","新函館北斗","JR",614000,64,7760,1,952,17.243684,0,1,0,0,672959,NA,NA,NA,NA,NA,0.912388421880085
"13",8,12,"新千歳","仙台","JAL",116309,65,28400,4,655,56.355039,3,0,154.187718073971,262.838101884159,344107,664,154.187718073971,1433,7304,52.6,0.338002423664732
"14",8,12,"新千歳","仙台","ANA",105860,65,28400,3,340,56.355039,3,0,172.162812210916,714.54394079556,344107,664,172.162812210916,1081,7304,56.9,0.307636868764658
"15",8,12,"新千歳","仙台","ADO",110938,65,27400,4,560,56.355039,3,0,126,67.1065877128053,344107,664,126,1351,5976,65.2,0.32239390654651
"16",8,12,"札幌","仙台","JR",11000,222,16800,1,636,2.057914,0,1,0,0,344107,NA,NA,NA,NA,NA,0.0319668010241001
"17",8,18,"新千歳","東京","JAL",1809380,90,33500,18,665,58.783124,4,0,444.517204790056,6840.53615279673,4893273,894,444.517204790056,6597,9834,61.7,0.369768864316379
"18",8,18,"新千歳","東京","ANA",1750844,90,33500,16,680,58.783124,4,0,460.494653725942,6806.86691890114,4893273,894,460.494653725942,6079,9834,62.5,0.357806319001617
"19",8,18,"新千歳","東京","SKY",396256,90,21700,9,585,58.783124,4,0,177,0,4893273,894,177,2894,4917,77.4,0.0809797450499901
"20",8,18,"新千歳","東京","ADO",598819,90,25900,10,680,58.783124,4,0,243.381416690565,1077.45196443935,4893273,894,243.381416690565,3487,8046,70.6,0.122375963899827
"21",8,18,"新千歳","成田","JAL",65119,105,33500,2,525,104.604254,3,0,179.305642633229,32.2100313479624,4893273,892,179.305642633229,638,9812,56.9,0.0133078616296291
"22",8,18,"新千歳","成田","ANA",25842,105,33500,1,575,104.604254,3,0,165.494475138122,1.93646408839779,4893273,892,165.494475138122,362,9812,43.1,0.00528112778502242
"23",8,18,"新千歳","成田","IBX",14013,105,33500,1,0,104.604254,3,0,50,0,4893273,892,50,357,9812,78.5,0.00286372740699323
"24",8,18,"札幌","東京","JR",233000,314,21000,1,452,7.452543,0,1,0,0,4893273,NA,NA,NA,NA,NA,0.0476163909105419
"25",8,25,"新千歳","大阪","JAL",159098,110,41400,2,485,54.177172,2,0,271.382653061225,4179.46683673469,1114939,1161,271.382653061225,784,12771,77.3,0.142696595957268
"26",8,25,"新千歳","大阪","ANA",99150,110,41400,1,0,54.177172,2,0,300.64858490566,3800.3608490566,1114939,1161,300.64858490566,424,12771,77.8,0.0889286319700002
"27",8,25,"新千歳","関西","JAL",230816,110,41300,4,525,77.423601,2,0,230.550546448087,2247.16393442623,1114939,1309,230.550546448087,1464,14399,68.4,0.207021191293873
"28",8,25,"新千歳","関西","ANA",235646,110,41300,4,270,77.423601,2,0,215.215395003376,2090.26130992573,1114939,1309,215.215395003376,1481,14399,73.9,0.211353266860339
"29",8,25,"新千歳","神戸","JAL",174514,115,41400,3,125,68.293435,2,0,233.766605166052,2210.74723247232,1114939,1251,233.766605166052,1084,13761,68.9,0.156523361367752
"30",8,25,"新千歳","神戸","ANA",141715,115,41400,3,305,68.293435,2,0,182.922294172063,983.197039777983,1114939,1251,182.922294172063,1081,13761,71.7,0.127105608468266
"31",8,25,"札幌","新大阪","JR",74000,464,35450,1,152,5.75576,0,1,0,0,1114939,NA,NA,NA,NA,NA,0.0663713440825014
"32",8,37,"新千歳","福岡","JAL",119560,145,51100,2,105,43.668941,2,0,230.931318681319,1662.84340659341,230475,1614,230.931318681319,728,17754,71.1,0.518754745634017
"33",8,37,"新千歳","福岡","ANA",102915,145,51100,1,0,43.668941,2,0,401.44474393531,5366.7628032345,230475,1614,401.44474393531,371,17754,69.1,0.446534331272372
"34",8,37,"札幌","博多","JR",8000,614,43950,1,0,2.412527,0,1,0,0,230475,NA,NA,NA,NA,NA,0.034710923093611
"35",12,8,"仙台","新千歳","JAL",117426,65,28400,4,440,56.355039,3,0,154.101186322401,232.587578506629,342089,664,154.101186322401,1433,7304,53.2,0.343261548895171
"36",12,8,"仙台","新千歳","ANA",103819,65,28400,3,545,56.355039,3,0,172.169287696577,860.031452358927,342089,664,172.169287696577,1081,7304,55.8,0.303485350303576
"37",12,8,"仙台","新千歳","ADO",109844,65,27400,4,355,56.355039,3,0,126,179.134715025907,342089,664,126,1351,5976,64.5,0.321097726030361
"38",12,8,"仙台","札幌","JR",11000,222,16800,1,636,2.057914,0,1,0,0,342089,NA,NA,NA,NA,NA,0.032155374770893
"39",12,18,"仙台","成田","ANA",13257,60,18100,2,450,78.831177,2,0,73.7912087912088,0,22371,435,73.7912087912088,364,4785,49.4,0.592597559340217
"40",12,18,"仙台","成田","IBX",9114,60,18100,2,0,78.831177,2,0,50,0,22371,435,50,357,4785,51.1,0.407402440659783
