"","prob","out.share","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","distance"
"1",NA,NA,0,NA,1,1080,9.989086,1,0,0
"2",NA,NA,0,NA,NA,NA,45.047698,0,NA,NA
"3",0.956834532374101,0.0431654676258992,36,3320,1,1008,6.519236,1,0,96.6
"4",0,0.0431654676258992,0,NA,NA,NA,53.741119,0,NA,0.001
"5",0.0509554140127389,0.949044585987261,36,4540,1,1008,10.20079,1,0,131.9
"6",0,0.949044585987261,0,NA,NA,NA,26.456241,0,NA,0.001
"7",0.208333333333333,0.791666666666667,74,6700,1,932,6.379024,1,0,186.8
"8",0,0.791666666666667,0,NA,NA,NA,76.497531,0,NA,0.001
"9",0.581560283687943,0.418439716312057,110,10160,1,860,6.313003,1,0,280.1
"10",0,0.418439716312057,0,NA,NA,NA,37.81483,0,NA,0.001
"11",0,1,86,7340,1,908,10.058551,1,0,215.7
"12",0,1,0,NA,NA,NA,88.601564,0,NA,0.001
"13",0.311111111111111,0.688888888888889,131,1160,1,818,7.306077,1,0,30.7
"14",0,0.688888888888889,0,NA,NA,NA,37.85337,0,NA,0.001
"15",0.578947368421053,0.421052631578947,163,9500,1,754,6.313151,1,0,272
"16",0,0.421052631578947,0,NA,NA,NA,39.893131,0,NA,0.001
"17",0,1,129,10800,1,822,6.749546,1,0,319
"18",0,1,0,NA,NA,NA,97.816302,0,NA,0.001
"19",0,1,211,7340,1,658,5.434538,1,0,210.5
"20",0,1,0,NA,NA,NA,111.030077,0,NA,0.001
"21",0.470588235294118,0.529411764705882,93,11880,1,894,6.975236833,1,0,359.1
"22",0,0.529411764705882,0,NA,NA,NA,74.5039605,0,NA,0.001
"23",0.545454545454545,0.454545454545455,78,13600,1,924,7.982821,1,0,405.2
"24",0,0.454545454545455,0,NA,NA,NA,44.3921305,0,NA,0.001
"25",0.5,0.5,85,14680,1,910,7.546522667,1,0,446.5
"26",0,0.5,0,NA,NA,NA,46.0778155,0,NA,0.001
"27",0.333333333333333,0.666666666666667,51,16840,1,978,7.143452667,1,0,522.4
"28",0,0.666666666666667,80,14750,1095,350,119.51219133,0,1,0.001
"29",0.5,0.5,42,17500,1,996,14.435645259,1,0,551.3
"30",0,0.5,80,14750,1095,350,109.80651281,0,1,0.001
"31",0.823529411764706,0.176470588235294,70,15120,1,940,11.901879,1,0,474.1
"32",0,0.176470588235294,80,14750,1095,350,170.589915,0,1,0.001
"33",1,0,209,16840,1,662,13.870379,1,0,526.9
"34",0,0,80,14750,1095,350,136.240156,0,1,0.001
"35",NA,NA,234,15760,1,612,13.52521,1,0,480.3
"36",NA,NA,80,14750,1095,350,161.31552,0,1,NA
"37",0.745454545454545,0.236363636363636,185,19220,1,710,10.39674,1,0,601.6
"38",0.0181818181818182,0.236363636363636,80,14750,1095,350,59.404424,0,1,0.0181818181818182
"39",1,0,199,17920,1,682,5.703905,1,0,567.2
"40",0,0,80,14750,1095,350,97.943996,0,1,0.001
"41",0.861985472154964,0.0532687651331719,211,19220,1,658,NA,1,0,631.9
"42",0.0847457627118644,0.0532687651331719,80,14750,1095,350,NA,0,1,0.0847457627118644
"43",0.763636363636364,0.0545454545454545,230,19660,1,620,10.8569585,1,0,660.7
"44",0.181818181818182,0.0545454545454545,80,14750,1095,350,42.707019,0,1,0.181818181818182
"45",0.5,0.5,251,20300,1,578,6.264121,1,0,715.8
"46",0,0.5,80,14750,1095,350,82.53551817,0,1,0.001
"47",0,1,280,10160,1,520,7.100827667,1,0,298
"48",0,1,0,NA,NA,NA,34.63792817,0,NA,0.001
"49",0.666666666666667,0.333333333333333,257,12520,1,566,5.285486,1,0,361.3
"50",0,0.333333333333333,0,NA,NA,NA,81.37241159,0,NA,0.001
"51",NA,NA,268,11240,1,544,6.748753,1,0,338.1
"52",NA,NA,0,NA,NA,NA,60.410961,0,NA,NA
"53",NA,NA,247,13600,1,586,20.42868,1,0,403
"54",NA,NA,0,NA,NA,NA,119.752854,0,NA,NA
"55",0.666666666666667,0.333333333333333,271,13600,1,538,6.074571,1,0,409.5
"56",0,0.333333333333333,80,14750,1095,350,210.75485,0,1,0.001
"57",0.0434782608695652,0.956521739130435,259,14680,1,562,5.527947,1,0,442.7
"58",0,0.956521739130435,0,NA,NA,NA,237.77573,0,NA,0.001
"59",1,0,391,25280,1,298,19.215213,1,0,1028.2
"60",0,0,0,NA,NA,NA,85.330555,0,NA,0.001
"61",1,0,279,22240,1,522,6.368485,1,0,812.1
"62",0,0,80,14750,1095,350,142.1205443,0,1,0.001
"63",1,0,305,23320,1,470,6.769989167,1,0,889
"64",0,0,0,NA,NA,NA,94.474946,0,NA,0.001
"65",0.928571428571429,0.0714285714285714,273,20960,1,534,10.5274775,1,0,752.6
"66",0,0.0714285714285714,80,14750,1095,350,104.75828933,0,1,0.001
"67",0.75,0.25,310,24620,1,460,7.935403333,1,0,997.9
"68",0,0.25,0,NA,NA,NA,53.902926,0,NA,0.001
"69",NA,NA,348,23980,1,384,6.489806667,1,0,925.5
"70",NA,NA,0,NA,NA,NA,73.04133822,0,NA,NA
"71",0.0652173913043478,0.934782608695652,367,24620,1,346,15.302907,1,0,968.2
"72",0,0.934782608695652,0,NA,NA,NA,57.457183,0,NA,0.001
"73",NA,NA,410,25920,1,260,10.426901,1,0,1077.8
"74",NA,NA,0,NA,NA,NA,152.726022,0,NA,NA
"75",0.6,0,346,27000,1,388,7.510674,1,0,1145.5
"76",0.4,0,0,NA,NA,NA,100.966275,0,NA,0.4
"77",0.636363636363636,0,361,27640,1,358,6.099664,1,0,1184.5
"78",0.363636363636364,0,0,NA,NA,NA,58.401338,0,NA,0.363636363636364
"79",0.25,0,374,28300,1,332,6.72095,1,0,1221.4
"80",0.75,0,0,NA,NA,NA,50.76811,0,NA,0.75
"81",0.666666666666667,0,391,28940,1,298,6.423790667,1,0,1276.2
"82",0.333333333333333,0,0,NA,NA,NA,87.30514267,0,NA,0.333333333333333
"83",1,0,406,30680,1,268,6.183913167,1,0,1364.8
"84",0,0,0,NA,NA,NA,42.20796767,0,NA,0.001
"85",0.5,0,447,33040,1,186,7.0993665,1,0,1526.1
"86",0.5,0,0,NA,NA,NA,67.64736517,0,NA,0.5
"87",NA,NA,424,31320,1,232,5.561808167,1,0,1423.1
"88",NA,NA,0,NA,NA,NA,65.5242885,0,NA,NA
"89",NA,NA,475,35000,1,130,15.89013974,1,0,1658.9
"90",NA,NA,0,NA,NA,NA,57.13556248,0,NA,NA
"91",0,1,618,36280,1,NA,10.468249,1,0,1720.6
"92",0,1,0,NA,NA,NA,53.697074,0,NA,0.001
"93",NA,NA,607,35640,1,NA,18.57694,1,0,1694
"94",NA,NA,0,NA,NA,NA,26.134742,0,NA,NA
"95",NA,NA,557,33700,1,NA,11.479204,1,0,1567.5
"96",NA,NA,0,NA,NA,NA,113.469258,0,NA,NA
"97",NA,NA,472,34340,1,136,12.285167,1,0,1614.6
"98",NA,NA,0,NA,NA,NA,78.176152,0,NA,NA
"99",0.142857142857143,0.142857142857143,511,37360,1,58,6.748202,1,0,1806.8
"100",0.714285714285714,0.142857142857143,0,NA,NA,NA,26.555547,0,NA,0.714285714285714
"101",0,0,494,36280,1,92,5.739016333,1,0,1739.6
"102",1,0,0,NA,NA,NA,67.653225,0,NA,0.999
"103",NA,NA,611,39320,1,NA,7.491054667,1,0,1958.1
"104",NA,NA,0,NA,NA,NA,61.3052175,0,NA,NA
"105",0,0,656,41680,1,NA,6.909107167,1,0,2095.7
"106",1,0,0,NA,NA,NA,47.72907417,0,NA,0.999
"107",NA,NA,644,41040,1,NA,5.828517167,1,0,2049.6
"108",NA,NA,0,NA,NA,NA,57.73323917,0,NA,NA
"109",0.977941176470588,0.0220588235294118,36,3320,1,1008,6.519236,1,0,96.6
"110",0,0.0220588235294118,0,NA,NA,NA,53.741119,0,NA,0.001
"111",NA,NA,0,NA,1,1080,3.049386,1,0,0
"112",NA,NA,0,NA,NA,NA,62.43454,0,NA,NA
"113",NA,NA,0,1340,1,1080,6.73094,1,0,35.3
"114",NA,NA,0,NA,NA,NA,35.149662,0,NA,NA
"115",NA,NA,38,3320,1,1004,2.909174,1,0,90.2
"116",NA,NA,0,NA,NA,NA,85.190952,0,NA,NA
"117",0.833068362480127,0.166931637519873,74,6700,1,932,2.843153,1,0,183.5
"118",0,0.166931637519873,0,NA,NA,NA,46.508251,0,NA,0.001
"119",0.00826446280991736,0.991735537190083,50,3880,1,980,6.588701,1,0,119.1
"120",0,0.991735537190083,0,NA,NA,NA,97.294985,0,NA,0.001
"121",0.183510638297872,0.816489361702128,95,4540,1,890,3.836227,1,0,127.3
"122",0,0.816489361702128,0,NA,NA,NA,46.546791,0,NA,0.001
"123",0.232758620689655,0.767241379310345,171,6040,1,738,2.843301,1,0,175.4
"124",0,0.767241379310345,0,NA,NA,NA,48.586552,0,NA,0.001
"125",0.375,0.625,137,8000,1,806,3.279696,1,0,222.4
"126",0,0.625,0,NA,NA,NA,106.509723,0,NA,0.001
"127",0.0833333333333333,0.916666666666667,219,3880,1,642,1.964688,1,0,113.9
"128",0,0.916666666666667,0,NA,NA,NA,119.723498,0,NA,0.001
"129",0.488372093023256,0.511627906976744,101,9500,1,878,3.505386833,1,0,262.5
"130",0,0.511627906976744,0,NA,NA,NA,83.1973815,0,NA,0.001
"131",0.516666666666667,0.483333333333333,116,10800,1,848,4.512971,1,0,308.6
"132",0,0.483333333333333,0,NA,NA,NA,53.0855515,0,NA,0.001
"133",0.333333333333333,0.666666666666667,85,11880,1,910,4.076672667,1,0,349.9
"134",0,0.666666666666667,0,NA,NA,NA,54.7712365,0,NA,0.001
"135",0.5625,0.4375,143,14040,1,794,3.673602667,1,0,425.8
"136",0,0.4375,0,NA,NA,NA,128.20561233,0,NA,0.001
"137",0.2,0.8,42,14680,1,996,10.965795259,1,0,454.7
"138",0,0.8,0,NA,NA,NA,118.49993381,0,NA,0.001
"139",0.307692307692308,0.692307692307692,70,12520,1,940,8.432029,1,0,377.5
"140",0,0.692307692307692,0,NA,NA,NA,179.283336,0,NA,0.001
"141",0.904761904761905,0.0952380952380952,173,14040,1,734,10.400529,1,0,430.3
"142",0,0.0952380952380952,0,NA,NA,NA,144.933577,0,NA,0.001
"143",NA,NA,198,12960,1,684,10.05536,1,0,383.7
"144",NA,NA,0,NA,NA,NA,170.008941,0,NA,NA
"145",0.776785714285714,0.223214285714286,149,16420,1,782,6.92689,1,0,505
"146",0,0.223214285714286,0,NA,NA,NA,68.097845,0,NA,0.001
"147",0.833333333333333,0.166666666666667,163,15120,1,754,2.234055,1,0,470.6
"148",0,0.166666666666667,0,NA,NA,NA,106.637417,0,NA,0.001
"149",0.9,0.1,175,16840,1,730,NA,1,0,535.3
"150",0,0.1,0,NA,NA,NA,NA,0,NA,0.001
"151",0.876923076923077,0.123076923076923,194,17920,1,692,7.3871085,1,0,564.1
"152",0,0.123076923076923,0,NA,NA,NA,51.40044,0,NA,0.001
"153",1,0,215,19220,1,650,2.794271,1,0,619.2
"154",0,0,0,NA,NA,NA,91.22893917,0,NA,0.001
"155",0.4375,0.5625,244,7340,1,592,3.630977667,1,0,201.4
"156",0,0.5625,0,NA,NA,NA,43.33134917,0,NA,0.001
"157",0.5,0.5,221,9500,1,638,1.815636,1,0,264.7
"158",0,0.5,0,NA,NA,NA,90.06583259,0,NA,0.001
"159",1,0,232,8860,1,616,3.278903,1,0,241.5
"160",0,0,0,NA,NA,NA,69.104382,0,NA,0.001
"161",NA,NA,211,10800,1,658,16.95883,1,0,306.4
"162",NA,NA,0,NA,NA,NA,128.446275,0,NA,NA
"163",0.6,0.4,235,10800,1,610,2.604721,1,0,312.9
"164",0,0.4,0,NA,NA,NA,219.448271,0,NA,0.001
"165",0.666666666666667,0.333333333333333,223,11880,1,634,2.058097,1,0,346.1
"166",0,0.333333333333333,0,NA,NA,NA,246.469151,0,NA,0.001
"167",0.2,0.2,355,23980,1,370,15.745363,1,0,931.6
"168",0.6,0.2,0,NA,NA,NA,94.023976,0,NA,0.6
"169",1,0,243,20300,1,594,2.898635,1,0,715.5
"170",0,0,0,NA,NA,NA,150.8139653,0,NA,0.001
"171",1,0,269,21600,1,542,3.300139167,1,0,792.4
"172",0,0,0,NA,NA,NA,103.168367,0,NA,0.001
"173",1,0,237,19660,1,606,7.0576275,1,0,656
"174",0,0,0,NA,NA,NA,113.45171033,0,NA,0.001
"175",0.928571428571429,0.0714285714285714,274,23320,1,532,4.465553333,1,0,901.3
"176",0,0.0714285714285714,0,NA,NA,NA,62.596347,0,NA,0.001
"177",0,1,312,22240,1,456,3.019956667,1,0,828.9
"178",0,1,0,NA,NA,NA,81.73475922,0,NA,0.001
"179",0.714285714285714,0.142857142857143,331,22680,1,418,11.833057,1,0,871.6
"180",0.142857142857143,0.142857142857143,0,NA,NA,NA,66.150604,0,NA,0.142857142857143
"181",NA,NA,374,24620,1,332,6.957051,1,0,981.2
"182",NA,NA,0,NA,NA,NA,161.419443,0,NA,NA
"183",0.482758620689655,0.379310344827586,310,25920,1,460,4.040824,1,0,1048.9
"184",0.137931034482759,0.379310344827586,0,NA,NA,NA,109.659696,0,NA,0.137931034482759
"185",0.35,0.2,325,26360,1,430,2.629814,1,0,1087.9
"186",0.45,0.2,0,NA,NA,NA,67.094759,0,NA,0.45
"187",0.181818181818182,0.636363636363636,338,27000,1,404,3.2511,1,0,1124.8
"188",0.181818181818182,0.636363636363636,0,NA,NA,NA,59.461531,0,NA,0.181818181818182
"189",NA,NA,355,27640,1,370,2.953940667,1,0,1179.6
"190",NA,NA,0,NA,NA,NA,95.99856367,0,NA,NA
"191",1,0,370,28940,1,340,2.714063167,1,0,1268.2
"192",0,0,0,NA,NA,NA,50.90138867,0,NA,0.001
"193",0.6,0.2,411,31320,1,258,3.6295165,1,0,1429.5
"194",0.2,0.2,0,NA,NA,NA,76.34078617,0,NA,0.2
"195",NA,NA,388,30020,1,304,2.091958167,1,0,1326.5
"196",NA,NA,0,NA,NA,NA,74.2177095,0,NA,NA
"197",NA,NA,439,33700,1,202,12.42028974,1,0,1562.3
"198",NA,NA,0,NA,NA,NA,65.82898348,0,NA,NA
"199",NA,NA,582,34340,1,NA,6.998399,1,0,1624
"200",NA,NA,0,NA,NA,NA,62.390495,0,NA,NA
"201",NA,NA,571,33700,1,NA,15.10709,1,0,1597.4
"202",NA,NA,0,NA,NA,NA,34.828163,0,NA,NA
"203",NA,NA,521,31960,1,38,8.009354,1,0,1470.9
"204",NA,NA,0,NA,NA,NA,122.162679,0,NA,NA
"205",NA,NA,436,32620,1,208,8.815317,1,0,1518
"206",NA,NA,0,NA,NA,NA,86.869573,0,NA,NA
"207",0,0.25,475,35640,1,130,3.278352,1,0,1710.2
"208",0.75,0.25,0,NA,NA,NA,35.248968,0,NA,0.75
"209",0.666666666666667,0,458,35000,1,164,2.269166333,1,0,1643
"210",0.333333333333333,0,0,NA,NA,NA,76.346646,0,NA,0.333333333333333
"211",NA,NA,575,38020,1,NA,4.021204667,1,0,1861.5
"212",NA,NA,0,NA,NA,NA,69.9986385,0,NA,NA
"213",0,1,620,39740,1,NA,3.439257167,1,0,1999.1
"214",0,1,0,NA,NA,NA,56.42249517,0,NA,0.001
"215",NA,NA,608,39320,1,NA,2.358667167,1,0,1953
"216",NA,NA,0,NA,NA,NA,66.42666017,0,NA,NA
"217",0.0547945205479452,0.945205479452055,36,4540,1,1008,10.20079,1,0,131.9
"218",0,0.945205479452055,0,NA,NA,NA,26.456241,0,NA,0.001
"219",NA,NA,0,1340,1,1080,6.73094,1,0,35.3
"220",NA,NA,0,NA,NA,NA,35.149662,0,NA,NA
"221",NA,NA,0,NA,1,1080,10.412494,1,0,0
"222",NA,NA,0,NA,NA,NA,7.864784,0,NA,NA
"223",NA,NA,38,1940,1,1004,6.590728,1,0,54.9
"224",NA,NA,0,NA,NA,NA,57.906074,0,NA,NA
"225",0.151702786377709,0.848297213622291,74,5180,1,932,6.524707,1,0,148.2
"226",0,0.848297213622291,0,NA,NA,NA,19.223373,0,NA,0.001
"227",0.0211640211640212,0.978835978835979,50,2980,1,980,10.270255,1,0,83.8
"228",0,0.978835978835979,0,NA,NA,NA,70.010107,0,NA,0.001
"229",0.00434782608695652,0.995652173913044,95,6040,1,890,7.517781,1,0,162.6
"230",0,0.995652173913044,0,NA,NA,NA,19.261913,0,NA,0.001
"231",0.02,0.98,159,5180,1,762,6.524855,1,0,140.1
"232",0,0.98,0,NA,NA,NA,21.301674,0,NA,0.001
"233",0.2,0.8,125,6700,1,830,6.96125,1,0,187.1
"234",0,0.8,0,NA,NA,NA,79.224845,0,NA,0.001
"235",0,1,207,2640,1,666,5.646242,1,0,78.6
"236",0,1,0,NA,NA,NA,92.43862,0,NA,0.001
"237",0.211538461538462,0.788461538461538,89,8000,1,902,7.186940833,1,0,227.2
"238",0,0.788461538461538,0,NA,NA,NA,55.9125035,0,NA,0.001
"239",0.0909090909090909,0.909090909090909,104,9500,1,872,8.194525,1,0,273.3
"240",0,0.909090909090909,0,NA,NA,NA,25.8006735,0,NA,0.001
"241",0,1,85,10800,1,910,7.758226667,1,0,314.6
"242",0,1,0,NA,NA,NA,27.4863585,0,NA,0.001
"243",0.3125,0.6875,131,12960,1,818,7.355156667,1,0,390.5
"244",0,0.6875,0,NA,NA,NA,100.92073433,0,NA,0.001
"245",0.666666666666667,0.333333333333333,42,13600,1,996,14.647349259,1,0,419.4
"246",0,0.333333333333333,0,NA,NA,NA,91.21505581,0,NA,0.001
"247",0.1,0.9,70,11880,1,940,12.113583,1,0,342.2
"248",0,0.9,0,NA,NA,NA,151.998458,0,NA,0.001
