,,origin,destination,airline,railway,ship,bus,car,all
1,1,稚内,稚内,0,0,0,0,0,0
1,2,稚内,釧路,0,1,0,3,524,527
1,3,稚内,函館,0,3,0,0,0,2
1,4,稚内,旭川,0,0,0,0,0,0
1,5,稚内,帯広,0,0,0,0,733,734
1,6,稚内,根室中標津,0,0,0,0,216,216
1,7,稚内,女満別,0,0,0,0,0,0
1,8,稚内,新千歳,20,60,0,99,376,644
1,9,稚内,青森,0,1,0,0,0,7
1,10,稚内,三沢,0,0,0,0,0,0
1,11,稚内,花巻,0,0,0,0,0,1
1,12,稚内,仙台,1,0,0,0,0,4
1,13,稚内,秋田,0,0,0,0,0,1
1,14,稚内,大館,0,0,0,0,0,0
1,15,稚内,山形,0,0,0,0,0,0
1,16,稚内,庄内,0,0,0,0,0,0
1,17,稚内,福島,0,0,0,0,0,0
1,18,稚内,羽田,44,3,0,1,8,164
1,19,稚内,八丈島,0,0,0,0,0,0
1,20,稚内,新潟,0,0,0,0,0,0
1,21,稚内,富山,1,0,0,0,0,0
1,22,稚内,小松,0,0,0,0,0,1
1,23,稚内,松本,0,0,0,0,0,3
1,24,稚内,名古屋,6,0,1,0,0,31
1,25,稚内,関西国際,13,0,0,1,0,49
1,26,稚内,鳥取,0,0,0,0,0,0
1,27,稚内,米子,0,0,0,0,0,0
1,28,稚内,出雲,0,0,0,0,0,0
1,29,稚内,石見,0,0,0,0,0,0
1,30,稚内,岡山,0,0,0,0,0,1
1,31,稚内,広島,1,0,0,0,0,2
1,32,稚内,山口宇部,0,0,0,0,0,0
1,33,稚内,徳島,0,0,0,0,0,1
1,34,稚内,高松,0,0,0,0,0,1
1,35,稚内,松山,0,0,0,0,0,0
1,36,稚内,高知,0,0,0,0,0,0
1,37,稚内,福岡,0,0,0,0,0,3
1,38,稚内,長崎,0,0,0,0,0,2
1,39,稚内,五島福江,0,0,0,0,0,0
1,40,稚内,対馬,0,0,0,0,0,0
1,41,稚内,熊本,0,0,0,0,0,1
1,42,稚内,大分,1,0,0,0,0,0
1,43,稚内,宮崎,0,0,1,0,0,3
1,44,稚内,鹿児島,0,0,0,0,0,4
1,45,稚内,奄美大島,0,0,0,0,0,0
1,46,稚内,那覇,0,0,0,0,0,4
1,47,稚内,石垣島,0,0,0,0,0,0
2,1,釧路,稚内,0,1,0,0,0,0
2,2,釧路,釧路,0,0,0,0,21,22
2,3,釧路,函館,5,7,0,0,1,1
2,4,釧路,旭川,1,5,0,0,0,0
2,5,釧路,帯広,0,0,0,1,565,567
2,6,釧路,根室中標津,0,0,0,0,11,11
2,7,釧路,女満別,0,0,0,0,0,0
2,8,釧路,新千歳,44,287,0,44,1322,1391
2,9,釧路,青森,0,5,0,0,0,0
2,10,釧路,三沢,1,2,0,0,0,0
2,11,釧路,花巻,1,2,1,0,0,0
2,12,釧路,仙台,4,1,2,0,0,0
2,13,釧路,秋田,1,1,0,0,0,0
