OD,i,j
1,羽田,南紀白浜
2,南紀白浜,羽田
3,羽田,北九州
4,北九州,羽田
5,羽田,佐賀
6,佐賀,羽田
7,伊丹,佐賀
8,佐賀,伊丹
9,羽田,神戸
10,神戸,羽田
11,羽田,青森
12,青森,羽田
13,羽田,三沢
14,三沢,羽田
15,羽田,大館
16,大館,羽田
17,羽田,秋田
18,秋田,羽田
19,羽田,庄内
20,庄内,羽田
21,羽田,山形
22,山形,羽田
23,羽田,仙台
24,仙台,羽田
25,羽田,萩・石見
26,萩・石見,羽田
27,羽田,岡山
28,岡山,羽田
29,羽田,山口宇部
30,山口宇部,羽田
31,羽田,熊本
32,熊本,羽田
33,羽田,鹿児島
34,鹿児島,羽田
35,中部,青森
36,青森,中部
37,中部,花巻
38,花巻,中部
39,小牧,山形
40,山形,小牧
41,中部,仙台
42,仙台,中部
43,中部,鹿児島
44,鹿児島,中部
45,伊丹,青森
46,青森,伊丹
47,伊丹,三沢
48,三沢,伊丹
49,伊丹,大館
50,大館,伊丹
51,伊丹,秋田
52,秋田,伊丹
53,伊丹,花巻
54,花巻,伊丹
55,伊丹,山形
56,山形,伊丹
57,伊丹,仙台
58,仙台,伊丹
59,伊丹,福島
60,福島,伊丹
61,伊丹,新潟
62,新潟,伊丹
63,伊丹,萩・石見
64,萩・石見,伊丹
65,伊丹,熊本
66,熊本,伊丹
67,神戸,熊本
68,熊本,神戸
69,福岡,仙台
70,仙台,福岡
71,福岡,新潟
72,新潟,福岡
73,福岡,鹿児島
74,鹿児島,福岡
75,仙台,広島
76,広島,仙台
77,鹿児島,岡山
78,岡山,鹿児島
79,鹿児島,広島
80,広島,鹿児島
81,関西,鹿児島
82,鹿児島,関西
83,中部,熊本
84,熊本,中部
85,中部,福岡
86,福岡,中部
87,中部,新潟
88,新潟,中部
89,中部,秋田
90,秋田,中部
91,関西,福岡
92,福岡,関西
93,羽田,福岡
94,福岡,羽田
95,羽田,関西
96,関西,羽田
97,羽田,広島
98,広島,羽田
99,成田,中部
100,中部,成田
