,i,j,空港i,空港j,航空会社,Price_simulation,Price_observed,Frequency_simulation,Frequency_observed,Probability_simulation,Probability_observed,,
1,18,25,東京,大阪,JAL,13344,24600,1396.000647,5463,0.013,0.050,4,15
2,18,25,東京,大阪,ANA,13343,24600,1303.421387,5096,0.013,0.053,4,14
3,18,25,東京,関西,JAL,14984,24600,724.342225,2281,0.003,0.010,2,6
4,18,25,東京,関西,ANA,14984,24600,512.9881525,1617,0.003,0.010,1,4
5,18,25,東京,関西,SFJ,14979,20700,771.3613655,1455,0.003,0.006,2,4
6,18,25,成田,大阪,JAL,14095,25000,195.0807035,729,0.001,0.004,1,2
7,18,25,成田,大阪,ANA,14096,24600,179.7152673,637,0.001,0.003,0,2
8,18,25,東京,南紀白浜,JAL,14542,27000,203.2030129,932,0.001,0.003,1,3
9,18,25,東京,神戸,JAL,15154,24600,235.9561548,727,0.002,0.005,1,2
10,18,25,東京,神戸,ANA,15154,24600,264.6099126,816,0.001,0.005,1,2
11,18,25,東京,神戸,SKY,15153,11400,3499.163661,1895,0.019,0.010,10,5
12,18,25,東京,新大阪,JR,14450,14450,1,1,0.940,0.842,0,0
13,18,37,東京,福岡,JAL,19008,36700,1.29E-13,6779,0.000,0.273,0,19
14,18,37,東京,福岡,ANA,39515,36700,1.82E-12,6414,0.000,0.287,0,18
15,18,37,東京,福岡,SKY,20861,21700,6.35E-13,3631,0.000,0.106,0,10
16,18,37,成田,福岡,JAL,89896,37000,1.64E-10,787,0.000,0.012,0,2
17,18,37,成田,福岡,ANA,131548,36700,3.81E-08,729,0.000,0.009,0,2
18,18,37,東京,北九州,JAL,339713,36500,63163.60964,1455,1.000,0.023,173,4
19,18,37,東京,北九州,SFJ,24188,29600,3.62E-13,3778,0.000,0.068,0,10
20,18,37,東京,佐賀,ANA,148601,37400,8.12E-07,1808,0.000,0.023,0,5
21,18,37,東京,博多,JR,22950,22950,1,1,0.000,0.199,0,0
22,25,18,大阪,東京,JAL,13343,24600,1398.399483,5462,0.013,0.052,4,15
23,25,18,大阪,東京,ANA,13345,24600,1304.519495,5091,0.014,0.053,4,14
24,25,18,関西,東京,JAL,14982,24600,724.8508625,2280,0.003,0.010,2,6
25,25,18,関西,東京,ANA,14984,24600,614.233794,1934,0.003,0.009,2,5
26,25,18,関西,東京,SFJ,14979,20700,772.9529864,1456,0.003,0.006,2,4
27,25,18,大阪,成田,JAL,14096,25000,195.1900637,728,0.001,0.004,1,2
28,25,18,大阪,成田,ANA,14093,24600,180.0476061,637,0.001,0.004,0,2
29,25,18,南紀白浜,東京,JAL,14543,27000,202.7839356,928,0.001,0.003,1,3
30,25,18,神戸,東京,JAL,15154,24600,236.0532897,726,0.001,0.004,1,2
31,25,18,神戸,東京,ANA,15154,24600,266.0202693,818,0.002,0.005,1,2
32,25,18,神戸,東京,SKY,15153,11400,3509.19908,1897,0.020,0.011,10,5
33,25,18,新大阪,東京,JR,14450,14450,1,1,0.938,0.839,0,0
34,25,37,大阪,福岡,JAL,13983,21900,334.4503476,835,0.011,0.028,1,2
35,25,37,大阪,福岡,ANA,13992,21900,1036.458596,2585,0.038,0.094,3,7
36,25,37,大阪,福岡,JAC,13979,21900,284.0344161,710,0.005,0.012,1,2
37,25,37,関西,福岡,JAL,13732,21900,356.5455167,920,0.005,0.012,1,3
38,25,37,関西,福岡,ANA,13742,21900,515.1299686,1327,0.008,0.020,1,4
39,25,37,大阪,佐賀,ANA,14814,21900,321.7874358,721,0.003,0.007,1,2
40,25,37,新大阪,博多,JR,15310,15310,1,1,0.931,0.827,0,0
41,37,18,福岡,東京,JAL,18616,36700,1928.224194,6777,0.078,0.274,5,19
42,37,18,福岡,東京,ANA,18617,36700,1825.44079,6411,0.083,0.290,5,18
43,37,18,福岡,東京,SKY,18633,21700,7470.653672,3628,0.219,0.106,20,10
44,37,18,福岡,成田,JAL,19278,37000,235.7678995,790,0.004,0.013,1,2
45,37,18,福岡,成田,ANA,19277,36700,226.8822427,730,0.003,0.009,1,2
46,37,18,北九州,東京,JAL,17790,36500,381.2447053,1454,0.006,0.022,1,4
47,37,18,北九州,東京,SFJ,17782,29600,2455.054367,3777,0.043,0.066,7,10
48,37,18,佐賀,東京,ANA,19508,37400,428.2643499,1468,0.007,0.023,1,4
49,37,18,博多,東京,JR,22950,22950,1,1,0.558,0.197,0,0
50,37,25,福岡,大阪,JAL,13984,21900,335.1608356,836,0.010,0.025,1,2
51,37,25,福岡,大阪,ANA,13993,21900,1035.346941,2581,0.038,0.094,3,7
52,37,25,福岡,大阪,JAC,13978,21900,281.6634922,703,0.005,0.013,1,2
53,37,25,福岡,関西,JAL,13734,21900,356.8474318,920,0.005,0.012,1,3
54,37,25,福岡,関西,ANA,13741,21900,515.7907919,1328,0.009,0.023,1,4
55,37,25,佐賀,大阪,ANA,14814,21900,320.6862187,717,0.003,0.008,1,2
56,37,25,博多,新大阪,JR,15310,15310,1,1,0.930,0.826,0,0
