,i,j,空港i,空港j,航空会社,Price_simulation,Price_observed,Frequency_simulation,Frequency_observed,Probability_simulation,Probability_observed,Demand_simulation,Demand_observed,,,,,,,,,,,,,
1,18,25,東京,大阪,JAL,13343.97758,24600,1395.953978,5463,0.01283844,0.050215207,322802.5321,3459.131507,1262583,,,,,,,,,,JAL,164924698070 ,358281627 
2,18,25,東京,大阪,ANA,13343.12091,24600,1303.455476,5096,0.013466602,0.052673821,338596.684,3628.49589,1324401,,358281627,416517135,61973755,343002414,8281321,,,,ANA,174562981320 ,416517135 
3,18,25,東京,関西,JAL,14983.12886,24600,724.2166486,2281,0.003148235,0.009921475,79157.45183,683.4520548,249460,,,,,,,,,,SFJ,19408217480 ,61973755 
4,18,25,東京,関西,ANA,14984.77758,24600,513.054715,1617,0.003058402,0.009636908,76898.7348,663.8493151,242305,,,,,,,,,,SKY,15829266970 ,343002414 
5,18,25,東京,関西,SFJ,14978.89712,20700,771.3399262,1455,0.003176234,0.005991901,79861.4506,412.7589041,150657,,,,,,,,,,JAC,1225023280 ,8281321 
6,18,25,成田,大阪,JAL,14093.38139,25000,195.0518499,729,0.001119567,0.004182005,28149.77354,288.0821918,105150,,,,,,,,,,,,
7,18,25,成田,大阪,ANA,14093.70634,24600,179.6641143,637,0.000984907,0.003490016,24763.9482,240.4136986,87751,,,,,,,,,,,,
8,18,25,東京,南紀白浜,JAL,14544.82358,27000,203.2750901,932,0.000576273,0.002639774,14489.4903,181.8438356,66373,,,,,,,,,,,,
9,18,25,東京,神戸,JAL,15155.62838,24600,235.9943659,727,0.001551632,0.004780213,39013.35504,329.290411,120191,,,,,,,,,,,,
10,18,25,東京,神戸,ANA,15153.33441,24600,264.5952328,816,0.001479191,0.004558684,37191.94075,314.030137,114621,,,,,,,,,,,,
11,18,25,東京,神戸,SKY,15152.60799,11400,3499.058042,1895,0.019015907,0.01029879,478125.287,709.4438356,258947,,,,,,,,,,,,
12,18,25,東京,新大阪,JR,14450,14450,1,1,0.939584611,0.841611205,21161000,57975.34247,21161000,,23624388.35,,,,,,,,,,
13,18,37,東京,福岡,JAL,18580.0663,36700,4.05E-12,6779,1.63E-16,0.273188708,9.12E-10,4182.334247,25143439,25143439,,,,,,,,,,,
14,18,37,東京,福岡,ANA,43048.22953,36700,9.62E-11,6414,4.31E-15,0.287233511,2.41E-08,4397.350685,,,,,,,,,,,,,
15,18,37,東京,福岡,SKY,19144.7431,21700,1.68E-11,3631,4.90E-16,0.105547645,2.74E-09,1615.863014,,,,,,,,,,,,,
16,18,37,成田,福岡,JAL,97039.93071,37000,1.39E-08,787,2.16E-13,0.012240907,1.21E-06,187.4,,,,,,,,,,,,,
17,18,37,成田,福岡,ANA,29603.36204,36700,1.86E-12,729,2.25E-17,0.00880545,1.26E-10,134.8054795,,,,,,,,,,,,,
18,18,37,東京,北九州,JAL,313117.1351,36500,63163.60964,1455,1,0.02302778,5587902.999,352.539726,,,,,,,,,,,,,
19,18,37,東京,北九州,SFJ,22076.91461,29600,9.11E-12,3778,1.65E-16,0.068370371,9.21E-10,1046.70411,,,,,,,,,,,,,
20,18,37,東京,佐賀,ANA,142083.232,37400,1.14E-05,1808,1.44E-10,0.02276328,0.000805366,348.490411,,,,,,,,,,,,,
21,18,37,東京,博多,JR,22950,22950,1,1,1.45E-14,0.198822349,1111000,3043.835616,,,,,,,,,,,,,
22,25,18,大阪,東京,JAL,13344.58334,24600,1398.632231,5462,0.013352279,0.052137728,336928.9971,3604.476712,,,,,,,,,,,,,
23,25,18,大阪,東京,ANA,13343.75685,24600,1304.354068,5091,0.013671437,0.053387163,344982.5636,3690.854795,,,,,,,,,,,,,
24,25,18,関西,東京,JAL,14983.64648,24600,724.9718033,2280,0.003064709,0.009642655,77334.31432,666.6328767,,,,,,,,,,,,,
25,25,18,関西,東京,ANA,14982.67708,24600,614.11754,1934,0.00290653,0.009146971,73342.85497,632.3643836,,,,,,,,,,,,,
26,25,18,関西,東京,SFJ,14977.92992,20700,772.8379919,1456,0.003329775,0.006272653,84022.94648,433.6520548,,,,,,,,,,,,,
27,25,18,大阪,成田,JAL,14094.8158,25000,195.1683712,728,0.001148858,0.004283854,28990.07609,296.1589041,,,,,,,,,,,,,
28,25,18,大阪,成田,ANA,14093.63078,24600,180.0535079,637,0.000992982,0.003513024,25056.71877,242.8684932,,,,,,,,,,,,,
29,25,18,南紀白浜,東京,JAL,14543.45208,27000,202.7890901,928,0.000586754,0.002683977,14806.03705,185.5534247,,,,,,,,,,,,,
30,25,18,神戸,東京,JAL,15153.03068,24600,236.0222168,726,0.001435139,0.00441586,36214.02528,305.2849315,,,,,,,,,,,,,
31,25,18,神戸,東京,ANA,15154.68426,24600,266.0452917,818,0.00158004,0.00486058,39870.43402,336.030137,,,,,,,,,,,,,
