,i,j,空港i,空港j,航空会社,運賃シミュレーション,運賃実績,航空便数シミュレーション,航空便数実績,選択確率シミュレーション,選択確率実績,需要量シミュレーション,需要量実績
1,18,25,東京,大阪,JAL,13344,24600,1396,5463,0.013,0.05,322803,1262583
2,18,25,東京,大阪,ANA,13343,24600,1303,5096,0.013,0.053,338597,1324401
3,18,25,東京,関西,JAL,14983,24600,724,2281,0.003,0.01,79157,249460
4,18,25,東京,関西,ANA,14985,24600,513,1617,0.003,0.01,76899,242305
5,18,25,東京,関西,SFJ,14979,20700,771,1455,0.003,0.006,79861,150657
6,18,25,成田,大阪,JAL,14093,25000,195,729,0.001,0.004,28150,105150
7,18,25,成田,大阪,ANA,14094,24600,180,637,0.001,0.003,24764,87751
8,18,25,東京,南紀白浜,JAL,14545,27000,203,932,0.001,0.003,14489,66373
9,18,25,東京,神戸,JAL,15156,24600,236,727,0.002,0.005,39013,120191
10,18,25,東京,神戸,ANA,15153,24600,265,816,0.001,0.005,37192,114621
11,18,25,東京,神戸,SKY,15153,11400,3499,1895,0.019,0.01,478125,258947
12,18,25,東京,新大阪,JR,14450,14450,0,0,0.94,0.842,23624388,21161000
13,18,37,東京,福岡,JAL,18580,36700,0,6779,0,0.273,0,1526552
14,18,37,東京,福岡,ANA,43048,36700,0,6414,0,0.287,0,1605033
15,18,37,東京,福岡,SKY,19145,21700,0,3631,0,0.106,0,589790
16,18,37,成田,福岡,JAL,97040,37000,0,787,0,0.012,0,68401
17,18,37,成田,福岡,ANA,29603,36700,0,729,0,0.009,0,49204
18,18,37,東京,北九州,JAL,313117,36500,63164,1455,1,0.023,5587903,128677
19,18,37,東京,北九州,SFJ,22077,29600,0,3778,0,0.068,0,382047
20,18,37,東京,佐賀,ANA,142083,37400,0,1808,0,0.023,0,127199
21,18,37,東京,博多,JR,22950,22950,0,0,0,0.199,0,1111000
22,25,18,大阪,東京,JAL,13345,24600,1399,5462,0.013,0.052,336929,1315634
23,25,18,大阪,東京,ANA,13344,24600,1304,5091,0.014,0.053,344983,1347162
24,25,18,関西,東京,JAL,14984,24600,725,2280,0.003,0.01,77334,243321
25,25,18,関西,東京,ANA,14983,24600,614,1934,0.003,0.009,73343,230813
26,25,18,関西,東京,SFJ,14978,20700,773,1456,0.003,0.006,84023,158283
27,25,18,大阪,成田,JAL,14095,25000,195,728,0.001,0.004,28990,108098
28,25,18,大阪,成田,ANA,14094,24600,180,637,0.001,0.004,25057,88647
29,25,18,南紀白浜,東京,JAL,14543,27000,203,928,0.001,0.003,14806,67727
30,25,18,神戸,東京,JAL,15153,24600,236,726,0.001,0.004,36214,111429
31,25,18,神戸,東京,ANA,15155,24600,266,818,0.002,0.005,39870,122651
32,25,18,神戸,東京,SKY,15151,11400,3508,1897,0.02,0.011,510410,276054
33,25,18,新大阪,東京,JR,14450,14450,0,0,0.938,0.839,23661860,21164000
34,25,37,大阪,福岡,JAL,13981,21900,334,835,0.011,0.028,33734,84243
35,25,37,大阪,福岡,ANA,13991,21900,1036,2585,0.038,0.094,115048,286928
36,25,37,大阪,福岡,JAC,13979,21900,284,710,0.005,0.012,15049,37593
37,25,37,関西,福岡,JAL,13731,21900,357,920,0.005,0.012,13966,36040
38,25,37,関西,福岡,ANA,13742,21900,515,1327,0.008,0.02,24126,62171
39,25,37,大阪,佐賀,ANA,14816,21900,322,721,0.003,0.007,9384,20996
40,25,37,新大阪,博多,JR,15310,15310,0,0,0.931,0.827,2832664,2516000
41,37,18,福岡,東京,JAL,18616,36700,1928,6777,0.078,0.274,440239,1546302
42,37,18,福岡,東京,ANA,18616,36700,1825,6411,0.083,0.29,466918,1639873
43,37,18,福岡,東京,SKY,18632,21700,7470,3628,0.219,0.106,1237790,601398
44,37,18,福岡,成田,JAL,19278,37000,236,790,0.004,0.013,21831,73111
45,37,18,福岡,成田,ANA,19285,36700,227,730,0.003,0.009,16342,52552
46,37,18,北九州,東京,JAL,17786,36500,381,1454,0.006,0.022,32275,123165
47,37,18,北九州,東京,SFJ,17783,29600,2456,3777,0.043,0.066,242225,372587
48,37,18,佐賀,東京,ANA,19508,37400,428,1468,0.007,0.023,37577,128686
49,37,18,博多,東京,JR,22950,22950,0,0,0.558,0.197,3154478,1112000
50,37,25,福岡,大阪,JAL,13981,21900,335,836,0.01,0.025,30734,76702
51,37,25,福岡,大阪,ANA,13991,21900,1035,2581,0.038,0.094,114863,286273
52,37,25,福岡,大阪,JAC,13978,21900,282,703,0.005,0.013,15382,38401
53,37,25,福岡,関西,JAL,13733,21900,357,920,0.005,0.012,14659,37797
54,37,25,福岡,関西,ANA,13742,21900,516,1328,0.009,0.023,26637,68597
55,37,25,佐賀,大阪,ANA,14814,21900,321,717,0.003,0.008,10465,23402
56,37,25,博多,新大阪,JR,15310,15310,0,0,0.93,0.826,2835432,2517000
