"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",13047.3695072498,8400,1047.09489067191,1506,0.51791680063425,0.744915310749533,31066.7213692448,44683
"2",3,8,"函館","丘珠","HAC",9744.03414298953,8400,1487.51433285778,787,0.48208319936575,0.255084689250467,28917.2786307552,15301
"3",3,18,"函館","東京","JAL",16019.7824727473,15700,1068.89705993182,1086,0.432380764970274,0.439034086436275,219701.314296696,223082
"4",3,18,"函館","東京","ANA",14716.2890852429,15700,1062.09264067703,727,0.442800881768829,0.303013067779265,224995.984044377,153967
"5",3,18,"函館","東京","ADO",11167.3558430748,12100,349.145957345258,722,0.124818353260897,0.25795284578446,63422.7016589269,131071
"6",8,3,"丘珠","函館","ANA",12898.6087706946,8400,1063.05440383194,1508,0.510782388780821,0.724910531046999,30115.2188601284,42740
"7",8,3,"丘珠","函館","HAC",9840.02320957206,8400,1381.40714271416,777,0.489217611219179,0.275089468953001,28843.7811398716,16219
"8",8,12,"新千歳","仙台","JAL",13693.3875862165,14200,1204.65365716222,1433,0.293301287555661,0.349164082411958,97700.7119938036,116309
"9",8,12,"新千歳","仙台","ANA",12985.1017077712,14200,1124.71118338816,1081,0.3307568664313,0.317795783336886,110177.427506331,105860
"10",8,12,"新千歳","仙台","ADO",11716.8422794751,13700,1524.35559085434,1351,0.375941846013039,0.333040134251157,125228.860499865,110938
"11",8,18,"新千歳","東京","JAL",16500.0833117855,16750,7404.10788857632,6597,0.435747715290599,0.388256224474403,2030703.31238047,1809380
"12",8,18,"新千歳","東京","ANA",16251.1465668239,16750,7362.2742641961,6079,0.454679363463042,0.375695586932354,2118929.961204,1750844
"13",8,18,"新千歳","東京","SKY",8606.53261825416,10850,994.916495187165,2894,0.0292475505206779,0.0850284951117671,136301.570007651,396256
"14",8,18,"新千歳","東京","ADO",11852.1530580224,12950,1600.28498108855,3487,0.0590035424574936,0.128494403654035,274972.615819011,598819
"15",8,18,"新千歳","成田","JAL",17181.5095494806,16750,582.837193105616,638,0.0127597487432472,0.0139732157322114,59463.9125549391,65119
"16",8,18,"新千歳","成田","ANA",148994.874759191,16750,1.55045618240724e-15,362,2.37306103631596e-20,0.00554516870578183,1.10591122748953e-13,25842
"17",8,18,"新千歳","成田","IBX",13424.4804767723,16750,1016.60198812565,357,0.00856207952494026,0.00300690538944821,39901.6280339319,14013
"18",8,25,"新千歳","大阪","JAL",21209.9349145605,20700,928.713237468721,784,0.187162110336249,0.15284084850313,194824.339971305,159098
"19",8,25,"新千歳","大阪","ANA",20264.7416440576,20700,692.94679878206,424,0.155708877404607,0.0952505382159761,162083.443136675,99150
"20",8,25,"新千歳","関西","JAL",22878.8001483785,20650,1052.15680616713,1464,0.15939601014263,0.221738257477143,165921.523401859,230816
"21",8,25,"新千歳","関西","ANA",22712.1349186215,20650,1120.24795303499,1481,0.171161723811632,0.226378298824427,178168.913622756,235646
"22",8,25,"新千歳","神戸","JAL",22119.604536797,20700,1010.21298244833,1084,0.156310933616394,0.167650553970982,162710.146927716,174514
"23",8,25,"新千歳","神戸","ANA",21149.4922920661,20700,1351.30378502051,1081,0.170260344688488,0.136141503008342,177230.63293969,141715
"24",8,37,"新千歳","福岡","JAL",26533.9188572291,25550,631.183765258509,728,0.465829556402412,0.537408697606473,103635.430560627,119560
"25",8,37,"新千歳","福岡","ANA",25586.3948107933,25550,428.407678427124,371,0.534170443597588,0.462591302393527,118839.569439373,102915
"26",12,8,"仙台","新千歳","JAL",13607.3202185514,14200,1219.49253545436,1433,0.30196180210762,0.354665965948733,99976.2310980097,117426
"27",12,8,"仙台","新千歳","ANA",12957.3450988426,14200,1120.14732593754,1081,0.325027626136221,0.313568255061328,107613.071709815,103819
"28",12,8,"仙台","新千歳","ADO",11689.0383792202,13700,1519.62221228221,1351,0.37301057175616,0.331765778989939,123499.697192175,109844
"29",12,18,"仙台","成田","ANA",18131.7752360434,9050,217.219801264613,364,0.353952992002984,0.592597559340217,7918.28238409875,13257
"30",12,18,"仙台","成田","IBX",14906.2497694975,9050,565.664094555822,357,0.646047007997016,0.407402440659783,14452.7176159012,9114
"31",12,25,"仙台","大阪","ANA",16191.3029938942,15400,1887.88438337557,2174,0.501433379456782,0.577538372847157,250502.076241984,288522
"32",12,25,"仙台","大阪","JEX",15359.9782703373,15400,2426.72417846763,2174,0.451263958983681,0.404133938651486,225438.838517395,201894
"33",12,25,"仙台","大阪","IBX",12592.2711864118,15400,1086.48667772971,421,0.0473026615595372,0.0183276885013572,23631.0852406211,9156
"34",12,37,"仙台","福岡","JAL",24521.2430376615,21750,671.793811036544,946,0.523609471852211,0.737812511177081,58558.3888940638,82514
"35",12,37,"仙台","福岡","ANA",21415.4788787128,21750,879.580814850687,484,0.476390528147789,0.262187488822919,53277.6111059362,29322
"36",18,3,"東京","函館","JAL",14943.4486236841,15700,1259.77317696334,1087,0.523066030696204,0.451180712736194,278010.118381063,239803
"37",18,3,"東京","函館","ANA",14951.6269966503,15700,845.952439054748,731,0.383752510241278,0.331807466025464,203964.84294575,176356
"38",18,3,"東京","函館","ADO",11024.6733057754,12100,311.752429247148,726,0.093181459062518,0.217011821238342,49526.0386731874,115342
"39",18,8,"東京","新千歳","JAL",16528.5639349129,16750,7434.20392509825,6604,0.431670861898851,0.383155477951581,1976783.18487891,1754613
"40",18,8,"東京","新千歳","ANA",16268.2018109346,16750,7403.7431728797,6078,0.456679617804818,0.374629643864142,2091307.68146456,1715570
"41",18,8,"東京","新千歳","SKY",8610.39500736006,10850,1010.46690971773,2903,0.0301903781332847,0.0867720842315634,138253.093054489,397362
"42",18,8,"東京","新千歳","ADO",11860.4414988214,12950,1620.57989353444,3495,0.0610449872838546,0.131613346447202,279547.949687989,602707
"43",18,8,"成田","新千歳","JAL",17125.0123969588,16750,599.880903214045,638,0.0129795151991989,0.0137999150976028,59438.0803948465,63195
"44",18,8,"成田","新千歳","ANA",127487.451218944,16750,1.05940471509605e-12,364,2.17102832927111e-17,0.00745363560450157,9.94195502638422e-11,34133
"45",18,8,"成田","新千歳","IBX",13420.9411277953,16750,1041.16240119888,361,0.00743463967999208,0.00257589680340728,34046.0105192034,11796
"46",18,12,"成田","仙台","ANA",18535.249826613,9050,204.406547043053,364,0.360898714863796,0.642522368981679,7623.26355406796,13572
"47",18,12,"成田","仙台","IBX",14710.3954941725,9050,641.317645887508,359,0.639101285136204,0.357477631018321,13499.736445932,7551
"48",18,25,"東京","大阪","JAL",9177.80476992977,11250,4200.52283061811,5463,0.038734009841453,0.0503481148871244,971335.321238768,1262583
"49",18,25,"東京","大阪","ANA",9299.53433816154,11250,3780.73214039208,5096,0.0391638777314506,0.0528132358067726,982115.146687518,1324401
"50",18,25,"東京","関西","JAL",11697.6743468345,11250,818.930965946374,2281,0.00356938892041804,0.00994773471505797,89509.801536992,249460
"51",18,25,"東京","関西","ANA",11666.7999713551,11250,585.471225721579,1617,0.00349932551876774,0.00966241425531998,87752.8169896228,242305
"52",18,25,"東京","関西","SFJ",9692.45915920329,10350,555.556717861882,1455,0.00229373405726762,0.00600776023797999,57520.1203405478,150657
"53",18,25,"成田","大阪","JAL",11409.8253458949,11250,285.20369018561,729,0.00164135774720172,0.00419307426155835,41160.436556189,105150
"54",18,25,"成田","大阪","ANA",42257.7093334825,11250,0.021931658274666,637,1.20546135840439e-07,0.00349925306253929,3.02294340451565,87751
"55",18,25,"東京","神戸","JAL",13076.7845815083,11250,171.831496905032,727,0.00113275950671263,0.00479286532164488,28406.28491196,120191
"56",18,25,"東京","神戸","ANA",11567.7686932343,11250,304.298256755269,816,0.00170564862125042,0.00457075002314864,42772.6630479059,114621
"57",18,25,"東京","神戸","SKY",7406.73788893284,5700,86.5564568571095,1895,0.000471642914317922,0.0103260485098217,11827.4204907829,258947
"58",18,25,"東京","新大阪","JR",0,7225,1,1,0.907788134595024,0.843838748919032,22764662.9652563,21161000
"59",18,37,"東京","福岡","JAL",16553.1242323502,18350,6147.45415729575,6779,0.247692767749683,0.273188707821163,1384083.15998676,1526552
"60",18,37,"東京","福岡","ANA",16398.720628268,18350,6095.85595236537,6414,0.272891949785503,0.287233511390588,1524893.74488226,1605033
"61",18,37,"東京","福岡","SKY",9339.65863426074,10850,311.58466494349,3631,0.00906149187449263,0.10554764461731,50634.737629953,589790
"62",18,37,"成田","福岡","JAL",18371.2833982841,18350,411.788206451256,787,0.00640104444475096,0.012240906830344,35768.4154559572,68401
