"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",8340.05433399371,8400,1783.39011824649,1506,0.0785065967274974,0.0662968260374134,52912.1900887856,44683
"2",3,8,"函館","丘珠","HAC",6580.91855950163,8400,1587.48451849227,787,0.0457884742656943,0.0227023193428924,30860.6990394897,15301
"3",3,8,"新函館北斗","札幌","JR",0,3880,1,1,0.875704929006808,0.911000854619694,590211.110871725,614000
"4",3,18,"函館","東京","JAL",14519.014596285,15700,1209.10067446775,1086,0.424731325393448,0.381258545255674,248518.793114214,223082
"5",3,18,"函館","東京","ANA",14694.5217952261,15700,767.800783748325,727,0.277981551783835,0.263137476073284,162652.565579758,153967
"6",3,18,"函館","東京","ADO",10978.142824184,12100,265.525864585797,722,0.0824327159164935,0.224007041290675,48233.0307370587,131071
"7",3,18,"新函館北斗","東京","JR",0,9140,1,1,0.214854406906224,0.131596937380366,125715.61056897,77000
"8",8,3,"丘珠","函館","ANA",7097.80572125036,8400,2507.78935876536,1508,0.105568167355134,0.0635105556207733,71043.0483351435,42740
"9",8,3,"丘珠","函館","HAC",6584.21492457497,8400,1508.24988307949,777,0.0467966957254449,0.0241010224991418,31492.2575586997,16219
"10",8,3,"札幌","新函館北斗","JR",0,3880,1,1,0.847635136919421,0.912388421880085,570423.694106157,614000
"11",8,12,"新千歳","仙台","JAL",12660.5219068151,14200,1503.03381562718,1433,0.354250742703557,0.338002423664732,121900.160319493,116309
"12",8,12,"新千歳","仙台","ANA",13531.0677948072,14200,870.126873760419,1081,0.247708374324145,0.307636868764658,85238.1855635584,105860
"13",8,12,"新千歳","仙台","ADO",11514.1940229159,13700,1479.26598874203,1351,0.353159509998737,0.32239390654651,121524.659507135,110938
"14",8,12,"札幌","仙台","JR",0,8400,1,1,0.0448813729735615,0.0319668010241001,15443.9946098133,11000
"15",8,18,"新千歳","東京","JAL",15956.3237612701,16750,7036.02280490013,6597,0.394367875709208,0.369768864316379,1929749.67827522,1809380
"16",8,18,"新千歳","東京","ANA",15959.2089382658,16750,6482.76243868143,6079,0.381298652812257,0.357806319001617,1865798.40274259,1750844
"17",8,18,"新千歳","東京","SKY",8581.72413131849,10850,808.008557717892,2894,0.022621986631491,0.0809797450499901,110695.556390236,396256
"18",8,18,"新千歳","東京","ADO",11800.4249690973,12950,1310.2848205726,3487,0.0460106511500107,0.122375963899827,225142.676984766,598819
"19",8,18,"新千歳","成田","JAL",16306.2934164563,16750,612.318679456078,638,0.012766865565424,0.0133078616296291,62471.758565919,65119
"20",8,18,"新千歳","成田","ANA",17325.0499255039,16750,255.342363961263,362,0.00372206710464587,0.00528112778502242,18213.0904673518,25842
"21",8,18,"新千歳","成田","IBX",13417.7142667518,16750,821.123179113922,357,0.00658640643598292,0.00286372740699323,32229.0847802214,14013
"22",8,18,"札幌","東京","JR",0,10500,1,1,0.13262549459098,0.0476163909105419,648972.751793689,233000
"23",8,25,"新千歳","大阪","JAL",17229.9527381892,20700,337.24574745174,784,0.0634537002547891,0.142696595957268,70747.0051083743,159098
"24",8,25,"新千歳","大阪","ANA",18256.5216881919,20700,138.529477518012,424,0.0290622912072961,0.0889286319700002,32402.6818963715,99150
"25",8,25,"新千歳","関西","JAL",18756.9205054761,20650,398.841382170206,1464,0.0564119825803284,0.207021191293873,62895.9194461287,230816
"26",8,25,"新千歳","関西","ANA",20462.040932079,20650,240.965586630491,1481,0.0343733364683431,0.211353266860339,38324.173388678,235646
"27",8,25,"新千歳","神戸","JAL",18187.255407689,20700,361.589321708203,1084,0.0522355511376095,0.156523361367752,58239.4531498152,174514
"28",8,25,"新千歳","神戸","ANA",19370.7849450916,20700,252.012370928203,1081,0.0296453476941772,0.127105608468266,33052.7543127982,141715
"29",8,25,"札幌","新大阪","JR",0,17725,1,1,0.734817790657457,0.0663713440825014,819277.012697834,74000
"30",8,37,"新千歳","福岡","JAL",22606.270700443,25550,191.674978310389,728,0.136550732878167,0.518754745634017,31471.5301600956,119560
"31",8,37,"新千歳","福岡","ANA",22977.3347758495,25550,87.2801405073389,371,0.105049849991171,0.446534331272372,24211.3641767151,102915
"32",8,37,"札幌","博多","JR",0,21975,1,1,0.758399417130662,0.034710923093611,174792.105663189,8000
"33",12,8,"仙台","新千歳","JAL",12695.1995099945,14200,1503.90420910097,1433,0.360411532953304,0.343261548895171,123292.820896463,117426
"34",12,8,"仙台","新千歳","ANA",13643.5593695652,14200,851.5049122862,1081,0.239132128697198,0.303485350303576,81804.4707738959,103819
"35",12,8,"仙台","新千歳","ADO",11526.878300182,13700,1493.41755839334,1351,0.35479084381733,0.321097726030361,121370.044970626,109844
"36",12,8,"仙台","札幌","JR",0,8400,1,1,0.0456654945321683,0.032155374770893,15621.6633590149,11000
"37",12,18,"仙台","成田","ANA",15651.1351696448,9050,257.171956859945,364,0.41905380200101,0.592597559340217,9374.6526045646,13257
