"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",13167.621644174,8400,1038.0349385588,1506,0.513435543535083,0.744915310749533,30797.9176434084,44683
"2",3,8,"函館","丘珠","HAC",9805.01340832593,8400,1501.34168500985,787,0.486564456464917,0.255084689250467,29186.0823565916,15301
"3",3,18,"函館","東京","JAL",15836.4885353311,15700,1288.59772405746,1086,0.521252130399216,0.439034086436275,264858.63249845,223082
"4",3,18,"函館","東京","ANA",16029.411152153,15700,813.980286728,727,0.339359463479425,0.303013067779265,172435.330583165,153967
"5",3,18,"函館","東京","ADO",11236.8490027896,12100,389.901783084315,722,0.139388406121359,0.25795284578446,70826.036918385,131071
"6",8,3,"丘珠","函館","ANA",13618.7841845019,8400,1008.87689858416,1508,0.484750874825471,0.724910531046999,28580.4268288349,42740
"7",8,3,"丘珠","函館","HAC",10216.1401118665,8400,1454.91250819756,777,0.515249125174529,0.275089468953001,30378.5731711651,16219
"8",8,12,"新千歳","仙台","JAL",14606.1019912297,14200,1129.22697415706,1433,0.274936886210978,0.349164082411958,91583.4013550801,116309
"9",8,12,"新千歳","仙台","ANA",13891.8697899178,14200,1056.18939296789,1081,0.310605868542761,0.317795783336886,103464.989052673,105860
"10",8,12,"新千歳","仙台","ADO",12093.7584439296,13700,1680.52645817809,1351,0.414457245246261,0.333040134251157,138058.609592246,110938
"11",8,18,"新千歳","東京","JAL",16561.3175863425,16750,7562.94596133504,6597,0.445095678387215,0.388256224474403,2074267.37240462,1809380
"12",8,18,"新千歳","東京","ANA",16503.2017692162,16750,7098.12283905736,6079,0.438365898692512,0.375695586932354,2042904.76179745,1750844
"13",8,18,"新千歳","東京","SKY",8611.05285644422,10850,1033.85811186159,2894,0.0303923168468486,0.0850284951117671,141636.493608814,396256
"14",8,18,"新千歳","東京","ADO",11861.9121234914,12950,1660.28598715114,3487,0.0612158183649376,0.128494403654035,285282.425499023,598819
"15",8,18,"新千歳","成田","JAL",17709.6524156402,16750,516.871084448581,638,0.0113155873513695,0.0139732157322114,52733.7262127289,65119
"16",8,18,"新千歳","成田","ANA",17552.563715256,16750,307.689708053143,362,0.00470936531932617,0.00554516870578183,21946.9280447921,25842
"17",8,18,"新千歳","成田","IBX",13425.9832564143,16750,1057.35776898271,357,0.00890533503779096,0.00300690538944821,41501.2924325712,14013
"18",8,25,"新千歳","大阪","JAL",20955.1294113316,20700,1028.16128934671,784,0.207203718991515,0.15284084850313,215686.432043309,159098
"19",8,25,"新千歳","大阪","ANA",21010.6418533932,20700,566.655725755049,424,0.127330593181602,0.0952505382159761,132543.380335863,99150
"20",8,25,"新千歳","関西","JAL",22689.3274979912,20650,1142.01271222765,1464,0.173008689193745,0.221738257477143,180091.491920647,230816
"21",8,25,"新千歳","関西","ANA",22451.1879607049,20650,1242.51366299042,1481,0.189842596757954,0.226378298824427,197614.562826628,235646
"22",8,25,"新千歳","神戸","JAL",23001.6749788419,20700,792.739286372244,1084,0.122661082484729,0.167650553970982,127682.704540572,174514
"23",8,25,"新千歳","神戸","ANA",21047.8293316526,20700,1428.23393235952,1081,0.179953319390455,0.136141503008342,187320.428332981,141715
"24",8,37,"新千歳","福岡","JAL",30101.7790398357,25550,563.592748130414,728,0.415945679061757,0.537408697606473,92537.5149492644,119560
"25",8,37,"新千歳","福岡","ANA",28485.1630366634,25550,468.414826592276,371,0.584054320938243,0.462591302393527,129937.485050736,102915
"26",12,8,"仙台","新千歳","JAL",14392.0597534439,14200,1181.96691011,1433,0.292669981842416,0.354665965948733,96899.8116182235,117426
"27",12,8,"仙台","新千歳","ANA",13939.8741553693,14200,1022.58268634921,1081,0.296717775756774,0.313568255061328,98239.9916575346,103819
"28",12,8,"仙台","新千歳","ADO",12053.2587451827,13700,1672.80911436252,1351,0.41061224240081,0.331765778989939,135949.196724242,109844
"29",12,18,"仙台","成田","ANA",14689.773495671,9050,275.289977706867,364,0.448576560288265,0.592597559340217,10035.1062302088,13257
"30",12,18,"仙台","成田","IBX",12770.0457046119,9050,482.813846175782,357,0.551423439711735,0.407402440659783,12335.8937697912,9114
"31",12,25,"仙台","大阪","ANA",16683.5924020182,15400,1803.3486741281,2174,0.478980189660834,0.577538372847157,239285.091309242,288522
"32",12,25,"仙台","大阪","JEX",15574.4021985087,15400,2521.47689540984,2174,0.46888379668555,0.404133938651486,234241.216077793,201894
"33",12,25,"仙台","大阪","IBX",12611.8357098945,15400,1197.50310864203,421,0.0521360136536158,0.0183276885013572,26045.6926129641,9156
"34",12,37,"仙台","福岡","JAL",31544.6349977523,21750,666.944917698057,946,0.519830147841893,0.737812511177081,58135.724414046,82514
"35",12,37,"仙台","福岡","ANA",28388.8371435121,21750,886.558747232139,484,0.480169852158107,0.262187488822919,53700.275585954,29322
"36",18,3,"東京","函館","JAL",15985.2145075629,15700,1167.76916234521,1087,0.484865364406085,0.451180712736194,257706.426047199,239803
"37",18,3,"東京","函館","ANA",15604.5037555728,15700,882.138653223825,731,0.400167795406753,0.331807466025464,212689.583426484,176356
"38",18,3,"東京","函館","ADO",11121.8825920687,12100,384.638661723139,726,0.114966840187162,0.217011821238342,61104.9905263168,115342
"39",18,8,"東京","新千歳","JAL",16416.831204178,16750,7796.75105005282,6604,0.452722346561484,0.383155477951581,2073185.84850734,1754613
"40",18,8,"東京","新千歳","ANA",16525.4536305724,16750,6944.18186573223,6078,0.428332837371542,0.374629643864142,1961497.11547114,1715570
"41",18,8,"東京","新千歳","SKY",8611.89983521691,10850,1024.03368078491,2903,0.0305957213905719,0.0867720842315634,140109.312238672,397362
"42",18,8,"東京","新千歳","ADO",11864.1350550333,12950,1641.2503992412,3495,0.061823616441883,0.131613346447202,283113.585367164,602707
"43",18,8,"成田","新千歳","JAL",17510.4318399209,16750,541.233796720293,638,0.0117105783051483,0.0137999150976028,53627.1412367166,63195
"44",18,8,"成田","新千歳","ANA",17046.7841897305,16750,355.143840379521,364,0.0072779300246948,0.00745363560450157,33328.3780847668,34133
"45",18,8,"成田","新千歳","IBX",13421.3452199235,16750,1055.49293866043,361,0.0075369699046761,0.00257589680340728,34514.619094196,11796
"46",18,12,"成田","仙台","ANA",14891.4221375519,9050,263.299544519519,364,0.464879763471092,0.642522368981679,9819.65524379987,13572
"47",18,12,"成田","仙台","IBX",12489.5331691274,9050,536.975997919246,359,0.535120236528908,0.357477631018321,11303.3447562001,7551
"48",18,25,"東京","大阪","JAL",9634.55499461476,11250,3684.66901841872,5463,0.0339772004050568,0.0503481148871244,852048.497052835,1262583
