"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",7028.36439743779,8400,2057.67180792361,1506,0.090580747963902,0.0662968260374134,61049.9748357025,44683
"2",3,8,"函館","丘珠","HAC",6542.11157545519,8400,1245.93842447401,787,0.0359371186434319,0.0227023193428924,24221.0429717748,15301
"3",3,8,"新函館北斗","札幌","JR",0,4295,1,1,0.873482133392666,0.911000854619694,588712.982192523,614000
"4",3,18,"函館","東京","JAL",14263.4239264425,15700,1133.33161656412,1086,0.398115268462217,0.381258545255674,232945.205882613,223082
"5",3,18,"函館","東京","ANA",13881.1846723075,15700,852.056892077412,727,0.308486396577356,0.263137476073284,180501.560365343,153967
"6",3,18,"函館","東京","ADO",10936.4577411958,12100,233.281205832217,722,0.0724223359521745,0.224007041290675,42375.7572123363,131071
"7",3,18,"新函館北斗","東京","JR",0,9425,1,1,0.220975999008252,0.131596937380366,129297.476539709,77000
"8",3,25,"函館","関西","ANA",18258.2692530453,19450,110.303583522795,363,0.224612981386386,0.739222884194901,11197.1817350927,36851
"9",3,25,"新函館北斗","新大阪","JR",0,14240,1,1,0.775387018613614,0.260777115805099,38653.8182649073,13000
"10",8,3,"丘珠","函館","ANA",6971.97195863983,8400,2094.33398524918,1508,0.0881633060127424,0.0635105556207733,59330.2902510291,42740
"11",8,3,"丘珠","函館","HAC",6550.1407040816,8400,1225.08096697283,777,0.0380107712214156,0.0241010224991418,25579.6905903926,16219
"12",8,3,"札幌","新函館北斗","JR",0,4295,1,1,0.873825922765842,0.912388421880085,588049.019158578,614000
"13",8,12,"新千歳","仙台","JAL",13063.8331200866,14200,1238.64631131651,1433,0.291937128206125,0.338002423664732,100457.609375625,116309
"14",8,12,"新千歳","仙台","ANA",12550.1400046185,14200,1090.29371907782,1081,0.31038563781097,0.307636868764658,106805.870670219,105860
"15",8,12,"新千歳","仙台","ADO",11403.1794724519,13700,1424.43267910768,1351,0.340068622417023,0.32239390654651,117019.993454054,110938
"16",8,12,"札幌","仙台","JR",0,8965,1,1,0.0576086115658825,0.0319668010241001,19823.5265001011,11000
"17",8,18,"新千歳","東京","JAL",15538.045473612,16750,6630.47965137342,6597,0.371637251264194,0.369768864316379,1818522.52740529,1809380
"18",8,18,"新千歳","東京","ANA",15502.9015650152,16750,6179.84243289944,6079,0.363481712702688,0.357806319001617,1778615.25076182,1750844
"19",8,18,"新千歳","東京","SKY",8567.4723028375,10850,673.778799899604,2894,0.0188639276877963,0.0809797450499901,92306.348028646,396256
"20",8,18,"新千歳","東京","ADO",11771.9600974658,12950,1097.32593523561,3487,0.0385325999441259,0.122375963899827,188550.530926393,598819
"21",8,18,"新千歳","成田","JAL",15511.4400868099,16750,646.699574711498,638,0.0134837084161676,0.0133078616296291,65979.4663327059,65119
