"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",7011.66575993246,8400,15.3005189230728,1506,0.000673543974773274,0.0662968260374134,453.95786229359,44683
"2",3,8,"函館","丘珠","HAC",6411.12781881793,8400,21.0092812739334,787,0.000605979411922636,0.0227023193428924,408.420427965266,15301
"3",3,8,"函館","札幌","JR",0,4295,1,1,0.998720476613304,0.911000854619694,673121.621709741,614000
"4",3,18,"函館","東京","JAL",21204.382157222,15700,2036.49583050059,1086,0.715377628606071,0.381258545255674,418581.758049984,223082
"5",3,18,"函館","東京","ANA",13610.0913351542,15700,759.779657547427,727,0.275077510585161,0.263137476073284,160953.352993589,153967
"6",3,18,"函館","東京","ADO",10659.9107195332,12100,3.76677180170506,722,0.001169397302732,0.224007041290675,684.237749774545,131071
"7",3,18,"函館","東京","JR",0,9425,1,1,0.00837546350603611,0.131596937380366,4900.65120665186,77000
"8",3,25,"函館","関西","ANA",20315.5708402778,19450,1,363,0.000482422009711629,0.739222884194901,24.0492196061344,36851
"9",3,25,"函館","新大阪","JR",0,14240,1,1,0.999517577990288,0.260777115805099,49826.9507803939,13000
"10",8,3,"丘珠","函館","ANA",6803.19867211842,8400,17.1070196481865,1508,0.000720138917112413,0.0635105556207733,484.623965521052,42740
"11",8,3,"丘珠","函館","HAC",6411.40202725307,8400,20.462504436211,777,0.000634893199478848,0.0241010224991418,427.257092628086,16219
"12",8,3,"札幌","函館","JR",0,4295,1,1,0.998644967883409,0.912388421880085,672047.118941851,614000
"13",8,12,"新千歳","仙台","JAL",11086.3867385844,14200,33.2415485247849,1433,0.00783471611289572,0.338002423664732,2695.98065746021,116309
"14",8,12,"新千歳","仙台","ANA",11063.3092342528,14200,84.5042356556249,1081,0.0240567295057741,0.307636868764658,8278.08902004341,105860
"15",8,12,"新千歳","仙台","ADO",9576.95215426633,13700,22.6886955375445,1351,0.00541669223758993,0.32239390654651,1863.92171580036,110938
"16",8,12,"札幌","仙台","JR",0,8965,1,1,0.96269186214374,0.0319668010241001,331269.008606696,11000
"17",8,18,"新千歳","東京","JAL",16766.112531064,16750,8647.93297952541,6597,0.484715165510247,0.369768864316379,2371843.63208182,1809380
"18",8,18,"新千歳","東京","ANA",17211.6268053045,16750,8760.51514506843,6079,0.515269941533657,0.357806319001617,2521356.49261822,1750844
"19",8,18,"新千歳","東京","SKY",8519.06760212558,10850,1,2894,3.55933684096682e-07,0.0809797450499901,1.74168068618082,396256
"20",8,18,"新千歳","東京","ADO",11628.442176612,12950,1,3487,2.56623016290669e-06,0.122375963899827,12.5572647679369,598819
"21",8,18,"新千歳","成田","JAL",85688.3357384851,16750,1,638,3.13717527962429e-17,0.0133078616296291,1.5351055092053e-10,65119
"22",8,18,"新千歳","成田","ANA",32503.6125503212,16750,1,362,6.7896431358152e-11,0.00528112778502242,0.000332235774361199,25842
"23",8,18,"新千歳","成田","IBX",13908.5913107394,16750,1,357,2.11576664838425e-09,0.00286372740699323,0.0103530238148391,14013
"24",8,18,"札幌","東京","JR",0,11390,1,1,1.19686085859471e-05,0.0476163909105419,58.565669241183,233000
"25",8,25,"新千歳","大阪","JAL",20141.3240755505,20700,2706.08215829438,784,0.509156683026273,0.142696595957268,567678.64301663,159098
"26",8,25,"新千歳","大阪","ANA",19609.9528522816,20700,2264.88204155149,424,0.475152744535444,0.0889286319700002,529766.325839603,99150
"27",8,25,"新千歳","関西","JAL",22006.2391623782,20650,12.9636816068252,1464,0.0018335784942924,0.207021191293873,2044.32817284787,230816
"28",8,25,"新千歳","関西","ANA",21714.1995044279,20650,8.16021563296089,1481,0.00116404106299263,0.211353266860339,1297.83477873194,235646
"29",8,25,"新千歳","神戸","JAL",21181.5262482617,20700,20.9796969769793,1084,0.00303074778070166,0.156523361367752,3379.09889986773,174514
"30",8,25,"新千歳","神戸","ANA",22354.2211514828,20700,1,1081,9.83214139195951e-05,0.127105608468266,109.622378914099,141715
