"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",8161.39721664484,8400,3.45557279461405,1506,0.000152117731882475,0.0662968260374134,102.524917405078,44683
"2",3,8,"函館","丘珠","HAC",6409.77982828877,8400,6.72286756582868,787,0.00019391045704306,0.0227023193428924,130.69254547971,15301
"3",3,8,"新函館北斗","札幌","JR",0,3880,1,1,0.999653971811074,0.911000854619694,673750.782537115,614000
"4",3,18,"函館","東京","JAL",20977.4430300714,15700,2019.07002691274,1086,0.709256314798045,0.381258545255674,415000.054914632,223082
"5",3,18,"函館","東京","ANA",13511.7876464261,15700,724.509601784013,727,0.262308020060871,0.263137476073284,153481.668698017,153967
"6",3,18,"函館","東京","ADO",10659.4810916308,12100,3.48705294757798,722,0.00108255836192028,0.224007041290675,633.426548726796,131071
"7",3,18,"新函館北斗","東京","JR",0,9140,1,1,0.0273531067791636,0.131596937380366,16004.8498386243,77000
"8",3,25,"函館","関西","ANA",22183.4451784737,19450,1,363,0.000177656482056356,0.739222884194901,8.85635328699142,36851
"9",3,25,"新函館北斗","新大阪","JR",0,16365,1,1,0.999822343517944,0.260777115805099,49842.143646713,13000
"10",8,3,"丘珠","函館","ANA",7030.4596776134,8400,5.10816217323297,1508,0.000215033737700566,0.0635105556207733,144.708889089235,42740
"11",8,3,"丘珠","函館","HAC",6409.91933179587,8400,6.5481928189316,777,0.000203171762409436,0.0241010224991418,136.726266059292,16219
"12",8,3,"札幌","新函館北斗","JR",0,3880,1,1,0.99958179449989,0.912388421880085,672677.564844851,614000
"13",8,12,"新千歳","仙台","JAL",12893.2135696558,14200,1,1433,0.000169164185423063,0.338002423664732,58.210580353374,116309
"14",8,12,"新千歳","仙台","ANA",11381.1023025958,14200,2.78473504662559,1081,0.000792760472207902,0.307636868764658,272.794427810045,105860
"15",8,12,"新千歳","仙台","ADO",9558.6374766944,13700,1,1351,0.000200543322939605,0.32239390654651,69.0083612267786,110938
"16",8,12,"札幌","仙台","JR",0,8400,1,1,0.998837532019429,0.0319668010241001,343706.986630609,11000
"17",8,18,"新千歳","東京","JAL",16766.6601556826,16750,8642.68145640639,6597,0.484420818536948,0.369768864316379,2370403.31198474,1809380
"18",8,18,"新千歳","東京","ANA",17210.0796621612,16750,8760.74883945285,6079,0.515283686808884,0.357806319001617,2521423.75200237,1750844
"19",8,18,"新千歳","東京","SKY",8516.59374719079,10850,1,2894,3.56034543719624e-07,0.0809797450499901,1.74217421985055,396256
"20",8,18,"新千歳","東京","ADO",11630.3780437867,12950,1,3487,2.56379903550859e-06,0.122375963899827,12.5453685978802,598819
"21",8,18,"新千歳","成田","JAL",53794.8377171825,16750,1,638,2.30888643854013e-13,0.0133078616296291,1.12980116697746e-06,65119
"22",8,18,"新千歳","成田","ANA",22464.2831771657,16750,1,362,1.11924269616588e-09,0.00528112778502242,0.00547676006559571,25842
"23",8,18,"新千歳","成田","IBX",13880.1898206283,16750,1,357,2.13174131518584e-09,0.00286372740699323,0.0104311922205834,14013
"24",8,18,"札幌","東京","JR",0,10500,1,1,0.000292571569374498,0.0476163909105419,1431.63256098786,233000
"25",8,25,"新千歳","大阪","JAL",19208.8065844522,20700,2329.52301822234,784,0.438306061534742,0.142696595957268,488684.521941484,159098
"26",8,25,"新千歳","大阪","ANA",18756.4717555102,20700,1903.62282530759,424,0.399363672549414,0.0889286319700002,445266.133708571,99150
"27",8,25,"新千歳","関西","JAL",20989.0181059545,20650,11.4495955466063,1464,0.0016194267029476,0.207021191293873,1805.5619887577,230816
"28",8,25,"新千歳","関西","ANA",20746.1077528028,20650,7.10075487221172,1481,0.00101291076379317,0.211353266860339,1129.3337140728,235646
"29",8,25,"新千歳","神戸","JAL",20265.357566572,20700,17.9711514055864,1084,0.00259613031107642,0.156523361367752,2894.52693290123,174514
"30",8,25,"新千歳","神戸","ANA",21035.8913071816,20700,1,1081,9.53699372041418e-05,0.127105608468266,106.331662416449,141715
"31",8,25,"札幌","新大阪","JR",0,17725,1,1,0.157006428200823,0.0663713440825014,175052.590051797,74000
"32",8,37,"新千歳","福岡","JAL",21685.8927701902,25550,7.8041986828195,728,0.00555977133301219,0.518754745634017,1281.38829797598,119560
"33",8,37,"新千歳","福岡","ANA",36952.5512980315,25550,676.176931688363,371,0.813842471247855,0.446534331272372,187570.343560849,102915
"34",8,37,"札幌","博多","JR",0,21975,1,1,0.180597757419133,0.034710923093611,41623.2681411746,8000
"35",12,8,"仙台","新千歳","JAL",15912.5946454762,14200,1,1433,6.90464239231516e-05,0.343261548895171,23.620022113447,117426
"36",12,8,"仙台","新千歳","ANA",11340.0678275387,14200,3.74475769437333,1081,0.00105165791293723,0.303485350303576,359.760603778785,103819
"37",12,8,"仙台","新千歳","ADO",9558.98413761545,13700,1.02348489256336,1351,0.000243149055417228,0.321097726030361,83.1786172186242,109844
"38",12,8,"仙台","札幌","JR",0,8400,1,1,0.998636146607722,0.032155374770893,341622.440756889,11000
"39",12,18,"仙台","成田","ANA",12358.4182421402,9050,324.780557012508,364,0.529219938650688,0.592597559340217,11839.1792475545,13257
"40",12,18,"仙台","成田","IBX",11553.452183869,9050,412.204334733678,357,0.470780061349313,0.407402440659783,10531.8207524455,9114
"41",12,25,"仙台","大阪","ANA",20844.4009452287,15400,2641.38610492223,2174,0.701567941715344,0.577538372847157,350483.699778618,288522
"42",12,25,"仙台","大阪","JEX",13561.4783661481,15400,1303.93494359072,2174,0.242474546601943,0.404133938651486,121133.494195026,201894
"43",12,25,"仙台","大阪","IBX",12627.7765338873,15400,1285.27843799339,421,0.055957511682713,0.0183276885013572,27954.8060263563,9156
"44",12,37,"仙台","福岡","JAL",21605.3175591155,21750,686.67101177904,946,0.535205058318538,0.737812511177081,59855.192902112,82514
"45",12,37,"仙台","福岡","ANA",20511.5558404082,21750,858.171372827609,484,0.464794941681462,0.262187488822919,51980.807097888,29322
"46",18,3,"東京","函館","JAL",14059.7914044411,15700,926.398682308456,1087,0.335973387257265,0.394088095171577,204440.142119433,239803
"47",18,3,"東京","函館","ANA",14929.5522350146,15700,1084.87053120613,731,0.429858960920133,0.28982039470765,261569.607578862,176356
"48",18,3,"東京","函館","ADO",10663.8961221412,12100,8.85385808741345,726,0.00231150590144425,0.18955104428752,1406.55365253473,115342
"49",18,3,"東京","新函館北斗","JR",0,9140,1,1,0.231856145921158,0.126540465833253,141084.69664917,77000
"50",18,8,"東京","新千歳","JAL",15211.2997633262,16750,6062.02081453059,6604,0.333358659379215,0.362870022930999,1611914.46095443,1754613
"51",18,8,"東京","新千歳","ANA",20548.0306369381,16750,11394.994402792,6078,0.665656922909668,0.354795573291508,3218701.50927126,1715570
"52",18,8,"東京","新千歳","SKY",8505.50046322557,10850,1,2903,1.18251751887452e-06,0.0821780974219999,5.71791683034541,397362
"53",18,8,"東京","新千歳","ADO",11628.6653342143,12950,1,3495,1.44968082545667e-05,0.124645322307924,70.0975187107335,602707
"54",18,8,"成田","新千歳","JAL",70291.2147254429,16750,1,638,1.1551047933138e-14,0.0130693042278408,5.58536599507452e-08,63195
"55",18,8,"成田","新千歳","ANA",28281.3067633918,16750,1,364,1.2871801706022e-09,0.00705901671348826,0.0062240001046058,34133
"56",18,8,"成田","新千歳","IBX",13614.2532257662,16750,1,361,7.60237579230774e-09,0.00243952073220366,0.0367603454491058,11796
"57",18,8,"東京","札幌","JR",0,10500,1,1,0.000968729495776599,0.0529431423740367,4684.17135437027,256000
"58",18,12,"成田","仙台","ANA",12377.9296680639,9050,298.251500271986,364,0.526590682693188,0.642522368981679,11123.1749905282,13572
"59",18,12,"成田","仙台","IBX",11587.231891881,9050,475.051069333576,359,0.473409317306812,0.357477631018321,9999.82500947178,7551
"60",18,25,"東京","大阪","JAL",14466.0466123476,11250,64401.0847008963,5463,0.593857562306761,0.0503481148871244,14892205.2845657,1262583
"61",18,25,"東京","大阪","ANA",11238.5489642041,11250,34566.1849038859,5096,0.358064467132049,0.0528132358067726,8979206.27452523,1324401
"62",18,25,"東京","関西","JAL",38419.3165534828,11250,1,2281,3.29219184218608e-09,0.00994773471505797,0.082558512111162,249460
"63",18,25,"東京","関西","ANA",13083.6158722241,11250,66.7796214888056,1617,0.000399137691730995,0.00966241425531998,10009.2022386258,242305
"64",18,25,"東京","関西","SFJ",9684.15313292409,10350,1.61485026064593,1455,6.66725272351387e-06,0.00600776023797999,167.195136586237,150657
"65",18,25,"成田","大阪","JAL",17093.6513012564,11250,1,729,2.66899249265525e-06,0.00419307426155835,66.9305008918202,105150
"66",18,25,"成田","大阪","ANA",12217.8883545646,11250,23.7002340171681,637,0.000130267013716145,0.00349925306253929,3266.71450058267,87751
"67",18,25,"東京","神戸","JAL",18050.5552703608,11250,1,727,3.82602701586719e-06,0.00479286532164488,95.9455319946846,120191
"68",18,25,"東京","神戸","ANA",13288.488241271,11250,38.0618004213127,816,0.00021334350746259,0.00457075002314864,5350.02921731086,114621
"69",18,25,"東京","神戸","SKY",7404.56952147628,5700,6.05927049898789,1895,3.30167396003863e-05,0.0103260485098217,827.962958063701,258947
"70",18,25,"東京","新大阪","JR",0,7225,1,1,0.0472890400442564,0.843838748919032,1185870.37826646,21161000
"71",18,37,"東京","福岡","JAL",17345.6142343639,18350,9760.28727763082,6779,0.393260772340899,0.273188707821163,2197503.04954602,1526552
"72",18,37,"東京","福岡","ANA",20376.9312848373,18350,13373.1334429915,6414,0.598672358487012,0.287233511390588,3345323.06800665,1605033
"73",18,37,"東京","福岡","SKY",9305.02062053656,10850,1.06513749341013,3631,3.09762829422425e-05,0.10554764461731,173.092464381806,589790
"74",18,37,"成田","福岡","JAL",44944.4923318423,18350,1,787,1.37368878643773e-10,0.012240906830344,0.000767603969080176,68401
"75",18,37,"成田","福岡","ANA",28633.1746460256,18350,1,729,7.76784390867583e-09,0.00880544991564814,0.0434059582808214,49204
"76",18,37,"東京","北九州","JAL",54635.8515831543,18350,1,1455,9.52158554541321e-12,0.0230277798308238,5.32056964339711e-05,128677
"77",18,37,"東京","北九州","SFJ",12203.1468099464,14800,1,3778,2.67562172517649e-06,0.068370370781311,14.9511146649789,382047
"78",18,37,"東京","佐賀","ANA",22016.6110406317,18350,8.97670865175754,1808,0.000113093800297295,0.0227632798922959,631.957185962655,127199
"79",18,37,"東京","博多","JR",0,11475,1,1,0.00792011555238993,0.198822348920516,44256.8374555464,1111000
"80",18,46,"東京","那覇","JAL",36514.8102057509,20400,6890.514256783,4232,0.800615536083299,0.49157731537897,2084691.5704014,1279999
"81",18,46,"東京","那覇","ANA",23040.6102672775,20400,1700.52270293883,3623,0.199383910883897,0.424837961780602,519167.989578054,1106219
"82",18,46,"東京","那覇","SKY",12866.2946174872,12350,1,1087,5.52903847029046e-07,0.0626761566765661,1.4396847640289,163200
"83",18,46,"成田","那覇","ANA",39753.5606649046,20400,1,365,1.28957053766035e-10,0.020908566163862,0.000335786242976283,54443
"84",25,3,"関西","函館","ANA",20094.5395031706,19450,1,364,0.000288124657277003,0.720347514821582,15.4544303670239,38638
"85",25,3,"新大阪","新函館北斗","JR",0,16365,1,1,0.999711875342723,0.279652485178418,53622.545569633,15000
"86",25,8,"大阪","新千歳","JAL",19205.6963871094,20700,2326.33492179333,786,0.437428508737849,0.140432372733023,490327.175728026,157415
"87",25,8,"大阪","新千歳","ANA",18581.8221737371,20700,1774.08415171836,424,0.38132730465244,0.0911608297031664,427441.596931365,102185
"88",25,8,"関西","新千歳","JAL",20903.3877558452,20650,19.0832471281039,1465,0.00275317925990861,0.21137251088604,3086.12398098862,236934
"89",25,8,"関西","新千歳","ANA",20553.3337588553,20650,7.29805794311003,1481,0.0010191379236887,0.206675522400576,1142.3832919383,231669
"90",25,8,"神戸","新千歳","JAL",20284.4612822201,20700,14.787431992791,1085,0.00214352120044488,0.157171137206483,2402.73936273588,176178
"91",25,8,"神戸","新千歳","ANA",23548.1623624888,20700,1,1089,2.92269516451824e-05,0.1191420346123,32.761396134586,133550
"92",25,8,"新大阪","札幌","JR",0,17725,1,1,0.175299121274023,0.0740455924584118,196498.219308812,83000
"93",25,12,"大阪","仙台","ANA",20240.0016071702,15400,2590.87981275605,2178,0.686267050237535,0.576878652402357,339854.541152732,285683
"94",25,12,"大阪","仙台","JEX",13697.0508245917,15400,1415.5229988284,2175,0.263694492170934,0.404957776512352,130587.313801874,200544
"95",25,12,"大阪","仙台","IBX",12603.4102940883,15400,1163.38709133303,422,0.0500384575915316,0.018163571085291,24780.1450453935,8995
"96",25,18,"大阪","東京","JAL",11593.2281988924,11250,41373.6942056989,5462,0.396043944714693,0.052278041421767,9966878.34873287,1315634
"97",25,18,"大阪","東京","ANA",11599.8637812559,11250,37769.0227614318,5091,0.396937030234453,0.0535308382405977,9989353.82108702,1347162
"98",25,18,"関西","東京","JAL",14012.6932299743,11250,5.11840001956693,2280,2.16954952295955e-05,0.00966860488311018,545.990828933562,243321
"99",25,18,"関西","東京","ANA",13472.6771440696,11250,60.5452856300683,1934,0.000287323310933075,0.00917158691146802,7230.80487668636,230813
"100",25,18,"関西","東京","SFJ",9683.96368624267,10350,7.57369745915601,1456,3.27191201462445e-05,0.00628953434645316,823.412387759441,158283
"101",25,18,"大阪","成田","JAL",12489.4571946087,11250,20.3476987392595,728,0.000120099012520948,0.00429538285086139,3022.42279821134,108098
"102",25,18,"大阪","成田","ANA",13392.8845132738,11250,2.30287135278441,637,1.2734341988374e-05,0.00352247778479074,320.473622038882,88647
"103",25,18,"神戸","東京","JAL",13635.0886599622,11250,62.4368362725164,726,0.000380670326140396,0.0044277434891361,9579.9844493192,111429
"104",25,18,"神戸","東京","ANA",13645.4781517367,11250,35.7709377588621,818,0.000213014874929691,0.00487366095617865,5360.7519398491,122651
"105",25,18,"神戸","東京","SKY",7405.6315506994,5700,27.9824860452022,1897,0.00016177656128177,0.0109692835899988,4071.28382466065,276054
"106",25,18,"新大阪","東京","JR",0,7225,1,1,0.205788992007684,0.840972845525638,5178904.70545265,21164000
"107",25,37,"大阪","福岡","JAL",10011.8665139991,10950,76.3391954725276,896,0.00249725718058172,0.0282997183452769,7626.85817167155,86430
"108",25,37,"大阪","福岡","ANA",9986.16564581028,10950,248.718325140939,2585,0.00904064849617456,0.0939486472911443,27610.9903282758,286928
