"","V1"
"1",106444.201642755
"2",0
"3",225307.373635398
"4",0
"5",0
"6",23987.6884007495
"7",0
"8",345581.310319907
"9",148925.97684394
"10",0
"11",0
"12",0
"13",468638.049233542
"14",0
"15",0
"16",170898.178148531
"17",0
"18",1193398.43226007
"19",0
"20",0
"21",0
"22",34760.7274709143
"23",0
"24",29030.3166817521
"25",0
"26",0
"27",56392.2802872212
"28",0
"29",1492.50556817075
"30",29829.4422804845
"31",0
"32",0
"33",0
"34",25193.1602530911
"35",0
"36",0
"37",24000.1132053332
"38",0
"39",0
"40",0
"41",390864.639263415
"42",0
"43",0
"44",964291.745350796
"45",0
"46",79377.4835083723
"47",0
"48",0
"49",0
"50",98333.913402693
"51",0
"52",0
"53",219709.348697434
"54",0
"55",0
"56",0
