"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",105717.766227923,61325.3493279469,61325.3493279469,61325.3493279469,61325.3493279469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",61325.3493279469,563660.609239437,61325.3493279469,61325.3493279469,61325.3493279469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",61325.3493279469,61325.3493279469,84088.7540060714,61325.3493279469,61325.3493279469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",61325.3493279469,61325.3493279469,61325.3493279469,2066196.81025517,61325.3493279469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",61325.3493279469,61325.3493279469,61325.3493279469,61325.3493279469,192913.52703026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,54699.2177368334,30323.8007841707,30323.8007841707,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,30323.8007841707,89648.567111203,30323.8007841707,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,30323.8007841707,30323.8007841707,532016.480085105,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,259957.123465246,207936.910440054,207936.910440054,207936.910440054,207936.910440054,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,207936.910440054,446801.375570399,207936.910440054,207936.910440054,207936.910440054,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,207936.910440054,207936.910440054,456864.181617129,207936.910440054,207936.910440054,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,207936.910440054,207936.910440054,207936.910440054,227225.700897926,207936.910440054,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,207936.910440054,207936.910440054,207936.910440054,207936.910440054,321933.247600657,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,50103.5547423035,17201.0796873042,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,17201.0796873042,248510.236741288,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62781.660528713,35100.0879553332,35100.0879553332,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35100.0879553332,549304.222102636,35100.0879553332,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35100.0879553332,35100.0879553332,73134.2844782987,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121188.538452247,12046.7607829596
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12046.7607829596,1483297.40051426
