"","V1"
"1",19460
"2",19460
"3",17820
"4",17820
"5",13920
"6",18710
"7",18710
"8",18260
"9",17650
"10",17650
"11",4450
"12",NA
"13",26290
"14",26290
"15",11290
"16",25630
"17",25630
"18",27120
"19",20020
"20",25400
"21",NA
"22",19460
"23",19460
"24",17820
"25",17820
"26",13920
"27",18710
"28",18710
"29",18260
"30",17650
"31",17650
"32",4450
"33",NA
"34",16120
"35",16120
"36",16120
"37",16370
"38",16370
"39",15300
"40",NA
"41",26290
"42",26290
"43",11290
"44",25630
"45",25630
"46",27120
"47",20020
"48",25400
"49",NA
"50",16120
"51",16120
"52",16120
"53",16370
"54",16370
"55",15300
"56",NA
