"","simulatedPrice","observedPrice"
"1",-56866957521.2239,24600
"2",-11539998561718.7,24600
"3",-165321480240.427,24600
"4",-2126925815060.45,24600
"5",-1006251816291.16,20700
"6",-52687683603.6726,24600
"7",-2054225988348.92,24600
"8",-744987748635.529,24600
"9",-71738540050.7446,24600
"10",-1016212181003.16,24600
"11",-1764170953299.6,11400
"12",NA,14450
"13",-67004756619.3402,36700
"14",-280313531980.805,36700
"15",-179082030396.145,21700
"16",-65720003253.7673,36700
"17",-43869750779.1675,36700
"18",-654300765723.48,36700
"19",-1189422241053.21,29600
"20",-43231124059.7985,36700
"21",NA,22950
"22",-33311774083.0063,24600
"23",-33426740320102.8,24600
"24",-38437824701.81,24600
"25",-9432525493706.27,24600
"26",-824908853839.869,20700
"27",-45541090082.4095,24600
"28",-2217600665190.8,24600
"29",-31532302262.2204,24600
"30",-34903960794.5776,24600
"31",-4133566438250.63,24600
"32",-8084302713304.91,11400
"33",NA,14450
"34",-1675072843.62163,21900
"35",-947762395548.123,21900
"36",-567947386110.434,21900
"37",-6397601471.5635,21900
"38",-340317331321.867,21900
"39",-73078665593.7445,21900
"40",NA,15310
"41",-61171976124.1452,36700
"42",-462678654563.858,36700
"43",-226676040250.046,21700
"44",-546195030229.505,36700
"45",-35783393728.6578,36700
"46",-53371287053.2629,36700
"47",-410308859298.966,29600
"48",-120676310453.138,36700
"49",NA,22950
"50",-14563707311.1001,21900
"51",-386039752332.019,21900
"52",-12552143312.7031,21900
"53",-327078889023.199,21900
"54",-95660819873.1685,21900
"55",-93477101272.223,21900
"56",NA,15310
