"","simulatedPrice","observedPrice"
"1",-56866957521.2239,24600
"2",24600,24600
"3",-165321480240.427,24600
"4",24600,24600
"5",20700,20700
"6",-52687683603.6726,24600
"7",24600,24600
"8",-744987748635.529,24600
"9",-71738540050.7446,24600
"10",24600,24600
"11",11400,11400
"12",14450,14450
"13",-67004756619.3402,36700
"14",36700,36700
"15",21700,21700
"16",-65720003253.7673,36700
"17",36700,36700
"18",-654300765723.48,36700
"19",29600,29600
"20",36700,36700
"21",22950,22950
"22",-33311774083.0063,24600
"23",24600,24600
"24",-38437824701.81,24600
"25",24600,24600
"26",20700,20700
"27",-45541090082.4095,24600
"28",24600,24600
"29",-31532302262.2204,24600
"30",-34903960794.5776,24600
"31",24600,24600
"32",11400,11400
"33",14450,14450
"34",-1675072843.62163,21900
"35",21900,21900
"36",21900,21900
"37",-6397601471.5635,21900
"38",21900,21900
"39",21900,21900
"40",15310,15310
"41",-61171976124.1452,36700
"42",36700,36700
"43",21700,21700
"44",-546195030229.505,36700
"45",36700,36700
"46",-53371287053.2629,36700
"47",29600,29600
"48",36700,36700
"49",22950,22950
"50",-14563707311.1001,21900
"51",21900,21900
"52",21900,21900
"53",-327078889023.199,21900
"54",21900,21900
"55",21900,21900
"56",15310,15310
