"","i","j","空港i","空港j","航空会社","運賃（実績）","運賃（ベース）","運賃（反実仮想）","航空便数（実績）","航空便数（ベース）","航空便数（反実仮想）","シェア（実績）","シェア（ベース）","シェア（反実仮想）","需要（実績）","需要（ベース）","需要（反実仮想）"
"1",3,8,"函館","丘珠","ANA",8400,"7028","7216","4.1","5.6","6.6",0.066,0.091,0.107,45,61,72
"2",3,8,"函館","丘珠","HAC",8400,"6542","6575","2.2","3.4","4.2",0.023,0.036,0.044,15,24,30
"3",3,8,"新函館北斗","札幌","JR",8590,"0","0","－","－","－",0.911,0.873,0.849,614,589,572
"4",3,18,"函館","東京","JAL",15700,"14263","15038","3","3.1","3",0.381,0.398,0.379,223,233,222
"5",3,18,"函館","東京","ANA",15700,"13881","14455","2","2.3","2.4",0.263,0.308,0.312,154,181,183
"6",3,18,"函館","東京","ADO",12100,"10936","10990","2","0.6","0.8",0.224,0.072,0.086,131,42,50
"7",3,18,"新函館北斗","東京","JR",18850,"0","0","－","－","－",0.132,0.221,0.223,77,129,131
"8",3,25,"函館","関西","ANA",19450,"18258","－","1","0.3","0",0.739,0.225,0,37,11,0
"9",3,25,"新函館北斗","新大阪","JR",28480,"0","0","－","－","－",0.261,0.775,1,13,39,50
"10",8,3,"丘珠","函館","ANA",8400,"6972","7044","4.1","5.7","7",0.064,0.088,0.107,43,59,72
"11",8,3,"丘珠","函館","HAC",8400,"6550","6585","2.1","3.4","4.1",0.024,0.038,0.047,16,26,31
"12",8,3,"札幌","新函館北斗","JR",8590,"0","0","－","－","－",0.912,0.874,0.846,614,588,569
"13",8,12,"新千歳","仙台","JAL",14200,"13064","12389","3.9","3.4","4.1",0.338,0.292,0.356,116,100,123
"14",8,12,"新千歳","仙台","ANA",14200,"12550","13084","3","3","2.5",0.308,0.31,0.263,106,107,90
"15",8,12,"新千歳","仙台","ADO",13700,"11403","11396","3.7","3.9","3.9",0.322,0.34,0.339,111,117,117
"16",8,12,"札幌","仙台","JR",17930,"0","0","－","－","－",0.032,0.058,0.042,11,20,14
"17",8,18,"新千歳","東京","JAL",16750,"15538","15939","18.1","18.2","19.1",0.37,0.372,0.39,1809,1819,1907
"18",8,18,"新千歳","東京","ANA",16750,"15503","15857","16.7","16.9","18",0.358,0.363,0.387,1751,1779,1892
"19",8,18,"新千歳","東京","SKY",10850,"8567","8580","7.9","1.8","2.2",0.081,0.019,0.022,396,92,109
"20",8,18,"新千歳","東京","ADO",12950,"11772","11798","9.6","3","3.5",0.122,0.039,0.045,599,189,222
"21",8,18,"新千歳","成田","JAL",16750,"15511","15774","1.7","1.8","1.9",0.013,0.013,0.015,65,66,72
"22",8,18,"新千歳","成田","ANA",16750,"15809","16780","1","0.9","0.8",0.005,0.005,0.004,26,24,21
"23",8,18,"新千歳","成田","IBX",16750,"13414","13417","1","1.9","2.2",0.003,0.005,0.006,14,27,32
"24",8,18,"札幌","東京","JR",22780,"0","0","－","－","－",0.048,0.184,0.131,233,899,639
"25",8,25,"新千歳","大阪","JAL",20700,"17967","17104","2.1","1.3","0.9",0.143,0.089,0.064,159,99,71
"26",8,25,"新千歳","大阪","ANA",20700,"17621","17454","1.2","0.8","0.5",0.089,0.062,0.036,99,69,40
"27",8,25,"新千歳","関西","JAL",20650,"19258","18766","4","1.6","1.1",0.207,0.085,0.055,231,95,61
"28",8,25,"新千歳","関西","ANA",20650,"19162","18824","4.1","1.7","1.1",0.211,0.089,0.055,236,100,61
"29",8,25,"新千歳","神戸","JAL",20700,"18609","18223","3","1.5","1",0.157,0.081,0.05,175,90,56
"30",8,25,"新千歳","神戸","ANA",20700,"18569","19972","3","1.5","0.6",0.127,0.066,0.024,142,74,27
"31",8,25,"札幌","新大阪","JR",32410,"0","0","－","－","－",0.066,0.528,0.716,74,589,798
