"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"1",3,8,"函館","丘珠","ANA",7215.58133848502,8400,2423.645895317,1506,0.10669128922896,0.0662968260374134,71908.2218796914,44683
"2",3,8,"函館","丘珠","HAC",6574.94779309997,8400,1537.7498010572,787,0.0443539551866986,0.0227023193428924,29893.8561325519,15301
"3",3,8,"新函館北斗","札幌","JR",0,3880,1,1,0.848954755584341,0.911000854619694,572181.921987757,614000
"4",3,18,"函館","東京","JAL",15037.5281765314,15700,1078.52614557196,1086,0.378863273301799,0.381258545255674,221680.478474348,223082
"5",3,18,"函館","東京","ANA",14454.7850401891,15700,861.59267926709,727,0.311938819362765,0.263137476073284,182521.641985541,153967
"6",3,18,"函館","東京","ADO",10990.0524022677,12100,276.106722091045,722,0.0857175515472657,0.224007041290675,50155.0537613361,131071
"7",3,18,"新函館北斗","東京","JR",0,9140,1,1,0.223480355788171,0.131596937380366,130762.825778775,77000
"8",3,25,"函館","関西","ANA",70699.9292393917,19450,1,363,2.68760184273897e-08,0.739222884194901,0.00133979639462381,36851
"9",3,25,"新函館北斗","新大阪","JR",0,16365,1,1,0.999999973123982,0.260777115805099,49850.9986602036,13000
"10",8,3,"丘珠","函館","ANA",7043.67859508886,8400,2544.49264950029,1508,0.107113232982455,0.0635105556207733,72082.8141546397,42740
"11",8,3,"丘珠","函館","HAC",6584.85611390387,8400,1505.16182599001,777,0.0467008821141724,0.0241010224991418,31427.7789266713,16219
"12",8,3,"札幌","新函館北斗","JR",0,3880,1,1,0.846185884903373,0.912388421880085,569448.406918689,614000
"13",8,12,"新千歳","仙台","JAL",12388.8577253346,14200,1511.7827514469,1433,0.356312783477209,0.338002423664732,122609.722983992,116309
"14",8,12,"新千歳","仙台","ANA",13083.5458729201,14200,923.044809230533,1081,0.26277309208334,0.307636868764658,90422.0603975219,105860
"15",8,12,"新千歳","仙台","ADO",11396.0252760067,13700,1420.32343799948,1351,0.339087583450884,0.32239390654651,116682.411078533,110938
"16",8,12,"札幌","仙台","JR",0,8400,1,1,0.0418265409885666,0.0319668010241001,14392.8055399527,11000
"17",8,18,"新千歳","東京","JAL",15938.5763687447,16750,6953.84490979153,6597,0.389761818733147,0.369768864316379,1907210.9840378,1809380
"18",8,18,"新千歳","東京","ANA",15856.7374803373,16750,6573.49482969631,6079,0.386635288048801,0.357806319001617,1891912.01585642,1750844
"19",8,18,"新千歳","東京","SKY",8579.55643435684,10850,794.813984445289,2894,0.0222525753705211,0.0809797450499901,108887.926241036,396256
"20",8,18,"新千歳","東京","ADO",11797.7011598237,12950,1289.10519852867,3487,0.0452669287271818,0.122375963899827,221503.440133643,598819
"21",8,18,"新千歳","成田","JAL",15774.044602695,16750,707.156370360125,638,0.0147442346886112,0.0133078616296291,72147.5655074446,65119
"22",8,18,"新千歳","成田","ANA",16779.5615568666,16750,296.074766192251,362,0.00431581399444973,0.00528112778502242,21118.456092063,25842
"23",8,18,"新千歳","成田","IBX",13417.2308358207,16750,807.30273711175,357,0.00647554968456413,0.00286372740699323,31686.6324316362,14013
"24",8,18,"札幌","東京","JR",0,10500,1,1,0.130547790752724,0.0476163909105419,638805.979699953,233000
"25",8,25,"新千歳","大阪","JAL",17103.8217072551,20700,340.668786572556,784,0.0640977543310047,0.142696595957268,71465.0861160561,159098
"26",8,25,"新千歳","大阪","ANA",17453.6169836188,20700,171.751984578342,424,0.0360320870379215,0.0889286319700002,40173.5790899731,99150
"27",8,25,"新千歳","関西","JAL",18766.4457216352,20650,386.679985676537,1464,0.0546918790057686,0.207021191293873,60978.1088868126,230816
"28",8,25,"新千歳","関西","ANA",18823.6996744603,20650,384.722247332275,1481,0.054879982819655,0.211353266860339,61187.8331649634,235646
"29",8,25,"新千歳","神戸","JAL",18223.0626758735,20700,347.78579813292,1084,0.0502414804659712,0.156523361367752,56016.1859892494,174514
"30",8,25,"新千歳","神戸","ANA",19972.2242820354,20700,204.247102311554,1081,0.0240265044975876,0.127105608468266,26788.0868980358,141715
"31",8,25,"札幌","新大阪","JR",0,17725,1,1,0.716030311842091,0.0663713440825014,798330.119854909,74000
"32",8,37,"新千歳","福岡","JAL",22088.4712838589,25550,215.637456921184,728,0.153621787455687,0.518754745634017,35405.9814638494,119560
"33",8,37,"新千歳","福岡","ANA",22557.2659294203,25550,95.3291733255312,371,0.11473761727947,0.446534331272372,26444.1523424858,102915
"34",8,37,"札幌","博多","JR",0,21975,1,1,0.731640595264843,0.034710923093611,168624.866193665,8000
"35",12,8,"仙台","新千歳","JAL",12586.4479219724,14200,1452.04266196502,1433,0.347982882517002,0.343261548895171,119041.116297359,117426
"36",12,8,"仙台","新千歳","ANA",13055.8050424534,14200,950.428883286328,1081,0.266913412660584,0.303485350303576,91308.1424236464,103819
"37",12,8,"仙台","新千歳","ADO",11421.4199556737,13700,1440.48088748066,1351,0.342214691865431,0.321097726030361,117067.881725554,109844
