"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数"
"1",1,1,1,22,22,10,10,"南部","南部","八戸","八戸","八戸駅八戸駅","－","#VALUE!",0,NA,NA,NA,4.994543,1,NA
"2",2,1,1,22,22,10,10,"南部","南部","三沢","三沢","三沢駅三沢駅","0","#VALUE!",0,NA,NA,NA,22.523849,0,NA
"3",3,1,2,22,31,10,11,"南部","盛岡","八戸","盛岡","八戸駅盛岡駅","133","133",36,3320,NA,NA,4.994543,1,NA
"4",4,1,2,22,31,10,11,"南部","盛岡","三沢","花巻","三沢駅花巻駅","0","133",0,NA,NA,NA,22.523849,0,NA
"5",5,1,3,22,32,10,11,"南部","北上中部","八戸","新花巻","八戸駅新花巻駅","8","8",36,4540,NA,NA,4.994543,1,NA
"6",6,1,3,22,32,10,11,"南部","北上中部","三沢","花巻","三沢駅花巻駅","0","8",0,NA,NA,NA,22.523849,0,NA
"7",7,1,4,22,33,10,11,"南部","両磐","八戸","一ノ関","八戸駅一ノ関駅","5","5",74,6700,NA,NA,4.994543,1,NA
"8",8,1,4,22,33,10,11,"南部","両磐","三沢","花巻","三沢駅花巻駅","0","5",0,NA,NA,NA,22.523849,0,NA
"9",9,1,5,22,41,10,12,"南部","仙台","八戸","仙台","八戸駅仙台駅","246","246",110,10160,NA,NA,4.994543,1,NA
"10",10,1,5,22,41,10,12,"南部","仙台","三沢","仙台","三沢駅仙台駅","0","246",0,NA,NA,NA,22.523849,0,NA
"11",11,1,6,22,43,10,12,"南部","古川","八戸","くりこま高原","八戸駅くりこま高原駅","0","0",86,7340,NA,NA,4.994543,1,NA
"12",12,1,6,22,43,10,12,"南部","古川","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"13",13,1,7,22,51,10,13,"南部","秋田臨海","八戸","秋田","八戸駅秋田駅","14","14",131,1160,NA,NA,4.994543,1,NA
"14",14,1,7,22,51,10,13,"南部","秋田臨海","三沢","秋田","三沢駅秋田駅","0","14",0,NA,NA,NA,22.523849,0,NA
"15",15,1,8,22,61,10,15,"南部","山形","八戸","山形","八戸駅山形駅","11","11",163,9500,NA,NA,4.994543,1,NA
"16",16,1,8,22,61,10,15,"南部","山形","三沢","山形","三沢駅山形駅","0","11",0,NA,NA,NA,22.523849,0,NA
"17",17,1,9,22,63,10,12,"南部","米沢","八戸","米沢","八戸駅米沢駅","0","0",129,10800,NA,NA,4.994543,1,NA
"18",18,1,9,22,63,10,12,"南部","米沢","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"19",19,1,10,22,64,10,12,"南部","新庄","八戸","新庄","八戸駅新庄駅","0","0",211,7340,NA,NA,4.994543,1,NA
"20",20,1,10,22,64,10,12,"南部","新庄","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"21",21,1,11,22,71,10,12,"南部","福島","八戸","福島","八戸駅福島駅","8","8",93,11880,NA,NA,4.994543,1,NA
"22",22,1,11,22,71,10,12,"南部","福島","三沢","仙台","三沢駅仙台駅","0","8",0,NA,NA,NA,22.523849,0,NA
"23",23,1,12,22,73,10,17,"南部","郡山","八戸","郡山","八戸駅郡山駅","6","6",78,13600,NA,NA,4.994543,1,NA
"24",24,1,12,22,73,10,17,"南部","郡山","三沢","福島","三沢駅福島駅","0","6",0,NA,NA,NA,22.523849,0,NA
"25",25,1,13,22,76,10,17,"南部","白河","八戸","新白河","八戸駅新白河駅","2","2",85,14680,NA,NA,4.994543,1,NA
"26",26,1,13,22,76,10,17,"南部","白河","三沢","福島","三沢駅福島駅","0","2",0,NA,NA,NA,22.523849,0,NA
"27",27,1,14,22,91,10,18,"南部","宇都宮","八戸","宇都宮","八戸駅宇都宮駅","3","3",51,16840,NA,NA,4.994543,1,NA
"28",28,1,14,22,91,10,18,"南部","宇都宮","三沢","羽田","三沢駅羽田駅","0","3",80,14750,1095,350,22.523849,0,1
"29",29,1,15,22,93,10,18,"南部","栃木・小山","八戸","小山","八戸駅小山駅","1","1",42,17500,NA,NA,4.994543,1,NA
"30",30,1,15,22,93,10,18,"南部","栃木・小山","三沢","羽田","三沢駅羽田駅","0","1",80,14750,1095,350,22.523849,0,1
"31",31,1,16,22,95,10,18,"南部","那須","八戸","那須塩原","八戸駅那須塩原駅","14","14",70,15120,NA,NA,4.994543,1,NA
"32",32,1,16,22,95,10,18,"南部","那須","三沢","羽田","三沢駅羽田駅","0","14",80,14750,1095,350,22.523849,0,1
"33",33,1,17,22,101,10,18,"南部","前橋・高崎","八戸","高崎","八戸駅高崎駅","11","11",209,16840,NA,NA,4.994543,1,NA
"34",34,1,17,22,101,10,18,"南部","前橋・高崎","三沢","羽田","三沢駅羽田駅","0","11",80,14750,1095,350,22.523849,0,1
"35",35,1,18,22,104,10,18,"南部","沼田・利根","八戸","上毛高原","八戸駅上毛高原駅","0","0",234,15760,NA,NA,4.994543,1,NA
