ゾーン,アクセシビリティ
23区,18.76411
宇都宮,96.98834233
宇部,3.610893
浦和,36.880575
横浜,20.18317
下関,31.173225
岩国,90.945409
岐阜,62.806706
魚沼,97.229005
京都,78.442426
郡山,21.8682815
県南,19.68411867
古川,66.077715
広島,45.12351617
三条・燕,37.887112
山形,17.369282
山口,34.61171348
児玉・大里,75.420147
鹿児島,25.20522517
秋田臨海,15.329521
小田原,60.01166917
沼田・利根,138.791671
上田,215.251881
新潟,12.11407917
新庄,88.506228
神戸,28.244261
盛岡,31.21727
西部,71.951097
仙台,15.290981
川北薩・串木野,35.20939017
前橋・高崎,113.716307
大阪,35.877489
中部,119.5966953
長岡,58.84856259
長野,188.231001
東三河,50.51748922
東部,82.23444033
東北部,130.202173
徳山,55.652303
栃木・小山,87.28266381
那須,148.066066
南部,22.523849
播磨,64.78129367
白河,23.5539665
八代・芦北,38.7813685
備後,43.0004395
福岡,4.031698
福島,51.9801115
米沢,75.292453
豊田,34.933334
北九州,45.129376
北上中部,3.932392
名古屋,31.379077
両磐,53.973682
