"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"1","函館","丘珠","ANA",1506,387042,"1,011:47",44683,84306,"56","11,483,531","21,666,642",53,0,"568","2,690","861,266","0","147","692","862,105","1,905,575",45.2,257,55.9800796812749,1506.02763786369,2827,3,8,2,40,16800,5,455,2,59984,614000,673984,14.339423,0,55.9800796812749,0
"2","函館","丘珠","HAC",787,202259,"485:30:00",15301,28332,"36","3,932,357","7,281,324",54,2098,"0","0","294,928","539","0","0","295,467","808,631",36.5,257,36,787.088477366255,2827,3,8,10,40,16800,3,390,2,59984,614000,673984,14.339423,0,36,2.66581956797967
"3","函館","東京","JAL",1086,853596,"1,537:38",223082,373272,"344","175,342,452","293,391,792",59.8,6012709,"1,672","113,441","13,150,683","4,725,989","1,315","89,165","17,967,152","35,062,046",51.2,786,343.71270718232,1085.34486781309,8646,3,18,1,80,31400,3,375,3,508120,77000,585120,24.936932,0,343.71270718232,5536.56445672192
"4","函館","東京","ANA",727,571422,"1,059:45",153967,250015,"344","121,018,062","196,511,790",61.6,2745855,"3,944","2,330","9,076,356","2,158,242","3,099","1,831","11,239,528","37,647,579",29.9,786,343.899587345254,726.800606249339,8646,3,18,2,80,31400,2,175,3,508120,77000,585120,24.936932,0,343.899587345254,3776.96698762036
"5","函館","東京","ADO",722,567492,"1,034:35",131071,163940,"227","103,021,806","128,856,840",80,990934,"3,360","0","7,726,634","778,874","2,640","0","8,508,148","18,176,734",46.8,786,227.063711911357,721.554089910943,7074,3,18,7,80,24200,2,280,3,508120,77000,585120,24.936932,0,227.063711911357,1372.48476454294
"6","函館","関西","ANA",363,434511,"730:53:00",36851,44774,"123","44,110,647","53,594,478",82.3,55076,"1,144","12,789","3,308,298","65,926","1,369","15,307","3,390,900","6,191,710",54.8,1197,123.34435261708,363.019682324097,13167,3,25,2,100,38900,1,0,1,36851,13000,49851,43.577409,0,123.34435261708,151.724517906336
"7","丘珠","函館","ANA",1508,387556,"1,044:33",42740,84427,"56","10,984,180","21,697,739",50.6,0,"602","2,121","823,814","0","154","545","824,513","1,908,096",43.2,257,55.986074270557,1508.70380291115,2827,8,3,2,40,16800,5,600,2,58959,614000,672959,14.339423,0,55.986074270557,0
"8","丘珠","函館","HAC",777,199689,"503:02:00",16219,27972,"36","4,168,283","7,188,804",58,24301,"0","0","312,621","6,246","0","0","318,867","798,357",39.9,257,36,776.772030651341,2827,8,3,10,40,16800,3,520,2,58959,614000,672959,14.339423,0,36,31.2754182754183
"9","新千歳","仙台","JAL",1433,951512,"1,592:11",116309,220951,"154","77,229,176","146,711,464",52.6,376647,"697","41,819","5,792,187","250,093","463","27,767","6,070,510","15,024,261",40.4,664,154.187718073971,1434.09458694393,7304,8,12,1,65,28400,4,655,3,333107,11000,344107,56.355039,0,154.187718073971,262.838101884159
"10","新千歳","仙台","ANA",1081,717784,"1,217:11",105860,186108,"172","70,291,040","123,575,712",56.9,772422,"1,748","97,848","5,271,829","512,888","1,161","64,973","5,850,851","16,879,493",34.7,664,172.162812210916,1080.63809954747,7304,8,12,2,65,28400,3,340,3,333107,11000,344107,56.355039,0,172.162812210916,714.54394079556
"11","新千歳","仙台","ADO",1351,897064,"1,537:04",110938,170226,"126","73,662,832","113,030,064",65.2,90661,"823","0","5,524,713","60,198","546","0","5,585,457","13,021,065",42.9,664,126,1350.39925990846,5976,8,12,7,65,27400,4,560,3,333107,11000,344107,56.355039,0,126,67.1065877128053
"12","新千歳","東京","JAL",6597,5897718,"10,363:47",1809380,2932480,"445","1,617,585,720","2,621,637,120",61.7,45127017,"10,856","2,168,668","121,318,927","40,343,553","9,704","1,938,790","163,610,974","306,827,148",53.3,894,444.517204790056,6597.14525984987,9834,8,18,1,90,33500,18,665,4,4660273,233000,4893273,58.783124,0,444.517204790056,6840.53615279673
