"","OD","i","j","空港i","空港j","rk","k","航空会社","所要時間","費用","費用.多客期.","航空便数","滞在可能時間","アクセシビリティ指標","エアライン参入社数","DISk","cpma","Seatk","LFk","V20","V21","V22"
"1","A-1",NA,NA,"東京","新千歳",NA,NA,"JAL",90,33500,35600,18,800,NA,4,NA,NA,NA,NA,18,8,1
"2","A-1",NA,NA,"東京","新千歳",NA,NA,"ANA",90,33500,35600,16,780,NA,4,NA,NA,NA,NA,18,8,2
"3","A-1",NA,NA,"東京","新千歳",NA,NA,"ADO",90,25900,29900,10,785,NA,4,NA,NA,NA,NA,18,8,7
"4","A-1",NA,NA,"東京","新千歳",NA,NA,"SKY",90,21700,21790,9,775,NA,4,NA,NA,NA,NA,18,8,4
"5","A-1",NA,NA,"新千歳","東京",NA,NA,"JAL",90,33500,35600,18,665,NA,4,NA,NA,NA,NA,8,18,1
"6","A-1",NA,NA,"新千歳","東京",NA,NA,"ANA",90,33500,35600,16,680,NA,4,NA,NA,NA,NA,8,18,2
"7","A-1",NA,NA,"新千歳","東京",NA,NA,"ADO",90,25900,29900,10,680,NA,4,NA,NA,NA,NA,8,18,7
"8","A-1",NA,NA,"新千歳","東京",NA,NA,"SKY",90,21700,21790,9,585,NA,4,NA,NA,NA,NA,8,18,4
"9","A-2",NA,NA,"東京","関西",NA,NA,"JAL",75,22500,24600,6,870,NA,3,NA,NA,NA,NA,18,25,1
"10","A-2",NA,NA,"東京","関西",NA,NA,"ANA",75,22500,24600,4,760,NA,3,NA,NA,NA,NA,18,25,2
"11","A-2",NA,NA,"東京","関西",NA,NA,"SFJ",75,20700,22700,4,490,NA,3,NA,NA,NA,NA,18,25,3
"12","A-2",NA,NA,"関西","東京",NA,NA,"JAL",75,22500,24600,6,755,NA,3,NA,NA,NA,NA,25,18,1
"13","A-2",NA,NA,"関西","東京",NA,NA,"ANA",75,22500,24600,4,780,NA,3,NA,NA,NA,NA,25,18,2
"14","A-2",NA,NA,"関西","東京",NA,NA,"SFJ",75,20700,22700,4,755,NA,3,NA,NA,NA,NA,25,18,3
"15","A-3",NA,NA,"東京","大阪",NA,NA,"JAL",65,22500,24600,15,770,NA,2,NA,NA,NA,NA,18,25,1
"16","A-3",NA,NA,"東京","大阪",NA,NA,"ANA",65,22500,24600,14,735,NA,2,NA,NA,NA,NA,18,25,2
"17","A-3",NA,NA,"大阪","東京",NA,NA,"JAL",65,22500,24600,15,660,NA,2,NA,NA,NA,NA,25,18,1
"18","A-3",NA,NA,"大阪","東京",NA,NA,"ANA",65,22500,24600,14,655,NA,2,NA,NA,NA,NA,25,18,2
"19","A-4",NA,NA,"東京","神戸",NA,NA,"JAL",70,22500,24600,2,480,NA,3,NA,NA,NA,NA,18,25,1
"20","A-4",NA,NA,"東京","神戸",NA,NA,"ANA",70,22500,24600,2,790,NA,3,NA,NA,NA,NA,18,25,2
"21","A-4",NA,NA,"東京","神戸",NA,NA,"SKY",70,11400,11900,6,690,NA,3,NA,NA,NA,NA,18,25,4
"22","A-4",NA,NA,"神戸","東京",NA,NA,"JAL",70,22500,24600,2,715,NA,3,NA,NA,NA,NA,25,18,1
"23","A-4",NA,NA,"神戸","東京",NA,NA,"ANA",70,22500,24600,2,710,NA,3,NA,NA,NA,NA,25,18,2
"24","A-4",NA,NA,"神戸","東京",NA,NA,"SKY",70,11400,11900,6,695,NA,3,NA,NA,NA,NA,25,18,4
"25","A-5",NA,NA,"東京","福岡",NA,NA,"JAL",100,36700,38900,19,785,NA,3,NA,NA,NA,NA,18,37,1
"26","A-5",NA,NA,"東京","福岡",NA,NA,"ANA",100,36700,38900,18,805,NA,3,NA,NA,NA,NA,18,37,2
"27","A-5",NA,NA,"東京","福岡",NA,NA,"SKY",100,21700,21700,10,760,NA,3,NA,NA,NA,NA,18,37,4
"28","A-5",NA,NA,"福岡","東京",NA,NA,"JAL",100,36700,38900,19,680,NA,3,NA,NA,NA,NA,37,18,1
"29","A-5",NA,NA,"福岡","東京",NA,NA,"ANA",100,36700,38900,18,690,NA,3,NA,NA,NA,NA,37,18,2
"30","A-5",NA,NA,"福岡","東京",NA,NA,"SKY",100,21700,21700,10,685,NA,3,NA,NA,NA,NA,37,18,4
"31","A-6",NA,NA,"東京","那覇",NA,NA,"JAL",160,40800,42900,11,720,NA,3,NA,NA,NA,NA,18,46,1
"32","A-6",NA,NA,"東京","那覇",NA,NA,"ANA",160,40800,42900,9,705,NA,3,NA,NA,NA,NA,18,46,2
"33","A-6",NA,NA,"東京","那覇",NA,NA,"SKY",160,24700,24700,3,595,NA,3,NA,NA,NA,NA,18,46,4
"34","A-6",NA,NA,"那覇","東京",NA,NA,"JAL",160,40800,42900,11,550,NA,4,NA,NA,NA,NA,46,18,1
"35","A-6",NA,NA,"那覇","東京",NA,NA,"ANA",160,40800,42900,9,575,NA,4,NA,NA,NA,NA,46,18,2
"36","A-6",NA,NA,"那覇","東京",NA,NA,"SKY",160,24700,24700,3,195,NA,4,NA,NA,NA,NA,46,18,4
"37","A-6",NA,NA,"那覇","東京",NA,NA,"JTA",160,40800,42900,1,0,NA,4,NA,NA,NA,NA,46,18,9
"38","A-7",NA,NA,"関西","新千歳",NA,NA,"JAL",110,41300,43500,4,455,NA,2,NA,NA,NA,NA,25,8,1
"39","A-7",NA,NA,"関西","新千歳",NA,NA,"ANA",110,41300,43500,4,590,NA,2,NA,NA,NA,NA,25,8,2
"40","A-7",NA,NA,"新千歳","関西",NA,NA,"JAL",110,41300,43500,4,525,NA,2,NA,NA,NA,NA,8,25,1
"41","A-7",NA,NA,"新千歳","関西",NA,NA,"ANA",110,41300,43500,4,270,NA,2,NA,NA,NA,NA,8,25,2
"42","A-8",NA,NA,"大阪","新千歳",NA,NA,"JAL",110,41400,43500,2,425,NA,2,NA,NA,NA,NA,25,8,1
"43","A-8",NA,NA,"大阪","新千歳",NA,NA,"ANA",110,41400,43500,1,415,NA,2,NA,NA,NA,NA,25,8,2
"44","A-8",NA,NA,"新千歳","大阪",NA,NA,"JAL",110,41400,43500,2,485,NA,2,NA,NA,NA,NA,8,25,1
"45","A-8",NA,NA,"新千歳","大阪",NA,NA,"ANA",110,41400,43500,1,0,NA,2,NA,NA,NA,NA,8,25,2
"46","A-9",NA,NA,"神戸","新千歳",NA,NA,"JAL",115,41400,43500,3,400,NA,2,NA,NA,NA,NA,25,8,1
"47","A-9",NA,NA,"神戸","新千歳",NA,NA,"ANA",115,41400,43500,3,380,NA,2,NA,NA,NA,NA,25,8,2
"48","A-9",NA,NA,"新千歳","神戸",NA,NA,"JAL",115,41400,43500,3,125,NA,2,NA,NA,NA,NA,8,25,1
"49","A-9",NA,NA,"新千歳","神戸",NA,NA,"ANA",115,41400,43500,3,305,NA,2,NA,NA,NA,NA,8,25,2
"50","A-10",NA,NA,"関西","福岡",NA,NA,"JAL",70,21900,24100,3,515,NA,2,NA,NA,NA,NA,25,37,1
"51","A-10",NA,NA,"関西","福岡",NA,NA,"ANA",70,21900,24100,4,410,NA,2,NA,NA,NA,NA,25,37,2
"52","A-10",NA,NA,"福岡","関西",NA,NA,"JAL",70,21900,24100,3,725,NA,2,NA,NA,NA,NA,37,25,1
"53","A-10",NA,NA,"福岡","関西",NA,NA,"ANA",70,21900,24100,4,640,NA,2,NA,NA,NA,NA,37,25,2
"54","A-11",NA,NA,"大阪","福岡",NA,NA,"JAL",70,21900,24100,2,630,NA,3,NA,NA,NA,NA,25,37,1
"55","A-11",NA,NA,"大阪","福岡",NA,NA,"ANA",70,21900,24100,7,615,NA,3,NA,NA,NA,NA,25,37,2
"56","A-11",NA,NA,"大阪","福岡",NA,NA,"JAC",70,21900,24100,2,30,NA,3,NA,NA,NA,NA,25,37,6
"57","A-11",NA,NA,"福岡","大阪",NA,NA,"JAL",70,21900,24100,2,725,NA,3,NA,NA,NA,NA,37,25,1
"58","A-11",NA,NA,"福岡","大阪",NA,NA,"ANA",70,21900,24100,7,675,NA,3,NA,NA,NA,NA,37,25,2
"59","A-11",NA,NA,"福岡","大阪",NA,NA,"JAC",70,21900,24100,2,495,NA,3,NA,NA,NA,NA,37,25,6
"60","A-12",NA,NA,"関西","那覇",NA,NA,"JAL",130,34200,36400,4,615,NA,2,NA,NA,NA,NA,25,46,1
"61","A-12",NA,NA,"関西","那覇",NA,NA,"ANA",130,34200,36400,4,495,NA,2,NA,NA,NA,NA,25,46,2
"62","A-12",NA,NA,"那覇","関西",NA,NA,"JAL",130,34200,36400,4,635,NA,2,NA,NA,NA,NA,46,25,1
"63","A-12",NA,NA,"那覇","関西",NA,NA,"ANA",130,34200,36400,4,435,NA,2,NA,NA,NA,NA,46,25,2
"64","A-13",NA,NA,"大阪","那覇",NA,NA,"JAL",130,34200,36400,1,415,NA,2,NA,NA,NA,NA,25,46,1
"65","A-13",NA,NA,"大阪","那覇",NA,NA,"ANA",130,34200,36400,1,0,NA,2,NA,NA,NA,NA,25,46,2
"66","A-13",NA,NA,"那覇","大阪",NA,NA,"JAL",130,34200,36400,1,0,NA,2,NA,NA,NA,NA,46,25,1
"67","A-13",NA,NA,"那覇","大阪",NA,NA,"ANA",130,34200,36400,1,0,NA,2,NA,NA,NA,NA,46,25,2
