"第4表  国内定期航空路線別, 区間別, 月別運航及び運送実績",,,,,,,,,,,,,,,,,,,,,
（平成２１年）,,,,,,,,,,,,,,,,,,,,,
空港i,空港j,航空会社,運航回数,運航キロメートル,運航時間,旅客数,座席数,,人キロメートル,座席キロメートル,座席利用率,貨物,超過手荷物,郵便物,旅客,貨物,超過手荷物,郵便物,計,"利用可能
トンキロメートル",重量利用率(%)
東京,新千歳,JAL,"6,604","5,903,976","10,177:02","1,754,613","2,936,503",445,"1,568,624,022","2,625,233,682",59.8,"37,511,879","10,529","1,941,826","117,646,801","33,535,620","9,412","1,735,993","152,927,826","305,577,694",50
新千歳,東京,JAL,"6,597","5,897,718","10,363:47","1,809,380","2,932,480",445,"1,617,585,720","2,621,637,120",61.7,"45,127,017","10,856","2,168,668","121,318,927","40,343,553","9,704","1,938,790","163,610,974","306,827,148",53.3
東京,新千歳,ANA,"6,078","5,433,732","9,603:12","1,715,570","2,809,869",462,"1,533,719,580","2,512,022,886",61.1,"41,168,689","30,270","3,098,436","115,028,970","36,804,808","27,061","2,770,000","154,630,839","460,326,128",33.6
新千歳,東京,ANA,"6,079","5,434,626","9,872:53","1,750,844","2,799,347",460,"1,565,254,536","2,502,616,218",62.5,"41,378,944","25,772","1,803,601","117,394,091","36,992,774","23,040","1,612,421","156,022,326","457,656,215",34.1
東京,新千歳,SKY,"2,903","2,595,282","4,680:39","397,362","513,831",177,"355,241,628","459,364,914",77.3,0,"9,841",0,"26,643,122",0,"8,799",0,"26,651,921","48,354,310",55.1
新千歳,東京,SKY,"2,894","2,587,236","4,730:18","396,256","512,238",177,"354,252,864","457,940,772",77.4,0,"10,280",0,"26,568,965",0,"9,191",0,"26,578,156","48,204,399",55.1
東京,新千歳,ADO,"3,495","3,124,530","5,260:03","602,707","849,131",243,"538,820,058","759,123,114",71,"4,874,169","18,057",0,"40,411,506","4,357,507","16,142",0,"44,785,155","108,743,873",41.2
新千歳,東京,ADO,"3,487","3,117,378","5,555:05","598,819","848,671",243,"535,344,186","758,711,874",70.6,"3,757,075","18,115",0,"40,150,815","3,358,824","16,196",0,"43,525,835","108,704,504",40
東京,大阪,JAL,"5,463","2,807,982","6,119:26","1,262,583","2,050,767",375,"648,967,662","1,054,094,238",61.6,"24,067,801","7,576","1,801,647","48,672,574","12,370,851","3,894","926,048","61,973,367","129,085,498",48
大阪,東京,JAL,"5,462","2,807,468","6,161:32","1,315,634","2,049,517",375,"676,235,876","1,053,451,738",64.2,"15,608,944","7,895","810,766","50,717,691","8,022,997","4,059","416,733","59,161,480","129,032,298",45.9
東京,大阪,ANA,"5,096","2,619,344","5,634:53","1,324,401","2,155,994",423,"680,742,114","1,108,180,916",61.4,"16,236,237","9,750","2,426,233","51,055,658","8,345,426","5,013","1,247,084","60,653,181","238,661,542",25.4
大阪,東京,ANA,"5,091","2,616,774","5,975:26","1,347,162","2,154,392",423,"692,441,268","1,107,357,488",62.5,"12,415,705","9,974","1,088,445","51,933,096","6,381,673","5,128","559,462","58,879,359","238,506,341",24.7
東京,関西,JAL,"2,281","1,546,518","2,934:16","249,460","374,347",164,"169,133,880","253,807,266",66.6,"189,389","1,498","222,910","12,685,040","128,405","1,015","151,135","12,965,595","27,826,206",46.6
関西,東京,JAL,"2,280","1,545,840","2,564:35","243,321","375,328",165,"164,971,638","254,472,384",64.8,"689,417","1,459","517,432","12,372,874","467,425",989,"350,818","13,192,106","27,885,124",47.3
東京,関西,ANA,"1,617","1,096,326","2,033:02","242,305","367,216",227,"164,282,790","248,972,448",66,"3,310,927","2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30
関西,東京,ANA,"1,934","1,311,252","2,269:21","230,813","367,208",190,"156,491,214","248,967,024",62.9,"2,691,252","2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22
東京,関西,SFJ,"1,455","986,490","1,806:39","150,657","209,520",144,"102,145,446","142,054,560",71.9,0,502,0,"7,660,909",0,341,0,"7,661,250","15,258,042",50.2
関西,東京,SFJ,"1,456","987,168","1,721:20","158,283","209,664",144,"107,315,874","142,152,192",75.5,0,539,0,"8,048,691",0,366,0,"8,049,057","15,268,529",52.7
東京,福岡,JAL,"6,779","7,056,939","12,468:08","1,526,552","2,622,464",387,"1,589,140,632","2,729,985,024",58.2,"32,322,041","9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2
福岡,東京,JAL,"6,777","7,054,857","10,470:03","1,546,302","2,622,485",387,"1,609,700,382","2,730,006,885",59,"41,041,524","9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5
東京,福岡,ANA,"6,414","6,676,974","11,755:05","1,605,033","2,669,681",416,"1,670,839,353","2,779,137,921",60.1,"33,578,705","22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7
福岡,東京,ANA,"6,411","6,673,851","10,159:50","1,639,873","2,662,324",415,"1,707,107,793","2,771,479,284",61.6,"32,349,941","22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8
東京,福岡,SKY,"3,631","3,779,871","6,987:51","589,790","721,349",199,"613,971,390","750,924,309",81.8,0,"11,172",0,"46,047,855",0,"11,630",0,"46,059,485","90,928,997",50.7
福岡,東京,SKY,"3,628","3,776,748","5,723:40","601,398","720,818",199,"626,055,318","750,371,538",83.4,0,"12,824",0,"46,954,148",0,"13,351",0,"46,967,499","90,870,810",51.7
東京,那覇,JAL,"4,232","7,139,384","11,217:57","1,279,999","2,035,566",481,"2,159,358,313","3,433,999,842",62.9,"39,015,803","9,600","1,089,710","161,951,875","65,819,660","16,195","1,838,341","229,626,071","366,416,400",62.7
那覇,東京,JAL,"4,224","7,125,888","9,476:17","1,285,780","2,023,063",479,"2,169,110,860","3,412,907,281",63.6,"27,117,403","9,645","243,093","162,683,316","45,747,058","16,272","410,098","208,856,744","376,734,767",55.4
東京,那覇,ANA,"3,623","6,112,001","9,668:04","1,106,219","1,653,361",456,"1,866,191,453","2,789,220,007",66.9,"23,484,616","21,132","2,903,273","139,964,357","39,618,548","35,650","4,897,821","184,516,376","463,134,415",39.8
那覇,東京,ANA,"3,616","6,100,192","8,247:37","1,075,612","1,654,187",457,"1,814,557,444","2,790,613,469",65,"23,754,708","17,448","843,244","136,091,808","40,074,192","29,436","1,422,553","177,617,989","462,875,600",38.4
東京,那覇,JTA,17,"28,679",43:50:00,"1,085","2,400",141,"1,830,395","4,048,800",45.2,"2,293",0,0,"137,280","3,868",0,0,"141,148","427,648",33
那覇,東京,JTA,257,"433,559",588:27:00,"32,881","38,470",150,"55,470,247","64,898,890",85.5,"41,893",0,0,"4,160,269","70,675",0,0,"4,230,944","6,465,021",65.4
東京,那覇,SKY,"1,087","1,833,769","3,077:41","163,200","209,047",192,"275,318,400","352,662,289",78.1,0,"14,489",0,"20,648,879",0,"24,442",0,"20,673,321","41,249,213",50.1
那覇,東京,SKY,"1,086","1,832,082","2,525:32","171,742","208,782",192,"289,728,754","352,215,234",82.3,0,"11,632",0,"21,729,658",0,"19,623",0,"21,749,281","41,180,018",52.8
成田,新千歳,JAL,638,"569,096","1,099:57","63,195","114,520",179,"56,369,940","102,151,840",55.2,"173,935",472,0,"4,227,746","155,149",421,0,"4,383,316","11,037,250",39.7
新千歳,成田,JAL,638,"569,096","1,053:29","65,119","114,397",179,"58,086,148","102,042,124",56.9,"20,550",486,0,"4,356,460","18,330",433,0,"4,375,223","11,022,889",39.7
成田,新千歳,ANA,364,"324,688",639:12:00,"34,133","60,246",166,"30,446,636","53,739,432",56.7,"121,522",862,0,"2,283,498","108,397",767,0,"2,392,662","7,094,559",33.7
新千歳,成田,ANA,362,"322,904",605:33:00,"25,842","59,909",165,"23,051,064","53,438,828",43.1,701,753,0,"1,728,830",626,671,0,"1,730,127","7,055,516",24.5
成田,新千歳,IBX,361,"322,012",587:31:00,"11,796","18,050",50,"10,522,032","16,100,600",65.4,0,0,0,"789,152",0,0,0,"789,152","1,393,225",56.6
新千歳,成田,IBX,357,"318,444",594:37:00,"14,013","17,850",50,"12,499,596","15,922,200",78.5,0,0,0,"937,470",0,0,0,"937,470","1,377,785",68
成田,大阪,JAL,729,"429,381",986:13:00,"105,150","149,657",205,"61,933,350","88,147,973",70.3,"481,919",788,19,"4,645,001","283,849",463,11,"4,929,324","12,781,771",38.6
大阪,成田,JAL,728,"428,792",909:09:00,"108,098","148,948",205,"63,669,722","87,730,372",72.6,"834,087",811,"906,812","4,775,230","491,278",476,"534,112","5,801,096","12,795,260",45.3
成田,大阪,ANA,637,"375,193",817:08:00,"87,751","135,078",212,"51,685,339","79,560,942",65,"1,234,331","1,892",0,"3,876,401","727,022","1,115",0,"4,604,538","23,911,645",19.3
大阪,成田,ANA,637,"375,193",809:06:00,"88,647","135,132",212,"52,213,083","79,592,748",65.6,"6,792","1,650",0,"3,915,982","4,001",971,0,"3,920,954","23,916,292",16.4
成田,大阪,IBX,61,"35,929",84:59:00,"2,268","3,050",50,"1,335,852","1,796,450",74.4,0,0,0,"100,189",0,0,0,"100,189","155,451",64.5
大阪,成田,IBX,61,"35,929",72:20:00,"2,141","3,050",50,"1,261,049","1,796,450",70.2,0,0,0,"94,579",0,0,0,"94,579","155,451",60.8
成田,関西,ANA,1,752,1:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,654",0
関西,成田,ANA,0,0,0:00,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
成田,福岡,JAL,787,"871,209","1,609:26","68,401","115,864",147,"75,719,907","128,261,448",59,"74,536",513,"22,084","5,678,993","82,512",568,"24,446","5,786,519","13,917,204",41.6
福岡,成田,JAL,790,"874,530","1,387:34","73,111","116,299",147,"80,933,877","128,742,993",62.9,"10,285",549,"463,637","6,070,041","11,384",607,"513,246","6,595,278","13,969,676",47.2
成田,福岡,ANA,729,"807,003","1,533:18","49,204","89,565",123,"54,468,828","99,148,455",54.9,"5,005","2,324","18,277","4,085,163","5,540","2,572","20,233","4,113,508","11,313,451",36.4
福岡,成田,ANA,730,"808,110","1,304:12","52,552","89,637",123,"58,175,064","99,228,159",58.6,"9,056","1,188","191,600","4,363,130","10,025","1,315","212,101","4,586,571","11,320,209",40.5
成田,那覇,JAL,3,"5,661",9:13,0,0,0,0,0,0,"33,570",0,"7,354",0,"63,347",0,"13,877","77,224","400,611",19.3
那覇,成田,JAL,4,"7,548",8:54,0,0,0,0,0,0,"131,728",0,0,0,"248,571",0,0,"248,571","499,489",49.8
成田,那覇,ANA,365,"688,755","1,075:50","54,443","78,519",215,"102,733,941","148,165,353",69.3,"57,773","3,002","1,052,427","7,705,046","109,020","5,665","1,985,931","9,805,662","31,096,400",31.5
那覇,成田,ANA,364,"686,868",897:41:00,"58,693","78,303",215,"110,753,691","147,757,761",75,"3,148","1,188","607,050","8,306,526","5,941","2,242","1,145,504","9,460,213","31,011,157",30.5
大阪,新千歳,JAL,786,912546,58.68472222,157415,213764,509,182758815,248180004,77.5,3228958,856,319507,13706912,3748821,992,370949,17827674,29253318,64.5
新千歳,大阪,JAL,784,"910,224",62,"159,098","212,764",508,"184,712,778","247,019,004",77.3,"3,276,702",868,"1,337","13,853,461","3,804,252","1,007","1,552","17,660,272","29,580,258",63.15
大阪,新千歳,ANA,424,"492,264",762:59:00,"102,185","128,177",302,"118,636,785","148,813,497",79.7,"1,555,494","1,858","157,664","8,897,759","1,805,928","2,158","183,048","10,888,893","28,700,981",37.9
新千歳,大阪,ANA,424,"492,264",810:53:00,"99,150","127,475",301,"115,113,150","147,998,475",77.8,"1,611,353","1,922","15,021","8,633,486","1,870,782","2,230","17,440","10,523,938","28,482,624",36.9
大阪,福岡,JAL,896,517888,43.85763889,86430,129360,201,49956540,74770080,69.2,790057,504,115787,3746740,456654,292,66924,4270610,8098747,55.9
福岡,大阪,JAL,897,518466,39.61041667,79190,129821,202,45771820,75036538,71.05,586098,461,81752,3432888,338765,266,47253,3819172,8130362,56.95
大阪,福岡,ANA,"2,585","1,494,130","3,296:16","286,928","403,613",156,"165,844,384","233,288,314",71.1,"3,808,755","2,864",730,"12,438,330","2,201,459","1,657",423,"14,641,869","36,347,628",40.3
福岡,大阪,ANA,"2,581","1,491,818","2,964:08","286,273","403,363",156,"165,465,794","233,143,814",71,"3,393,236","2,649","430,711","12,409,937","1,961,289","1,531","248,951","14,621,708","36,343,777",40.2
大阪,福岡,JAC,710,"410,380",902:42:00,"37,593","52,540",74,"21,728,754","30,368,120",71.6,"44,395",225,84,"1,629,656","25,662",130,49,"1,655,497","2,911,238",56.9
