"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ"
"1","東京","関西","JAL",2281,1546518,"2,934:16",249460,374347,"164","169,133,880","253,807,266",66.6,"189,389","1,498","222,910","12,685,040","128,405","1,015","151,135","12,965,595","27,826,206",46.6,678,164.115300306883,2282.32568117755,7458,18,25,1,73.33333333,24600,23,870,3,1202554,21161000,22363554,17.719066
"2","東京","関西","ANA",1617,1096326,"2,033:02",242305,367216,"227","164,282,790","248,972,448",66,"3,310,927","2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30,678,227.097093382808,1616.61596989238,7458,18,25,2,73.33333333,24600,20,760,3,1202554,21161000,22363554,17.719066
"3","東京","関西","SFJ",1455,986490,"1,806:39",150657,209520,"144","102,145,446","142,054,560",71.9,"0","502","0","7,660,909","0","341","0","7,661,250","15,258,042",50.2,678,144,1455.1170607325,7458,18,25,3,73.33333333,20700,4,490,3,1202554,21161000,22363554,17.719066
"4","東京","南紀白浜","JAL",932,590888,"1,157:32",66373,146976,"158","42,080,482","93,182,784",45.2,"4,308","498","0","3,156,036","2,732","315","0","3,159,083","9,546,011",33.1,634,157.699570815451,931.15611916171,6974,18,25,1,70,29000,3,570,1,1202554,21161000,22363554,17.719066
"5","東京","神戸","JAL",727,505265,"905:20",120191,166922,"230","83,532,745","116,010,790",72,"68,371","900","572","6,264,957","47,517","625","398","6,313,497","14,003,694",45.1,695,229.603851444292,727.043311313734,7645,18,25,1,70,22500,2,480,3,1202554,21161000,22363554,17.719066
"6","東京","神戸","ANA",816,567120,"978:32",114621,203727,"250","79,661,595","141,590,265",56.3,"1,083,446","1,025","0","5,974,621","752,994","714","0","6,728,329","24,823,513",27.1,695,249.665441176471,815.450056230563,7645,18,25,2,70,22500,2,790,3,1202554,21161000,22363554,17.719066
"7","東京","神戸","SKY",1895,1317025,"2,394:47",258947,335415,"177","179,968,165","233,113,425",77.2,"0","1,835","0","13,497,612","0","1,275","0","13,498,887","24,538,310",55,695,177,1895.04844705951,7645,18,25,4,70,11400,6,690,3,1202554,21161000,22363554,17.719066
"8","東京","福岡","JAL",6779,7056939,"12,468:08",1526552,2622464,"387","1,589,140,632","2,729,985,024",58.2,"32,322,041","9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2,1041,386.851157987904,6780.23453360847,11451,18,37,1,110,36700,21,785,3,4359298,1111000,5470298,17.719066
"9","東京","福岡","ANA",6414,6676974,"11,755:05",1605033,2669681,"416","1,670,839,353","2,779,137,921",60.1,"33,578,705","22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7,1041,416.227159338946,6416.217523109,11451,18,37,2,110,36700,20,805,3,4359298,1111000,5470298,17.719066
"10","東京","福岡","SKY",3631,3779871,"6,987:51",589790,721349,"199","613,971,390","750,924,309",81.8,"0","11,172","0","46,047,855","0","11,630","0","46,059,485","90,928,997",50.7,1041,198.6640044065,3629.31710795145,11451,18,37,4,110,21700,10,760,3,4359298,1111000,5470298,17.719066
"11","東京","北九州","JAL",1455,1393890,"2,462:37",128677,238812,"164","123,272,566","228,781,896",53.9,"173,664","965","211","9,245,443","166,370","926","202","9,412,941","25,306,720",37.2,958,164.131958762887,1454.51769654968,10538,18,37,1,100,36700,4,615,2,4359298,1111000,5470298,17.719066
"12","東京","北九州","SFJ",3778,3619324,"6,292:22",382047,544032,"144","366,001,026","521,182,656",70.2,"2,675,027","7,673","0","27,450,078","2,562,677","7,351","0","30,020,106","55,980,083",53.6,958,144,3779.35066476733,10538,18,37,3,100,29600,11,705,2,4359298,1111000,5470298,17.719066
"13","東京","佐賀","ANA",1808,2043040,"3,483:47",127199,242443,"134","143,734,870","273,960,590",52.5,"7,849,471","3,456","614,117","10,780,117","8,869,903","3,906","693,951","20,347,877","63,088,564",32.3,1130,134.094579646018,1806.81284928436,12430,18,37,2,110,36700,3,570,1,4359298,1111000,5470298,17.719066
"14","関西","東京","JAL",2280,1545840,"2,564:35",243321,375328,"165","164,971,638","254,472,384",64.8,"689,417","1,459","517,432","12,372,874","467,425","989","350,818","13,192,106","27,885,124",47.3,678,164.617543859649,2281.01672255852,7458,25,18,1,73.33333333,24600,23,755,3,1210278,21164000,22374278,36.359543
"15","関西","東京","ANA",1934,1311252,"2,269:21",230813,367208,"190","156,491,214","248,967,024",62.9,"2,691,252","2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22,678,189.869700103413,1932.65331459713,7458,25,18,2,73.33333333,24600,20,780,3,1210278,21164000,22374278,36.359543
"16","関西","東京","SFJ",1456,987168,"1,721:20",158283,209664,"144","107,315,874","142,152,192",75.5,"0","539","0","8,048,691","0","366","0","8,049,057","15,268,529",52.7,678,144,1455.87748344371,7458,25,18,3,73.33333333,20700,4,755,3,1210278,21164000,22374278,36.359543
