"","OD","i","j","空港i","空港j","rk","k","航空会社","所要時間","費用","費用.多客期.","航空便数","滞在可能時間","アクセシビリティ指標","エアライン参入社数","DISk","cpma","Seatk","LFk"
"1",1,18,103,"東京","南紀白浜","羽田南紀白浜",NA,"JAL",70,29000,31200,3,570,NA,1,NA,NA,NA,NA
"2",2,103,18,"南紀白浜","東京","南紀白浜羽田",NA,"JAL",70,29000,31200,3,330,NA,1,NA,NA,NA,NA
"3",3,18,105,"東京","北九州","羽田北九州",NA,"JAL",100,36700,38900,4,615,NA,2,NA,NA,NA,NA
"4",3,18,105,"東京","北九州","羽田北九州",NA,"SFJ",100,29600,31600,11,705,NA,2,NA,NA,NA,NA
"5",4,105,18,"北九州","東京","北九州羽田",NA,"JAL",100,36700,38900,4,625,NA,2,NA,NA,NA,NA
"6",4,105,18,"北九州","東京","北九州羽田",NA,"SFJ",100,29600,31600,11,980,NA,2,NA,NA,NA,NA
"7",5,18,106,"東京","佐賀","羽田佐賀",NA,"ANA",110,36700,38900,3,570,NA,1,NA,NA,NA,NA
"8",6,106,18,"佐賀","東京","佐賀羽田",NA,"ANA",110,36700,38900,3,600,NA,1,NA,NA,NA,NA
"9",7,102,106,"大阪","佐賀","伊丹佐賀",NA,"ANA",65,21900,24100,2,275,NA,1,NA,NA,NA,NA
"10",8,106,102,"佐賀","大阪","佐賀伊丹",NA,"ANA",65,21900,24100,2,0,NA,1,NA,NA,NA,NA
"11",9,18,104,"東京","神戸","羽田神戸",NA,"JAL",70,22500,24600,2,480,NA,3,NA,NA,NA,NA
"12",9,18,104,"東京","神戸","羽田神戸",NA,"ANA",70,22500,24600,2,790,NA,3,NA,NA,NA,NA
"13",9,18,104,"東京","神戸","羽田神戸",NA,"SKY",70,11400,11900,6,690,NA,3,NA,NA,NA,NA
"14",10,104,18,"神戸","東京","神戸羽田",NA,"JAL",70,22500,24600,2,715,NA,3,NA,NA,NA,NA
"15",10,104,18,"神戸","東京","神戸羽田",NA,"ANA",70,22500,24600,2,710,NA,3,NA,NA,NA,NA
"16",10,104,18,"神戸","東京","神戸羽田",NA,"SKY",70,11400,11900,6,695,NA,3,NA,NA,NA,NA
"17",91,25,37,"関西","福岡","関西国際福岡",NA,"JAL",70,21900,24100,5,630,NA,3,NA,NA,NA,NA
"18",91,25,37,"関西","福岡","関西国際福岡",NA,"ANA",70,21900,24100,11,615,NA,3,NA,NA,NA,NA
"19",91,25,37,"関西","福岡","関西国際福岡",NA,"JAC",70,21900,24100,2,30,NA,3,NA,NA,NA,NA
"20",92,37,25,"福岡","関西","福岡関西国際",NA,"JAL",70,21900,24100,5,725,NA,3,NA,NA,NA,NA
"21",92,37,25,"福岡","関西","福岡関西国際",NA,"ANA",70,21900,24100,11,675,NA,3,NA,NA,NA,NA
"22",92,37,25,"福岡","関西","福岡関西国際",NA,"JAC",70,21900,24100,2,495,NA,3,NA,NA,NA,NA
"23",93,18,37,"東京","福岡","羽田福岡",NA,"JAL",110,36700,38900,21,785,NA,3,NA,NA,NA,NA
"24",93,18,37,"東京","福岡","羽田福岡",NA,"ANA",110,36700,38900,20,805,NA,3,NA,NA,NA,NA
"25",93,18,37,"東京","福岡","羽田福岡",NA,"SKY",110,21700,21700,10,760,NA,3,NA,NA,NA,NA
"26",94,37,18,"福岡","東京","福岡羽田",NA,"JAL",110,36700,38900,21,680,NA,3,NA,NA,NA,NA
"27",94,37,18,"福岡","東京","福岡羽田",NA,"ANA",110,36700,38900,20,690,NA,3,NA,NA,NA,NA
"28",94,37,18,"福岡","東京","福岡羽田",NA,"SKY",110,21700,21700,10,685,NA,3,NA,NA,NA,NA
"29",95,18,25,"東京","関西","羽田関西国際",NA,"JAL",73.33333333,24600,24600,23,870,NA,3,NA,NA,NA,NA
"30",95,18,25,"東京","関西","羽田関西国際",NA,"ANA",73.33333333,24600,24600,20,760,NA,3,NA,NA,NA,NA
"31",95,18,25,"東京","関西","羽田関西国際",NA,"SFJ",73.33333333,20700,22700,4,490,NA,3,NA,NA,NA,NA
"32",96,25,18,"関西","東京","関西国際羽田",NA,"JAL",73.33333333,24600,24600,23,755,NA,3,NA,NA,NA,NA
"33",96,25,18,"関西","東京","関西国際羽田",NA,"ANA",73.33333333,24600,24600,20,780,NA,3,NA,NA,NA,NA
"34",96,25,18,"関西","東京","関西国際羽田",NA,"SFJ",73.33333333,20700,22700,4,755,NA,3,NA,NA,NA,NA
