OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
A-1,,,東京,新千歳,,,JAL,90,33500,35600,18,800,,4,,,,
A-1,,,東京,新千歳,,,ANA,90,33500,35600,16,780,,4,,,,
A-1,,,東京,新千歳,,,ADO,90,25900,29900,10,785,,4,,,,
A-1,,,東京,新千歳,,,SKY,90,21700,21790,9,775,,4,,,,
A-1,,,新千歳,東京,,,JAL,90,33500,35600,18,665,,4,,,,
A-1,,,新千歳,東京,,,ANA,90,33500,35600,16,680,,4,,,,
A-1,,,新千歳,東京,,,ADO,90,25900,29900,10,680,,4,,,,
A-1,,,新千歳,東京,,,SKY,90,21700,21790,9,585,,4,,,,
A-2,,,東京,関西,,,JAL,75,22500,24600,6,870,,3,,,,
A-2,,,東京,関西,,,ANA,75,22500,24600,4,760,,3,,,,
A-2,,,東京,関西,,,SFJ,75,20700,22700,4,490,,3,,,,
A-2,,,関西,東京,,,JAL,75,22500,24600,6,755,,3,,,,
A-2,,,関西,東京,,,ANA,75,22500,24600,4,780,,3,,,,
A-2,,,関西,東京,,,SFJ,75,20700,22700,4,755,,3,,,,
A-3,,,東京,大阪,,,JAL,65,22500,24600,15,770,,2,,,,
A-3,,,東京,大阪,,,ANA,65,22500,24600,14,735,,2,,,,
A-3,,,大阪,東京,,,JAL,65,22500,24600,15,660,,2,,,,
A-3,,,大阪,東京,,,ANA,65,22500,24600,14,655,,2,,,,
A-4,,,東京,神戸,,,JAL,70,22500,24600,2,480,,3,,,,
A-4,,,東京,神戸,,,ANA,70,22500,24600,2,790,,3,,,,
A-4,,,東京,神戸,,,SKY,70,11400,11900,6,690,,3,,,,
A-4,,,神戸,東京,,,JAL,70,22500,24600,2,715,,3,,,,
A-4,,,神戸,東京,,,ANA,70,22500,24600,2,710,,3,,,,
A-4,,,神戸,東京,,,SKY,70,11400,11900,6,695,,3,,,,
A-5,,,東京,福岡,,,JAL,100,36700,38900,19,785,,3,,,,
A-5,,,東京,福岡,,,ANA,100,36700,38900,18,805,,3,,,,
A-5,,,東京,福岡,,,SKY,100,21700,21700,10,760,,3,,,,
A-5,,,福岡,東京,,,JAL,100,36700,38900,19,680,,3,,,,
A-5,,,福岡,東京,,,ANA,100,36700,38900,18,690,,3,,,,
A-5,,,福岡,東京,,,SKY,100,21700,21700,10,685,,3,,,,
A-6,,,東京,那覇,,,JAL,160,40800,42900,11,720,,3,,,,
A-6,,,東京,那覇,,,ANA,160,40800,42900,9,705,,3,,,,
A-6,,,東京,那覇,,,SKY,160,24700,24700,3,595,,3,,,,
A-6,,,那覇,東京,,,JAL,160,40800,42900,11,550,,4,,,,
A-6,,,那覇,東京,,,ANA,160,40800,42900,9,575,,4,,,,
A-6,,,那覇,東京,,,SKY,160,24700,24700,3,195,,4,,,,
