i,j,空港i,空港j,航空会社,旅客数,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,エアライン参入数,鉄道ダミー,一便あたり座席数,一便あたり貨物
18,8,東京,札幌,JR,,598,22780,1,452,7.452543,0,1,0,0
25,8,新大阪,札幌,JR,,748,32410,1,152,5.75576,0,1,0,0
37,8,博多,札幌,JR,,898,40480,1,0,2.412527,0,1,0,0
8,18,札幌,東京,JR,,598,22780,1,452,7.452543,0,1,0,0
8,25,札幌,新大阪,JR,,748,32410,1,152,5.75576,0,1,0,0
8,37,札幌,博多,JR,,898,40480,1,0,2.412527,0,1,0,0
12,8,仙台,札幌,JR,,497,17930,1,636,2.057914,0,1,0,0
3,8,函館,札幌,JR,,197,8590,1,952,3.90708125,0,1,0,0
8,12,札幌,仙台,JR,,497,17930,1,636,2.057914,0,1,0,0
8,3,札幌,函館,JR,,197,8590,1,952,3.90708125,0,1,0,0
3,18,函館,東京,JR,,401,18850,1,580,4.96767775,0,1,0,0
18,3,東京,函館,JR,,401,18850,1,580,4.96767775,0,1,0,0
3,25,函館,新大阪,JR,,551,28480,1,0,3.27089475,0,1,0,0
25,3,新大阪,函館,JR,,551,28480,1,0,3.27089475,0,1,0,0
