"","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","i","j","出発空港/駅","到着空港/駅","航空・鉄道会社","運賃（実績）","運賃（ベース）","運賃（反実仮想）","航空便数（実績）","航空便数（ベース）","航空便数（反実仮想）","シェア（実績）","シェア（ベース）","シェア（反実仮想）","需要（実績）","需要（ベース）","需要（反実仮想）"
"1","函館","丘珠","ANA",44683,40,16800,5,455,14.339423,2,0,55.9800796812749,0,673984,257,55.9800796812749,1506,2827,53,0.0662968260374134,3,8,"函館","丘珠","ANA",8400,7028.36439743779,7215.58133848502,1506,2057.67180792361,2423.645895317,0.0662968260374134,0.090580747963902,0.10669128922896,44683,61049.9748357025,71908.2218796914
"2","函館","丘珠","HAC",15301,40,16800,3,390,14.339423,2,0,36,2.66581956797967,673984,257,36,787,2827,54,0.0227023193428924,3,8,"函館","丘珠","HAC",8400,6542.11157545519,6574.94779309997,787,1245.93842447401,1537.7498010572,0.0227023193428924,0.0359371186434319,0.0443539551866986,15301,24221.0429717748,29893.8561325519
"3","函館","札幌","JR",614000,197,8590,1,952,3.90708125,0,1,0,0,673984,NA,NA,NA,NA,NA,0.911000854619694,3,8,"新函館北斗","札幌","JR",8590,8590,7760,1,1,1,0.911000854619694,0.873482133392666,0.848954755584341,614000,588712.982192523,572181.921987757
"4","函館","東京","JAL",223082,80,31400,3,375,24.936932,3,0,343.71270718232,5536.56445672192,585120,786,343.71270718232,1086,8646,59.8,0.381258545255674,3,18,"函館","東京","JAL",15700,14263.4239264425,15037.5281765314,1086,1133.33161656412,1078.52614557196,0.381258545255674,0.398115268462217,0.378863273301799,223082,232945.205882613,221680.478474348
"5","函館","東京","ANA",153967,80,31400,2,175,24.936932,3,0,343.899587345254,3776.96698762036,585120,786,343.899587345254,727,8646,61.6,0.263137476073284,3,18,"函館","東京","ANA",15700,13881.1846723075,14454.7850401891,727,852.056892077412,861.59267926709,0.263137476073284,0.308486396577356,0.311938819362765,153967,180501.560365343,182521.641985541
"6","函館","東京","ADO",131071,80,24200,2,280,24.936932,3,0,227.063711911357,1372.48476454294,585120,786,227.063711911357,722,7074,80,0.224007041290675,3,18,"函館","東京","ADO",12100,10936.4577411958,10990.0524022677,722,233.281205832217,276.106722091045,0.224007041290675,0.0724223359521745,0.0857175515472657,131071,42375.7572123363,50155.0537613361
"7","函館","東京","JR",77000,401,18850,1,580,4.96767775,0,1,0,0,585120,NA,NA,NA,NA,NA,0.131596937380366,3,18,"新函館北斗","東京","JR",18850,18850,18280,1,1,1,0.131596937380366,0.220975999008252,0.223480355788171,77000,129297.476539709,130762.825778775
"8","函館","関西","ANA",36851,100,38900,1,0,43.577409,1,0,123.34435261708,151.724517906336,49851,1197,123.34435261708,363,13167,82.3,0.739222884194901,3,25,"函館","関西","ANA",19450,18258.2692530453,70699.9292393917,363,110.303583522795,1,0.739222884194901,0.224612981386386,2.68760184273897e-08,36851,11197.1817350927,0.00133979639462381
"9","函館","新大阪","JR",13000,551,28480,1,0,3.27089475,0,1,0,0,49851,NA,NA,NA,NA,NA,0.260777115805099,3,25,"新函館北斗","新大阪","JR",28480,28480,32730,1,1,1,0.260777115805099,0.775387018613614,0.999999973123982,13000,38653.8182649073,49850.9986602036
"10","丘珠","函館","ANA",42740,40,16800,5,600,14.339423,2,0,55.986074270557,0,672959,257,55.986074270557,1508,2827,50.6,0.0635105556207733,8,3,"丘珠","函館","ANA",8400,6971.97195863983,7043.67859508886,1508,2094.33398524918,2544.49264950029,0.0635105556207733,0.0881633060127424,0.107113232982455,42740,59330.2902510291,72082.8141546397
"11","丘珠","函館","HAC",16219,40,16800,3,520,14.339423,2,0,36,31.2754182754183,672959,257,36,777,2827,58,0.0241010224991418,8,3,"丘珠","函館","HAC",8400,6550.1407040816,6584.85611390387,777,1225.08096697283,1505.16182599001,0.0241010224991418,0.0380107712214156,0.0467008821141724,16219,25579.6905903926,31427.7789266713
"12","札幌","函館","JR",614000,197,8590,1,952,3.90708125,0,1,0,0,672959,NA,NA,NA,NA,NA,0.912388421880085,8,3,"札幌","新函館北斗","JR",8590,8590,7760,1,1,1,0.912388421880085,0.873825922765842,0.846185884903373,614000,588049.019158578,569448.406918689
