"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","prob","y","utility","sumexputility","Probability"
"1",3,3,1,2,22,31,10,11,"南部","盛岡","八戸","盛岡","八戸駅盛岡駅",133,133,36,3320,1,1008,4.994543,1,0,0.999,6.90675477864855,7.64574069497024,5527.31336818902,0.37843291801198
"2",5,5,1,3,22,32,10,11,"南部","北上中部","八戸","新花巻","八戸駅新花巻駅",8,8,36,4540,1,1008,4.994543,1,0,0.999,6.90675477864855,7.75902007917498,5527.31336818902,0.423823972669319
"3",7,7,1,4,22,33,10,11,"南部","両磐","八戸","一ノ関","八戸駅一ノ関駅",5,5,74,6700,1,932,4.994543,1,0,0.999,6.90675477864855,6.99667062956728,5527.31336818902,0.197743109318701
"4",9,9,1,5,22,41,10,12,"南部","仙台","八戸","仙台","八戸駅仙台駅",246,246,110,10160,1,860,4.994543,1,0,0.999,6.90675477864855,6.4057081768647,1697.75205207591,0.356524557740855
"5",13,13,1,7,22,51,10,13,"南部","秋田臨海","八戸","秋田","八戸駅秋田駅",14,14,131,1160,1,818,4.994543,1,0,0.999,6.90675477864855,5.03790629669865,154.146938976186,1
"6",15,15,1,8,22,61,10,15,"南部","山形","八戸","山形","八戸駅山形駅",11,11,163,9500,1,754,4.994543,1,0,0.999,6.90675477864855,5.00142029353321,148.624099115602,1
"7",21,21,1,11,22,71,10,12,"南部","福島","八戸","福島","八戸駅福島駅",8,8,93,11880,1,894,4.994543,1,0,0.999,6.90675477864855,6.99618891725478,1697.75205207591,0.643475442259145
"8",23,23,1,12,22,73,10,17,"南部","郡山","八戸","郡山","八戸駅郡山駅",6,6,78,13600,1,924,4.994543,1,0,0.999,6.90675477864855,7.53599020128576,3609.52410950257,0.519264954873455
"9",25,25,1,13,22,76,10,17,"南部","白河","八戸","新白河","八戸駅新白河駅",2,2,85,14680,1,910,4.994543,1,0,0.999,6.90675477864855,7.45889221463643,3609.52410950257,0.480735045126545
"10",27,27,1,14,22,91,10,18,"南部","宇都宮","八戸","宇都宮","八戸駅宇都宮駅",3,3,51,16840,1,978,4.994543,1,0,0.999,6.90675477864855,8.52100319395587,15086.2060592785,0.33269374217796
"11",28,28,1,14,22,91,10,18,"南部","宇都宮","三沢","羽田","三沢駅羽田駅",0,3,80,29500,3,350,22.523849,0,1,0.001,-6.90675477864855,-4.10268616153873,15086.2060592785,1.09558481369201e-06
"12",29,29,1,15,22,93,10,18,"南部","栃木・小山","八戸","小山","八戸駅小山駅",1,1,42,17500,1,996,4.994543,1,0,0.999,6.90675477864855,8.81034303738744,15086.2060592785,0.444327639489153
"13",30,30,1,15,22,93,10,18,"南部","栃木・小山","三沢","羽田","三沢駅羽田駅",0,1,80,29500,3,350,22.523849,0,1,0.001,-6.90675477864855,-4.10268616153873,15086.2060592785,1.09558481369201e-06
