rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
1,1,1,22,22,10,10,南部,南部,八戸,八戸,八戸駅八戸駅,－,#VALUE!,0,,,,4.994543,1,
2,1,1,22,22,10,10,南部,南部,三沢,三沢,三沢駅三沢駅,0,#VALUE!,0,,,,22.523849,0,
3,1,2,22,31,10,11,南部,盛岡,八戸,盛岡,八戸駅盛岡駅,133,133,36,,,,4.994543,1,
4,1,2,22,31,10,11,南部,盛岡,三沢,花巻,三沢駅花巻駅,0,133,0,,,,22.523849,0,
5,1,3,22,32,10,11,南部,北上中部,八戸,新花巻,八戸駅新花巻駅,8,8,36,,,,4.994543,1,
6,1,3,22,32,10,11,南部,北上中部,三沢,花巻,三沢駅花巻駅,0,8,0,,,,22.523849,0,
7,1,4,22,33,10,11,南部,両磐,八戸,一ノ関,八戸駅一ノ関駅,5,5,74,,,,4.994543,1,
8,1,4,22,33,10,11,南部,両磐,三沢,花巻,三沢駅花巻駅,0,5,0,,,,22.523849,0,
9,1,5,22,41,10,12,南部,仙台,八戸,仙台,八戸駅仙台駅,246,246,110,,,,4.994543,1,
10,1,5,22,41,10,12,南部,仙台,三沢,仙台,三沢駅仙台駅,0,246,0,,,,22.523849,0,
11,1,6,22,43,10,12,南部,古川,八戸,くりこま高原,八戸駅くりこま高原駅,0,0,86,,,,4.994543,1,
12,1,6,22,43,10,12,南部,古川,三沢,仙台,三沢駅仙台駅,0,0,0,,,,22.523849,0,
13,1,7,22,51,10,13,南部,秋田臨海,八戸,秋田,八戸駅秋田駅,14,14,131,,,,4.994543,1,
14,1,7,22,51,10,13,南部,秋田臨海,三沢,秋田,三沢駅秋田駅,0,14,0,,,,22.523849,0,
15,1,8,22,61,10,15,南部,山形,八戸,山形,八戸駅山形駅,11,11,163,,,,4.994543,1,
16,1,8,22,61,10,15,南部,山形,三沢,山形,三沢駅山形駅,0,11,0,,,,22.523849,0,
17,1,9,22,63,10,12,南部,米沢,八戸,米沢,八戸駅米沢駅,0,0,129,,,,4.994543,1,
18,1,9,22,63,10,12,南部,米沢,三沢,仙台,三沢駅仙台駅,0,0,0,,,,22.523849,0,
19,1,10,22,64,10,12,南部,新庄,八戸,新庄,八戸駅新庄駅,0,0,211,,,,4.994543,1,
20,1,10,22,64,10,12,南部,新庄,三沢,仙台,三沢駅仙台駅,0,0,0,,,,22.523849,0,
21,1,11,22,71,10,12,南部,福島,八戸,福島,八戸駅福島駅,8,8,93,,,,4.994543,1,
22,1,11,22,71,10,12,南部,福島,三沢,仙台,三沢駅仙台駅,0,8,0,,,,22.523849,0,
23,1,12,22,73,10,17,南部,郡山,八戸,郡山,八戸駅郡山駅,6,6,78,,,,4.994543,1,
24,1,12,22,73,10,17,南部,郡山,三沢,福島,三沢駅福島駅,0,6,0,,,,22.523849,0,
25,1,13,22,76,10,17,南部,白河,八戸,新白河,八戸駅新白河駅,2,2,85,,,,4.994543,1,
26,1,13,22,76,10,17,南部,白河,三沢,福島,三沢駅福島駅,0,2,0,,,,22.523849,0,
27,1,14,22,91,10,18,南部,宇都宮,八戸,宇都宮,八戸駅宇都宮駅,3,3,51,,,,4.994543,1,
28,1,14,22,91,10,18,南部,宇都宮,三沢,羽田,三沢駅羽田駅,0,3,0,,,,22.523849,0,
29,1,15,22,93,10,18,南部,栃木・小山,八戸,小山,八戸駅小山駅,1,1,42,,,,4.994543,1,
30,1,15,22,93,10,18,南部,栃木・小山,三沢,羽田,三沢駅羽田駅,0,1,0,,,,22.523849,0,
31,1,16,22,95,10,18,南部,那須,八戸,那須塩原,八戸駅那須塩原駅,14,14,70,,,,4.994543,1,
32,1,16,22,95,10,18,南部,那須,三沢,羽田,三沢駅羽田駅,0,14,0,,,,22.523849,0,
33,1,17,22,101,10,18,南部,前橋・高崎,八戸,高崎,八戸駅高崎駅,11,11,209,,,,4.994543,1,
34,1,17,22,101,10,18,南部,前橋・高崎,三沢,羽田,三沢駅羽田駅,0,11,0,,,,22.523849,0,
35,1,18,22,104,10,18,南部,沼田・利根,八戸,上毛高原,八戸駅上毛高原駅,0,0,234,,,,4.994543,1,
36,1,18,22,104,10,18,南部,沼田・利根,三沢,羽田,三沢駅羽田駅,0,0,0,,,,22.523849,0,
37,1,19,22,111,10,18,南部,浦和,八戸,大宮,八戸駅大宮駅,41,42,185,,,,4.994543,1,
38,1,19,22,111,10,18,南部,浦和,三沢,羽田,三沢駅羽田駅,1,42,0,,,,22.523849,0,
39,1,20,22,113,10,18,南部,児玉・大里,八戸,熊谷,八戸駅熊谷駅,1,1,199,,,,4.994543,1,
40,1,20,22,113,10,18,南部,児玉・大里,三沢,羽田,三沢駅羽田駅,0,1,0,,,,22.523849,0,
41,1,21,22,131,10,18,南部,23区,八戸,東京,八戸駅東京駅,356,391,211,,,,4.994543,1,
42,1,21,22,131,10,18,南部,23区,三沢,羽田,三沢駅羽田駅,35,391,0,,,,22.523849,0,
43,1,22,22,141,10,18,南部,横浜,八戸,新横浜,八戸駅新横浜駅,42,52,230,,,,4.994543,1,
44,1,22,22,141,10,18,南部,横浜,三沢,羽田,三沢駅羽田駅,10,52,0,,,,22.523849,0,
45,1,23,22,144,10,18,南部,小田原,八戸,小田原,八戸駅小田原駅,2,2,251,,,,4.994543,1,
46,1,23,22,144,10,18,南部,小田原,三沢,羽田,三沢駅羽田駅,0,2,0,,,,22.523849,0,
