"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"1",1,1,1,22,22,10,10,"南部","南部","八戸","八戸","八戸駅八戸駅",0,0,0,NA,1,1080,9.989086,1,0,4.994543,NA,NA,NA
"2",2,1,1,22,22,10,10,"南部","南部","三沢","三沢","三沢駅三沢駅",0,0,0,NA,NA,NA,45.047698,0,NA,22.523849,NA,NA,NA
"3",3,1,2,22,31,10,11,"南部","盛岡","八戸","盛岡","八戸駅盛岡駅",133,139,36,3320,1,1008,6.519236,1,0,1.524693,0.956834532374101,0.0431654676258992,0.956834532374101
"4",4,1,2,22,31,10,11,"南部","盛岡","三沢","花巻","三沢駅花巻駅",0,139,0,NA,NA,NA,53.741119,0,NA,31.21727,0,0.0431654676258992,0.001
"5",5,1,3,22,32,10,11,"南部","北上中部","八戸","新花巻","八戸駅新花巻駅",8,157,36,4540,1,1008,10.20079,1,0,5.206247,0.0509554140127389,0.949044585987261,0.0509554140127389
"6",6,1,3,22,32,10,11,"南部","北上中部","三沢","花巻","三沢駅花巻駅",0,157,0,NA,NA,NA,26.456241,0,NA,3.932392,0,0.949044585987261,0.001
"7",7,1,4,22,33,10,11,"南部","両磐","八戸","一ノ関","八戸駅一ノ関駅",5,24,74,6700,1,932,6.379024,1,0,1.384481,0.208333333333333,0.791666666666667,0.208333333333333
"8",8,1,4,22,33,10,11,"南部","両磐","三沢","花巻","三沢駅花巻駅",0,24,0,NA,NA,NA,76.497531,0,NA,53.973682,0,0.791666666666667,0.001
"9",9,1,5,22,41,10,12,"南部","仙台","八戸","仙台","八戸駅仙台駅",246,423,110,10160,1,860,6.313003,1,0,1.31846,0.581560283687943,0.418439716312057,0.581560283687943
"10",10,1,5,22,41,10,12,"南部","仙台","三沢","仙台","三沢駅仙台駅",0,423,0,NA,NA,NA,37.81483,0,NA,15.290981,0,0.418439716312057,0.001
"11",11,1,6,22,43,10,12,"南部","古川","八戸","くりこま高原","八戸駅くりこま高原駅",0,23,86,7340,1,908,10.058551,1,0,5.064008,0,1,0.001
"12",12,1,6,22,43,10,12,"南部","古川","三沢","仙台","三沢駅仙台駅",0,23,0,NA,NA,NA,88.601564,0,NA,66.077715,0,1,0.001
"13",13,1,7,22,51,10,13,"南部","秋田臨海","八戸","秋田","八戸駅秋田駅",14,45,131,1160,1,818,7.306077,1,0,2.311534,0.311111111111111,0.688888888888889,0.311111111111111
"14",14,1,7,22,51,10,13,"南部","秋田臨海","三沢","秋田","三沢駅秋田駅",0,45,0,NA,NA,NA,37.85337,0,NA,15.329521,0,0.688888888888889,0.001
"15",15,1,8,22,61,10,15,"南部","山形","八戸","山形","八戸駅山形駅",11,19,163,9500,1,754,6.313151,1,0,1.318608,0.578947368421053,0.421052631578947,0.578947368421053
"16",16,1,8,22,61,10,15,"南部","山形","三沢","山形","三沢駅山形駅",0,19,0,NA,NA,NA,39.893131,0,NA,17.369282,0,0.421052631578947,0.001
"17",17,1,9,22,63,10,12,"南部","米沢","八戸","米沢","八戸駅米沢駅",0,4,129,10800,1,822,6.749546,1,0,1.755003,0,1,0.001
"18",18,1,9,22,63,10,12,"南部","米沢","三沢","仙台","三沢駅仙台駅",0,4,0,NA,NA,NA,97.816302,0,NA,75.292453,0,1,0.001
"19",19,1,10,22,64,10,12,"南部","新庄","八戸","新庄","八戸駅新庄駅",0,19,211,7340,1,658,5.434538,1,0,0.439995,0,1,0.001
"20",20,1,10,22,64,10,12,"南部","新庄","三沢","仙台","三沢駅仙台駅",0,19,0,NA,NA,NA,111.030077,0,NA,88.506228,0,1,0.001
"21",21,1,11,22,71,10,12,"南部","福島","八戸","福島","八戸駅福島駅",8,17,93,11880,1,894,6.975236833,1,0,1.980693833,0.470588235294118,0.529411764705882,0.470588235294118
"22",22,1,11,22,71,10,12,"南部","福島","三沢","仙台","三沢駅仙台駅",0,17,0,NA,NA,NA,74.5039605,0,NA,51.9801115,0,0.529411764705882,0.001
"23",23,1,12,22,73,10,17,"南部","郡山","八戸","郡山","八戸駅郡山駅",6,11,78,13600,1,924,7.982821,1,0,2.988278,0.545454545454545,0.454545454545455,0.545454545454545
"24",24,1,12,22,73,10,17,"南部","郡山","三沢","福島","三沢駅福島駅",0,11,0,NA,NA,NA,44.3921305,0,NA,21.8682815,0,0.454545454545455,0.001
"25",25,1,13,22,76,10,17,"南部","白河","八戸","新白河","八戸駅新白河駅",2,4,85,14680,1,910,7.546522667,1,0,2.551979667,0.5,0.5,0.5
"26",26,1,13,22,76,10,17,"南部","白河","三沢","福島","三沢駅福島駅",0,4,0,NA,NA,NA,46.0778155,0,NA,23.5539665,0,0.5,0.001
"27",27,1,14,22,91,10,18,"南部","宇都宮","八戸","宇都宮","八戸駅宇都宮駅",3,9,51,16840,1,978,7.143452667,1,0,2.148909667,0.333333333333333,0.666666666666667,0.333333333333333
"28",28,1,14,22,91,10,18,"南部","宇都宮","三沢","羽田","三沢駅羽田駅",0,9,80,14750,1095,350,119.51219133,0,1,96.98834233,0,0.666666666666667,0.001
"29",29,1,15,22,93,10,18,"南部","栃木・小山","八戸","小山","八戸駅小山駅",1,2,42,17500,1,996,14.435645259,1,0,9.441102259,0.5,0.5,0.5
"30",30,1,15,22,93,10,18,"南部","栃木・小山","三沢","羽田","三沢駅羽田駅",0,2,80,14750,1095,350,109.80651281,0,1,87.28266381,0,0.5,0.001
"31",31,1,16,22,95,10,18,"南部","那須","八戸","那須塩原","八戸駅那須塩原駅",14,17,70,15120,1,940,11.901879,1,0,6.907336,0.823529411764706,0.176470588235294,0.823529411764706
"32",32,1,16,22,95,10,18,"南部","那須","三沢","羽田","三沢駅羽田駅",0,17,80,14750,1095,350,170.589915,0,1,148.066066,0,0.176470588235294,0.001
