"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","OD","utility","sumexputility","fittedprob","observedprob","DIS","Seat","Freq","MC","LF"
"1",18,25,"東京","関西","JAL",249460,73.33333333,24600,23,870,17.719066,3,0,22363554,-7.30394734641455,0.00514787016374334,0.130709871127128,0.0111547565293066,678,164.115300306883,2281,7458,66.6
"2",18,25,"東京","関西","ANA",242305,73.33333333,24600,20,760,17.719066,3,0,22363554,-7.11668895326485,0.00514787016374334,0.157628111818794,0.0108348163266,678,227.097093382808,1617,7458,66
"3",18,25,"東京","関西","SFJ",150657,73.33333333,20700,4,490,17.719066,3,0,22363554,-7.22648767067543,0.00514787016374334,0.141237068951678,0.0067367199327978,678,144,1455,7458,71.9
"4",18,25,"東京","南紀白浜","JAL",66373,70,29000,3,570,17.719066,1,0,22363554,-6.65028933339637,0.00514787016374334,0.251297665765709,0.00296790930457654,634,157.699570815451,932,6974,45.2
"5",18,25,"東京","神戸","JAL",120191,70,22500,2,480,17.719066,3,0,22363554,-7.00705456833027,0.00514787016374334,0.17589248381159,0.00537441410251698,695,229.603851444292,727,7645,72
"6",18,25,"東京","神戸","ANA",114621,70,22500,2,790,17.719066,3,0,22363554,-7.56392574338741,0.00514787016374334,0.100786230676911,0.00512534814457487,695,249.665441176471,816,7645,56.3
"7",18,25,"東京","神戸","SKY",258947,70,11400,6,690,17.719066,3,0,22363554,-8.65701069468688,0.00514787016374334,0.0337816175332216,0.0115789735388212,695,177,1895,7645,77.2
"8",18,25,"東京","新大阪","JR",21161000,150,14450,1,780,6.872543,0,1,22363554,-10.0174105117984,0.00514787016374334,0.00866695031496936,0.946227062120806,NA,NA,NA,NA,NA
"9",18,37,"東京","福岡","JAL",1526552,110,36700,21,785,17.719066,3,0,5470298,-6.04705464452126,0.0110159943798056,0.21467122296462,0.279061945071365,1041,386.851157987904,6779,11451,58.2
"10",18,37,"東京","福岡","ANA",1605033,110,36700,20,805,17.719066,3,0,5470298,-6.08659182577089,0.0110159943798056,0.206349324153938,0.293408695467779,1041,416.227159338946,6414,11451,60.1
"11",18,37,"東京","福岡","SKY",589790,110,21700,10,760,17.719066,3,0,5470298,-7.88678211221145,0.0110159943798056,0.0341028239454878,0.107816795355573,1041,198.6640044065,3631,11451,81.8
"12",18,37,"東京","北九州","JAL",128677,100,36700,4,615,17.719066,2,0,5470298,-5.91703099625348,0.0110159943798056,0.244479463242571,0.0235228501262637,958,164.131958762887,1455,10538,53.9
"13",18,37,"東京","北九州","SFJ",382047,100,29600,11,705,17.719066,2,0,5470298,-6.86993140431197,0.0110159943798056,0.0942764008677414,0.0698402536753939,958,144,3778,10538,70.2
"14",18,37,"東京","佐賀","ANA",127199,110,36700,3,570,17.719066,1,0,5470298,-6.10926684421508,0.0110159943798056,0.201722998650428,0.0232526637488488,1130,134.094579646018,1808,12430,52.5
"15",18,37,"東京","博多","JR",1111000,300,22950,1,480,6.872543,0,1,5470298,-9.93506558216695,0.0110159943798056,0.00439776617521328,0.203096796554776,NA,NA,NA,NA,NA
"16",25,18,"関西","東京","JAL",243321,73.33333333,24600,23,755,36.359543,3,0,22374278,-7.09736610405465,0.00546442349802692,0.151394017801807,0.010875032481495,678,164.617543859649,2280,7458,64.8
"17",25,18,"関西","東京","ANA",230813,73.33333333,24600,20,780,36.359543,3,0,22374278,-7.15261612584918,0.00546442349802692,0.143256367646384,0.0103159976826962,678,189.869700103413,1934,7458,62.9
"18",25,18,"関西","東京","SFJ",158283,73.33333333,20700,4,755,36.359543,3,0,22374278,-7.70252270741782,0.00546442349802692,0.0826594557053937,0.00707432883420864,678,144,1456,7458,75.5
"19",25,18,"南紀白浜","東京","JAL",67727,70,29000,3,330,114.540201,1,0,22374278,-6.21916326238439,0.00546442349802692,0.364340426916622,0.0030270027037297,634,157.353448275862,928,6974,46.4
"20",25,18,"神戸","東京","JAL",111429,70,22500,2,715,27.229377,3,0,22374278,-7.42919884619616,0.00546442349802692,0.108641458146881,0.00498022774187395,695,229.692837465565,726,7645,66.8
"21",25,18,"神戸","東京","ANA",122651,70,22500,2,710,27.229377,3,0,22374278,-7.42021705305008,0.00546442349802692,0.109621648595437,0.00548178582566999,695,250.607579462103,818,7645,59.8
"22",25,18,"神戸","東京","SKY",276054,70,11400,6,695,27.229377,3,0,22374278,-8.66599248783296,0.00546442349802692,0.0315400902793391,0.0123380070632894,695,177,1897,7645,82.2
"23",25,18,"新大阪","東京","JR",21164000,150,14450,1,780,5.17576,0,1,22374278,-9.97172600483895,0.00546442349802692,0.00854653490813623,0.945907617667037,NA,NA,NA,NA,NA
"24",25,37,"関西","福岡","JAL",36040,70,21900,5,630,36.359543,3,0,2635207,-7.28190115759647,0.00243165543071181,0.282884058877103,0.0136763449702433,553,64.7445652173913,920,6083,60.5
"25",25,37,"関西","福岡","ANA",62171,70,21900,11,615,36.359543,3,0,2635207,-7.1966174234593,0.00243165543071181,0.308068099833563,0.0235924540273307,553,78.4483798040693,1327,6083,59.7
"26",25,37,"大阪","佐賀","ANA",20996,65,21900,2,275,13.113114,1,0,2635207,-6.96666058013271,0.00243165543071181,0.387717780538783,0.00796749553260901,660,74,721,7260,39.4
"27",25,37,"新大阪","博多","JR",2516000,150,15310,1,780,5.17576,0,1,2635207,-9.86682090474253,0.00243165543071181,0.0213300607505516,0.954763705469817,NA,NA,NA,NA,NA
"28",37,18,"福岡","東京","JAL",1546302,110,36700,21,680,2.604883,3,0,5524011,-5.85843698845352,0.0115203385773919,0.247883660268314,0.279923772780322,1041,386.968422605873,6777,11451,59
"29",37,18,"福岡","東京","ANA",1639873,110,36700,20,690,2.604883,3,0,5524011,-5.88001058341099,0.0115203385773919,0.242593190994989,0.296862732532575,1041,415.274372172828,6411,11451,61.6
"30",37,18,"福岡","東京","SKY",601398,110,21700,10,685,2.604883,3,0,5524011,-7.75205521502021,0.0115203385773919,0.037312981579008,0.108869804929787,1041,198.681918412348,3628,11451,83.4
"31",37,18,"北九州","東京","JAL",123165,100,36700,4,625,63.014326,2,0,5524011,-5.93499458254565,0.0115203385773919,0.229614526273122,0.0222962988306866,958,164.141678129298,1454,10538,51.6
"32",37,18,"北九州","東京","SFJ",372587,100,29600,11,980,63.014326,2,0,5524011,-7.36393002734653,0.0115203385773919,0.0550073319969623,0.067448634696781,958,144,3777,10538,68.5
"33",37,18,"佐賀","東京","ANA",128686,110,36700,3,600,51.728749,1,0,5524011,-6.16315760309157,0.0115203385773919,0.182771896773488,0.0232957537557402,1130,164.929155313351,1468,12430,53.2
"34",37,18,"博多","東京","JR",1112000,300,22950,1,480,1.832527,0,1,5524011,-9.79936723651651,0.0115203385773919,0.00481641211411559,0.201303002474108,NA,NA,NA,NA,NA
"35",37,25,"福岡","関西","JAL",37797,70,21900,5,725,2.604883,3,0,2646796,-7.45255522737204,0.00285439139883104,0.203180892943873,0.0142802845402517,553,64.7978260869565,920,6083,63.4
"36",37,25,"福岡","関西","ANA",68597,70,21900,11,675,2.604883,3,0,2646796,-7.3043989412123,0.00285439139883104,0.235627688131976,0.025916995491908,553,78.5941265060241,1328,6083,65.7
"37",37,25,"佐賀","大阪","ANA",23402,65,21900,2,0,51.728749,1,0,2646796,-6.47266195709815,0.00285439139883104,0.541308821619624,0.00884163343151493,660,74,717,7260,44.1
"38",37,25,"博多","新大阪","JR",2517000,150,15310,1,780,1.832527,0,1,2646796,-9.77680706605155,0.00285439139883104,0.0198825973045264,0.950961086536325,NA,NA,NA,NA,NA
