"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"1",3,8,"函館","丘珠","ANA",44683,40,16800,5,455,14.339423,2,0,55.9800796812749,0
"2",3,8,"函館","丘珠","HAC",15301,40,16800,3,390,14.339423,2,0,36,2.66581956797967
"3",3,18,"函館","東京","JAL",223082,80,31400,3,375,24.936932,3,0,343.71270718232,5536.56445672192
"4",3,18,"函館","東京","ANA",153967,80,31400,2,175,24.936932,3,0,343.899587345254,3776.96698762036
"5",3,18,"函館","東京","ADO",131071,80,24200,2,280,24.936932,3,0,227.063711911357,1372.48476454294
"6",3,25,"函館","関西","ANA",36851,100,38900,1,0,43.577409,1,0,123.34435261708,151.724517906336
"7",8,3,"丘珠","函館","ANA",42740,40,16800,5,600,14.339423,2,0,55.986074270557,0
"8",8,3,"丘珠","函館","HAC",16219,40,16800,3,520,14.339423,2,0,36,31.2754182754183
"9",8,12,"新千歳","仙台","JAL",116309,65,28400,4,655,56.355039,3,0,154.187718073971,262.838101884159
"10",8,12,"新千歳","仙台","ANA",105860,65,28400,3,340,56.355039,3,0,172.162812210916,714.54394079556
"11",8,12,"新千歳","仙台","ADO",110938,65,27400,4,560,56.355039,3,0,126,67.1065877128053
"12",8,18,"新千歳","東京","JAL",1809380,90,33500,18,665,58.783124,4,0,444.517204790056,6840.53615279673
"13",8,18,"新千歳","東京","ANA",1750844,90,33500,16,680,58.783124,4,0,460.494653725942,6806.86691890114
"14",8,18,"新千歳","東京","SKY",396256,90,21700,9,585,58.783124,4,0,177,0
"15",8,18,"新千歳","東京","ADO",598819,90,25900,10,680,58.783124,4,0,243.381416690565,1077.45196443935
"16",8,18,"新千歳","成田","JAL",65119,105,33500,2,525,104.604254,3,0,179.305642633229,32.2100313479624
"17",8,18,"新千歳","成田","ANA",25842,105,33500,1,575,104.604254,3,0,165.494475138122,1.93646408839779
"18",8,18,"新千歳","成田","IBX",14013,105,33500,1,0,104.604254,3,0,50,0
"19",8,25,"新千歳","大阪","JAL",159098,110,41400,2,485,54.177172,2,0,271.382653061225,4179.46683673469
"20",8,25,"新千歳","大阪","ANA",99150,110,41400,1,0,54.177172,2,0,300.64858490566,3800.3608490566
"21",8,25,"新千歳","関西","JAL",230816,110,41300,4,525,77.423601,2,0,230.550546448087,2247.16393442623
"22",8,25,"新千歳","関西","ANA",235646,110,41300,4,270,77.423601,2,0,215.215395003376,2090.26130992573
"23",8,25,"新千歳","神戸","JAL",174514,115,41400,3,125,68.293435,2,0,233.766605166052,2210.74723247232
"24",8,25,"新千歳","神戸","ANA",141715,115,41400,3,305,68.293435,2,0,182.922294172063,983.197039777983
"25",8,37,"新千歳","福岡","JAL",119560,145,51100,2,105,43.668941,2,0,230.931318681319,1662.84340659341
"26",8,37,"新千歳","福岡","ANA",102915,145,51100,1,0,43.668941,2,0,401.44474393531,5366.7628032345
"27",12,8,"仙台","新千歳","JAL",117426,65,28400,4,440,56.355039,3,0,154.101186322401,232.587578506629
"28",12,8,"仙台","新千歳","ANA",103819,65,28400,3,545,56.355039,3,0,172.169287696577,860.031452358927
"29",12,8,"仙台","新千歳","ADO",109844,65,27400,4,355,56.355039,3,0,126,179.134715025907
"30",12,18,"仙台","成田","ANA",13257,60,18100,2,450,78.831177,2,0,73.7912087912088,0
"31",12,18,"仙台","成田","IBX",9114,60,18100,2,0,78.831177,2,0,50,0
"32",12,25,"仙台","大阪","ANA",288522,75,30800,6,595,28.404095,3,0,207.327046918123,1397.43422263109
"33",12,25,"仙台","大阪","JEX",201894,75,30800,6,625,28.404095,3,0,152.043238270469,105.848206071757
"34",12,25,"仙台","大阪","IBX",9156,75,30800,1,55,28.404095,3,0,50,0
"35",12,37,"仙台","福岡","JAL",82514,105,43500,3,300,17.895864,2,0,146.253699788584,380.818181818182
"36",12,37,"仙台","福岡","ANA",29322,105,43500,2,50,17.895864,2,0,125.407024793388,294.039256198347
"37",18,3,"東京","函館","JAL",239803,80,31400,3,640,24.936932,3,0,344.278748850046,2744.45906163753
"38",18,3,"東京","函館","ANA",176356,80,31400,2,425,24.936932,3,0,343.456908344733,3031.31326949384
"39",18,3,"東京","函館","ADO",115342,80,24200,2,525,24.936932,3,0,226.947658402204,523.707988980716
"40",18,8,"東京","新千歳","JAL",1754613,90,33500,18,800,58.783124,4,0,444.655208964264,5680.17549969715
"41",18,8,"東京","新千歳","ANA",1715570,90,33500,16,780,58.783124,4,0,462.30157946693,6773.39404409345
"42",18,8,"東京","新千歳","SKY",397362,90,21700,9,775,58.783124,4,0,177,0
"43",18,8,"東京","新千歳","ADO",602707,90,25900,10,785,58.783124,4,0,242.955937052933,1394.61201716738
"44",18,8,"成田","新千歳","JAL",63195,105,33500,2,60,104.604254,3,0,179.498432601881,272.62539184953
"45",18,8,"成田","新千歳","ANA",34133,105,33500,1,0,104.604254,3,0,165.510989010989,333.851648351648
"46",18,8,"成田","新千歳","IBX",11796,105,33500,1,40,104.604254,3,0,50,0
"47",18,12,"成田","仙台","ANA",13572,60,18100,2,0,78.831177,2,0,73.9972527472527,0
"48",18,12,"成田","仙台","IBX",7551,60,18100,2,270,78.831177,2,0,50,0
"49",18,25,"東京","大阪","JAL",1262583,65,22500,15,770,30.83218,2,0,375.392092257002,4405.60150100677
"50",18,25,"東京","大阪","ANA",1324401,65,22500,14,735,30.83218,2,0,423.075745682889,3186.07476452119
"51",18,25,"東京","関西","JAL",249460,75,22500,6,870,54.078609,3,0,164.115300306883,83.0289346777729
"52",18,25,"東京","関西","ANA",242305,75,22500,4,760,54.078609,3,0,227.097093382808,2047.57390228819
"53",18,25,"東京","関西","SFJ",150657,75,20700,4,490,54.078609,3,0,144,0
"54",18,25,"成田","大阪","JAL",105150,85,22500,2,0,76.65331,2,0,205.290809327846,661.068587105624
"55",18,25,"成田","大阪","ANA",87751,85,22500,2,0,76.65331,2,0,212.053375196232,1937.72527472527
"56",18,25,"東京","神戸","JAL",120191,70,22500,2,480,44.948443,3,0,229.603851444292,94.0453920220083
"57",18,25,"東京","神戸","ANA",114621,70,22500,2,790,44.948443,3,0,249.665441176471,1327.75245098039
"58",18,25,"東京","神戸","SKY",258947,70,11400,6,690,44.948443,3,0,177,0
"59",18,37,"東京","福岡","JAL",1526552,100,36700,19,785,20.323949,3,0,386.851157987904,4767.96592417761
"60",18,37,"東京","福岡","ANA",1605033,100,36700,18,805,20.323949,3,0,416.227159338946,5235.22061116308
"61",18,37,"東京","福岡","SKY",589790,100,21700,10,760,20.323949,3,0,198.6640044065,0
"62",18,37,"成田","福岡","JAL",68401,120,36700,2,0,66.145079,2,0,147.222363405337,94.7090216010165
"63",18,37,"成田","福岡","ANA",49204,120,36700,2,0,66.145079,2,0,122.860082304527,6.86556927297668
"64",18,37,"東京","北九州","JAL",128677,100,36700,4,615,80.733392,2,0,164.131958762887,119.356701030928
"65",18,37,"東京","北九州","SFJ",382047,100,29600,11,705,80.733392,2,0,144,708.053732133404
"66",18,37,"東京","佐賀","ANA",127199,110,36700,4,570,69.447815,1,0,134.094579646018,4341.52157079646
"67",18,46,"東京","那覇","JAL",1279999,160,40800,11,720,20.748883,3,0,480.993856332703,9219.23511342155
"68",18,46,"東京","那覇","ANA",1106219,160,40800,9,705,20.748883,3,0,456.351366271046,6482.09108473641
"69",18,46,"東京","那覇","SKY",163200,160,24700,3,595,20.748883,3,0,192.315547378105,0
"70",18,46,"成田","那覇","ANA",54443,155,40800,1,200,66.570013,1,0,215.120547945205,158.282191780822
"71",25,3,"関西","函館","ANA",38638,100,38900,1,30,43.577409,1,0,123.351648351648,93.3186813186813
"72",25,8,"大阪","新千歳","JAL",157415,110,41400,2,425,54.177172,2,0,271.964376590331,4108.08905852417
"73",25,8,"大阪","新千歳","ANA",102185,110,41400,1,415,54.177172,2,0,302.304245283019,3668.6179245283
"74",25,8,"関西","新千歳","JAL",236934,110,41300,4,455,77.423601,2,0,231.357679180887,2449.16040955631
"75",25,8,"関西","新千歳","ANA",231669,110,41300,4,590,77.423601,2,0,214.428089128967,2003.45509790682
"76",25,8,"神戸","新千歳","JAL",176178,115,41400,3,400,68.293435,2,0,233.791705069124,2045.65806451613
"77",25,8,"神戸","新千歳","ANA",133550,115,41400,3,380,68.293435,2,0,182.345270890725,641.640036730946
"78",25,12,"大阪","仙台","ANA",285683,75,30800,6,575,28.404095,3,0,207.224977043159,1352.3709825528
"79",25,12,"大阪","仙台","JEX",200544,75,30800,6,605,28.404095,3,0,156.362298850575,200.103908045977
"80",25,12,"大阪","仙台","IBX",8995,75,30800,1,0,28.404095,3,0,50,0
"81",25,18,"大阪","東京","JAL",1315634,65,22500,15,660,30.83218,2,0,375.231966312706,2857.73416331014
"82",25,18,"大阪","東京","ANA",1347162,65,22500,14,655,30.83218,2,0,423.17658613239,2438.75564722059
"83",25,18,"関西","東京","JAL",243321,75,22500,6,755,54.078609,3,0,164.617543859649,302.375877192982
"84",25,18,"関西","東京","ANA",230813,75,22500,4,780,54.078609,3,0,189.869700103413,1391.54705274043
"85",25,18,"関西","東京","SFJ",158283,75,20700,4,755,54.078609,3,0,144,0
"86",25,18,"大阪","成田","JAL",108098,85,22500,2,530,76.65331,2,0,204.598901098901,1145.7239010989
"87",25,18,"大阪","成田","ANA",88647,85,22500,2,525,76.65331,2,0,212.138147566719,10.6624803767661
"88",25,18,"神戸","東京","JAL",111429,70,22500,2,715,44.948443,3,0,229.692837465565,1016.64600550964
"89",25,18,"神戸","東京","ANA",122651,70,22500,2,710,44.948443,3,0,250.607579462103,517.812958435208
"90",25,18,"神戸","東京","SKY",276054,70,11400,6,695,44.948443,3,0,177,0
"91",25,37,"大阪","福岡","JAL",86430,70,21900,2,630,15.717997,3,0,144.375,881.760044642857
"92",25,37,"大阪","福岡","ANA",286928,70,21900,7,615,15.717997,3,0,156.136557059961,1473.40618955513
"93",25,37,"大阪","福岡","JAC",37593,70,21900,2,30,15.717997,3,0,74,62.5281690140845
"94",25,37,"関西","福岡","JAL",43976,70,21900,3,515,38.964426,2,0,62.2207207207207,121.347747747748
"95",25,37,"関西","福岡","ANA",62171,70,21900,4,410,38.964426,2,0,78.4483798040693,23.9005275056518
"96",25,37,"大阪","佐賀","ANA",20996,80,21900,2,275,64.841863,1,0,74,3.17198335644938
"97",25,46,"大阪","那覇","JAL",140677,130,34200,1,415,16.142931,2,0,462.306074766355,9072.21728971963
"98",25,46,"大阪","那覇","ANA",156335,130,34200,1,0,16.142931,2,0,478.284037558685,8777.50234741784
"99",25,46,"関西","那覇","JAL",217810,130,34200,4,615,39.38936,2,0,224.600814663951,2764.37746096402
"100",25,46,"関西","那覇","ANA",227843,130,34200,4,495,39.38936,2,0,243.927156549521,5183.34057507987
"101",25,46,"神戸","那覇","ANA",157229,125,34200,3,520,30.259194,2,0,243.435546875,1714.3828125
"102",25,46,"神戸","那覇","JTA",93285,125,34200,2,300,30.259194,2,0,204.304172274563,3142.57604306864
"103",37,8,"福岡","新千歳","JAL",120647,145,51100,2,405,43.668941,2,0,230.76817558299,3332.93141289438
"104",37,8,"福岡","新千歳","ANA",104315,145,51100,1,60,43.668941,2,0,401.927419354839,4785.97043010753
"105",37,12,"福岡","仙台","JAL",82099,105,43500,3,325,17.895864,2,0,146.116156282999,594.189017951426
"106",37,12,"福岡","仙台","ANA",31137,105,43500,2,335,17.895864,2,0,125.416494845361,281.259793814433
"107",37,18,"福岡","東京","JAL",1546302,100,36700,19,680,20.323949,3,0,386.968422605873,6056.001770695
"108",37,18,"福岡","東京","ANA",1639873,100,36700,18,690,20.323949,3,0,415.274372172828,5046.00545936671
"109",37,18,"福岡","東京","SKY",601398,100,21700,10,685,20.323949,3,0,198.681918412348,0
"110",37,18,"福岡","成田","JAL",73111,120,36700,2,660,66.145079,2,0,147.213924050633,13.0189873417722
"111",37,18,"福岡","成田","ANA",52552,120,36700,2,540,66.145079,2,0,122.790410958904,12.4054794520548
"112",37,18,"北九州","東京","JAL",123165,100,36700,4,625,80.733392,2,0,164.141678129298,383.036451169188
"113",37,18,"北九州","東京","SFJ",372587,100,29600,11,980,80.733392,2,0,144,683.425999470479
"114",37,18,"佐賀","東京","ANA",128686,110,36700,4,600,69.447815,1,0,164.929155313351,591.051771117166
"115",37,25,"福岡","大阪","JAL",79190,70,21900,2,725,15.717997,3,0,144.727982162765,653.397993311037
"116",37,25,"福岡","大阪","ANA",286273,70,21900,7,675,15.717997,3,0,156.281673769857,1314.69817900039
"117",37,25,"福岡","大阪","JAC",38401,70,21900,2,495,15.717997,3,0,74,103.273115220484
"118",37,25,"福岡","関西","JAL",46002,70,21900,3,725,38.964426,2,0,62.2648648648649,10.6945945945946
"119",37,25,"福岡","関西","ANA",68597,70,21900,4,640,38.964426,2,0,78.5941265060241,3.40888554216867
"120",37,25,"佐賀","大阪","ANA",23402,80,21900,2,60,64.841863,1,0,74,35.8145048814505
"121",37,46,"福岡","那覇","JAL",199883,100,27500,5,575,5.6347,4,0,192.205128205128,3303.68357883252
"122",37,46,"福岡","那覇","ANA",373204,100,27500,8,540,5.6347,4,0,209.456828345373,3345.96388028896
"123",37,46,"福岡","那覇","JTA",35297,100,27500,1,0,5.6347,4,0,145.506849315069,1113.48767123288
"124",37,46,"福岡","那覇","SKY",46870,100,19800,2,70,5.6347,4,0,177,0
"125",46,18,"那覇","東京","JAL",1285780,160,40800,11,550,20.748883,4,0,478.944839015152,6419.83972537879
"126",46,18,"那覇","東京","ANA",1075612,160,40800,9,575,20.748883,4,0,457.463219026549,6569.33296460177
"127",46,18,"那覇","東京","JTA",32881,160,40800,1,0,20.748883,4,0,149.688715953307,163.007782101167
"128",46,18,"那覇","東京","SKY",171742,160,24700,3,195,20.748883,4,0,192.24861878453,0
"129",46,25,"那覇","大阪","JAL",134550,130,34200,1,0,16.142931,2,0,462.777517564403,7449.3981264637
"130",46,25,"那覇","大阪","ANA",145413,130,34200,1,0,16.142931,2,0,478.016431924883,5387.23474178404
"131",46,25,"那覇","関西","JAL",226618,130,34200,4,635,39.38936,2,0,226.713120326309,2932.16519374575
"132",46,25,"那覇","関西","ANA",240932,130,34200,4,435,39.38936,2,0,245.92912371134,3872.01159793814
"133",46,25,"那覇","神戸","ANA",152136,125,34200,3,140,30.259194,2,0,243.256585365854,1233.44780487805
"134",46,25,"那覇","神戸","JTA",91141,125,34200,3,600,30.259194,2,0,204.206477732794,2587.68286099865
