"","47ゾーンi","47ゾーンj","i","j","207ゾーンi","207ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","路線距離"
"1",10,10,1,1,22,22,"南部","南部",NA,NA,NA,NA,45.047698,0,NA,0,0,0,0,0,0,NA
"2",10,11,1,4,22,33,"南部","両磐",NA,NA,NA,NA,76.497531,0,NA,0,5,24,0,0,0,NA
"3",10,11,1,2,22,31,"南部","盛岡",NA,NA,NA,NA,53.741119,0,NA,0,133,139,0,0,0,NA
"4",10,11,1,3,22,32,"南部","北上中部",NA,NA,NA,NA,26.456241,0,NA,0,8,157,0,0,0,NA
"5",10,12,1,5,22,41,"南部","仙台",NA,NA,NA,NA,37.81483,0,NA,0,246,423,0,0,0,NA
"6",10,12,1,6,22,43,"南部","古川",NA,NA,NA,NA,88.601564,0,NA,0,0,23,0,0,0,NA
"7",10,12,1,9,22,63,"南部","米沢",NA,NA,NA,NA,97.816302,0,NA,0,0,4,0,0,0,NA
"8",10,12,1,10,22,64,"南部","新庄",NA,NA,NA,NA,111.030077,0,NA,0,0,19,0,0,0,NA
"9",10,12,1,11,22,71,"南部","福島",NA,NA,NA,NA,74.5039605,0,NA,0,8,17,0,0,0,NA
"10",10,13,1,7,22,51,"南部","秋田臨海",NA,NA,NA,NA,37.85337,0,NA,0,14,45,0,0,0,NA
"11",10,15,1,8,22,61,"南部","山形",NA,NA,NA,NA,39.893131,0,NA,0,11,19,0,0,0,NA
"12",10,17,1,12,22,73,"南部","郡山",NA,NA,NA,NA,44.3921305,0,NA,0,6,11,0,0,0,NA
"13",10,17,1,13,22,76,"南部","白河",NA,NA,NA,NA,46.0778155,0,NA,0,2,4,0,0,0,NA
"14",10,18,1,19,22,111,"南部","浦和",80,14750,1095,350,59.404424,0,1,1,42,55,159.971375807941,176.678670360111,0.677746999076639,685
"15",10,18,1,31,22,221,"南部","中部",80,14750,1095,350,142.1205443,0,1,0,3,3,159.971375807941,176.678670360111,0.677746999076639,685
"16",10,18,1,21,22,131,"南部","23区",80,14750,1095,350,41.287959,0,1,35,391,413,159.971375807941,176.678670360111,0.677746999076639,685
"17",10,18,1,22,22,141,"南部","横浜",80,14750,1095,350,42.707019,0,1,10,52,55,159.971375807941,176.678670360111,0.677746999076639,685
"18",10,18,1,23,22,144,"南部","小田原",80,14750,1095,350,82.53551817,0,1,0,2,4,159.971375807941,176.678670360111,0.677746999076639,685
"19",10,18,1,28,22,201,"南部","長野",80,14750,1095,350,210.75485,0,1,0,2,3,159.971375807941,176.678670360111,0.677746999076639,685
"20",10,18,1,18,22,104,"南部","沼田・利根",80,14750,1095,350,161.31552,0,1,0,0,0,159.971375807941,176.678670360111,0.677746999076639,685
"21",10,18,1,20,22,113,"南部","児玉・大里",80,14750,1095,350,97.943996,0,1,0,1,1,159.971375807941,176.678670360111,0.677746999076639,685
"22",10,18,1,17,22,101,"南部","前橋・高崎",80,14750,1095,350,136.240156,0,1,0,11,11,159.971375807941,176.678670360111,0.677746999076639,685
"23",10,18,1,33,22,223,"南部","東部",80,14750,1095,350,104.75828933,0,1,0,13,14,159.971375807941,176.678670360111,0.677746999076639,685
"24",10,18,1,16,22,95,"南部","那須",80,14750,1095,350,170.589915,0,1,0,14,17,159.971375807941,176.678670360111,0.677746999076639,685
"25",10,18,1,14,22,91,"南部","宇都宮",80,14750,1095,350,119.51219133,0,1,0,3,9,159.971375807941,176.678670360111,0.677746999076639,685
"26",10,18,1,15,22,93,"南部","栃木・小山",80,14750,1095,350,109.80651281,0,1,0,1,2,159.971375807941,176.678670360111,0.677746999076639,685
"27",10,20,1,24,22,151,"南部","新潟",NA,NA,NA,NA,34.63792817,0,NA,0,0,1,0,0,0,NA
"28",10,20,1,25,22,152,"南部","長岡",NA,NA,NA,NA,81.37241159,0,NA,0,2,3,0,0,0,NA
"29",10,20,1,26,22,154,"南部","三条・燕",NA,NA,NA,NA,60.410961,0,NA,0,0,0,0,0,0,NA
"30",10,20,1,27,22,155,"南部","魚沼",NA,NA,NA,NA,119.752854,0,NA,0,0,0,0,0,0,NA
"31",10,24,1,29,22,203,"南部","上田",NA,NA,NA,NA,237.77573,0,NA,0,1,23,0,0,0,NA
"32",10,24,1,30,22,211,"南部","岐阜",NA,NA,NA,NA,85.330555,0,NA,0,5,5,0,0,0,NA
"33",10,24,1,32,22,222,"南部","西部",NA,NA,NA,NA,94.474946,0,NA,0,2,2,0,0,0,NA
"34",10,24,1,34,22,231,"南部","名古屋",NA,NA,NA,NA,53.902926,0,NA,0,3,4,0,0,0,NA
"35",10,24,1,35,22,232,"南部","東三河",NA,NA,NA,NA,73.04133822,0,NA,0,0,0,0,0,0,NA
"36",10,24,1,36,22,233,"南部","豊田",NA,NA,NA,NA,57.457183,0,NA,0,3,46,0,0,0,NA
"37",10,25,1,37,22,252,"南部","東北部",NA,NA,NA,NA,152.726022,0,NA,0,0,0,150.041551246537,256.193905817175,0.426592797783933,985
"38",10,25,1,39,22,271,"南部","大阪",NA,NA,NA,NA,58.401338,0,NA,4,11,11,150.041551246537,256.193905817175,0.426592797783933,985
"39",10,25,1,38,22,261,"南部","京都",NA,NA,NA,NA,100.966275,0,NA,4,10,10,150.041551246537,256.193905817175,0.426592797783933,985
"40",10,25,1,40,22,281,"南部","神戸",NA,NA,NA,NA,50.76811,0,NA,3,4,4,150.041551246537,256.193905817175,0.426592797783933,985
"41",10,25,1,41,22,283,"南部","播磨",NA,NA,NA,NA,87.30514267,0,NA,1,3,3,150.041551246537,256.193905817175,0.426592797783933,985
"42",10,30,1,42,22,331,"南部","県南",NA,NA,NA,NA,42.20796767,0,NA,0,4,4,0,0,0,NA
"43",10,31,1,43,22,341,"南部","広島",NA,NA,NA,NA,67.64736517,0,NA,1,2,2,0,0,0,NA
"44",10,31,1,44,22,342,"南部","備後",NA,NA,NA,NA,65.5242885,0,NA,0,0,0,0,0,0,NA
"45",10,32,1,45,22,351,"南部","山口",NA,NA,NA,NA,57.13556248,0,NA,0,0,0,0,0,0,NA
"46",10,32,1,46,22,352,"南部","下関",NA,NA,NA,NA,53.697074,0,NA,0,0,1,0,0,0,NA
"47",10,32,1,47,22,353,"南部","宇部",NA,NA,NA,NA,26.134742,0,NA,0,0,0,0,0,0,NA
"48",10,32,1,48,22,354,"南部","岩国",NA,NA,NA,NA,113.469258,0,NA,0,0,0,0,0,0,NA
"49",10,32,1,49,22,355,"南部","徳山",NA,NA,NA,NA,78.176152,0,NA,0,0,0,0,0,0,NA
"50",10,37,1,51,22,402,"南部","北九州",NA,NA,NA,NA,67.653225,0,NA,1,1,1,0,0,0,NA
"51",10,37,1,50,22,401,"南部","福岡",NA,NA,NA,NA,26.555547,0,NA,5,6,7,0,0,0,NA
"52",10,41,1,52,22,432,"南部","八代・芦北",NA,NA,NA,NA,61.3052175,0,NA,0,0,0,0,0,0,NA
"53",10,44,1,53,22,461,"南部","鹿児島",NA,NA,NA,NA,47.72907417,0,NA,1,1,1,0,0,0,NA
"54",10,44,1,54,22,462,"南部","川北薩・串木野",NA,NA,NA,NA,57.73323917,0,NA,0,0,0,0,0,0,NA
"55",11,10,3,1,32,22,"北上中部","南部",NA,NA,NA,NA,26.456241,0,NA,0,8,146,0,0,0,NA
"56",11,10,2,1,31,22,"盛岡","南部",NA,NA,NA,NA,53.741119,0,NA,0,133,136,0,0,0,NA
"57",11,10,4,1,33,22,"両磐","南部",NA,NA,NA,NA,76.497531,0,NA,0,5,28,0,0,0,NA
"58",11,11,3,4,32,33,"北上中部","両磐",NA,NA,NA,NA,57.906074,0,NA,0,0,0,0,0,0,NA
"59",11,11,2,2,31,31,"盛岡","盛岡",NA,NA,NA,NA,62.43454,0,NA,0,0,0,0,0,0,NA
"60",11,11,2,4,31,33,"盛岡","両磐",NA,NA,NA,NA,85.190952,0,NA,0,0,0,0,0,0,NA
"61",11,11,3,3,32,32,"北上中部","北上中部",NA,NA,NA,NA,7.864784,0,NA,0,0,0,0,0,0,NA
"62",11,11,4,4,33,33,"両磐","両磐",NA,NA,NA,NA,107.947364,0,NA,0,0,0,0,0,0,NA
"63",11,11,2,3,31,32,"盛岡","北上中部",NA,NA,NA,NA,35.149662,0,NA,0,0,0,0,0,0,NA
"64",11,11,3,2,32,31,"北上中部","盛岡",NA,NA,NA,NA,35.149662,0,NA,0,0,0,0,0,0,NA
"65",11,11,4,3,33,32,"両磐","北上中部",NA,NA,NA,NA,57.906074,0,NA,0,0,0,0,0,0,NA
"66",11,11,4,2,33,31,"両磐","盛岡",NA,NA,NA,NA,85.190952,0,NA,0,0,0,0,0,0,NA
"67",11,12,4,5,33,41,"両磐","仙台",NA,NA,NA,NA,69.264663,0,NA,0,39,663,0,0,0,NA
"68",11,12,4,6,33,43,"両磐","古川",NA,NA,NA,NA,120.051397,0,NA,0,5,5,0,0,0,NA
"69",11,12,4,9,33,63,"両磐","米沢",NA,NA,NA,NA,129.266135,0,NA,0,0,1,0,0,0,NA
"70",11,12,2,9,31,63,"盛岡","米沢",NA,NA,NA,NA,106.509723,0,NA,0,3,8,0,0,0,NA
"71",11,12,2,10,31,64,"盛岡","新庄",NA,NA,NA,NA,119.723498,0,NA,0,1,12,0,0,0,NA
"72",11,12,2,11,31,71,"盛岡","福島",NA,NA,NA,NA,83.1973815,0,NA,0,21,43,0,0,0,NA
"73",11,12,3,5,32,41,"北上中部","仙台",NA,NA,NA,NA,19.223373,0,NA,0,147,969,0,0,0,NA
"74",11,12,3,6,32,43,"北上中部","古川",NA,NA,NA,NA,70.010107,0,NA,0,4,189,0,0,0,NA
"75",11,12,3,9,32,63,"北上中部","米沢",NA,NA,NA,NA,79.224845,0,NA,0,1,5,0,0,0,NA
"76",11,12,3,10,32,64,"北上中部","新庄",NA,NA,NA,NA,92.43862,0,NA,0,0,3,0,0,0,NA
"77",11,12,3,11,32,71,"北上中部","福島",NA,NA,NA,NA,55.9125035,0,NA,0,11,52,0,0,0,NA
"78",11,12,4,10,33,64,"両磐","新庄",NA,NA,NA,NA,142.47991,0,NA,0,0,2,0,0,0,NA
"79",11,12,4,11,33,71,"両磐","福島",NA,NA,NA,NA,105.9537935,0,NA,0,1,18,0,0,0,NA
"80",11,12,2,5,31,41,"盛岡","仙台",NA,NA,NA,NA,46.508251,0,NA,0,524,629,0,0,0,NA
"81",11,12,2,6,31,43,"盛岡","古川",NA,NA,NA,NA,97.294985,0,NA,0,1,121,0,0,0,NA
"82",11,13,4,7,33,51,"両磐","秋田臨海",NA,NA,NA,NA,69.303203,0,NA,0,0,26,0,0,0,NA
"83",11,13,2,7,31,51,"盛岡","秋田臨海",NA,NA,NA,NA,46.546791,0,NA,0,69,376,0,0,0,NA
"84",11,13,3,7,32,51,"北上中部","秋田臨海",NA,NA,NA,NA,19.261913,0,NA,0,1,230,0,0,0,NA
"85",11,15,4,8,33,61,"両磐","山形",NA,NA,NA,NA,71.342964,0,NA,0,2,33,0,0,0,NA
"86",11,15,2,8,31,61,"盛岡","山形",NA,NA,NA,NA,48.586552,0,NA,0,27,116,0,0,0,NA
"87",11,15,3,8,32,61,"北上中部","山形",NA,NA,NA,NA,21.301674,0,NA,0,1,50,0,0,0,NA
"88",11,17,3,12,32,73,"北上中部","郡山",NA,NA,NA,NA,25.8006735,0,NA,0,2,22,0,0,0,NA
"89",11,17,3,13,32,76,"北上中部","白河",NA,NA,NA,NA,27.4863585,0,NA,0,0,5,0,0,0,NA
"90",11,17,4,12,33,73,"両磐","郡山",NA,NA,NA,NA,75.8419635,0,NA,0,1,9,0,0,0,NA
"91",11,17,4,13,33,76,"両磐","白河",NA,NA,NA,NA,77.5276485,0,NA,0,0,1,0,0,0,NA
"92",11,17,2,12,31,73,"盛岡","郡山",NA,NA,NA,NA,53.0855515,0,NA,0,31,60,0,0,0,NA
"93",11,17,2,13,31,76,"盛岡","白河",NA,NA,NA,NA,54.7712365,0,NA,0,1,3,0,0,0,NA
"94",11,18,3,20,32,113,"北上中部","児玉・大里",NA,NA,NA,NA,79.352539,0,NA,0,4,5,0,0,0,NA
"95",11,18,3,28,32,201,"北上中部","長野",NA,NA,NA,NA,192.163393,0,NA,0,1,2,0,0,0,NA
"96",11,18,2,17,31,101,"盛岡","前橋・高崎",NA,NA,NA,NA,144.933577,0,NA,0,19,21,0,0,0,NA
"97",11,18,2,18,31,104,"盛岡","沼田・利根",NA,NA,NA,NA,170.008941,0,NA,0,0,0,0,0,0,NA
"98",11,18,2,20,31,113,"盛岡","児玉・大里",NA,NA,NA,NA,106.637417,0,NA,0,5,6,0,0,0,NA
"99",11,18,2,14,31,91,"盛岡","宇都宮",NA,NA,NA,NA,128.20561233,0,NA,0,9,16,0,0,0,NA
"100",11,18,2,15,31,93,"盛岡","栃木・小山",NA,NA,NA,NA,118.49993381,0,NA,0,1,5,0,0,0,NA
"101",11,18,2,16,31,95,"盛岡","那須",NA,NA,NA,NA,179.283336,0,NA,0,4,13,0,0,0,NA
"102",11,18,3,17,32,101,"北上中部","前橋・高崎",NA,NA,NA,NA,117.648699,0,NA,0,6,8,0,0,0,NA
"103",11,18,3,18,32,104,"北上中部","沼田・利根",NA,NA,NA,NA,142.724063,0,NA,0,0,0,0,0,0,NA
"104",11,18,3,33,32,223,"北上中部","東部",NA,NA,NA,NA,86.16683233,0,NA,0,4,4,0,0,0,NA
"105",11,18,3,14,32,91,"北上中部","宇都宮",NA,NA,NA,NA,100.92073433,0,NA,0,5,16,0,0,0,NA
"106",11,18,4,14,33,91,"両磐","宇都宮",NA,NA,NA,NA,150.96202433,0,NA,0,1,7,0,0,0,NA
"107",11,18,3,19,32,111,"北上中部","浦和",NA,NA,NA,NA,40.812967,0,NA,0,40,63,0,0,0,NA
"108",11,18,3,21,32,131,"北上中部","23区",NA,NA,NA,NA,22.696502,0,NA,0,146,170,0,0,0,NA
"109",11,18,3,22,32,141,"北上中部","横浜",NA,NA,NA,NA,24.115562,0,NA,0,13,16,0,0,0,NA
"110",11,18,3,23,32,144,"北上中部","小田原",NA,NA,NA,NA,63.94406117,0,NA,0,2,3,0,0,0,NA
"111",11,18,2,28,31,201,"盛岡","長野",NA,NA,NA,NA,219.448271,0,NA,0,3,5,0,0,0,NA
"112",11,18,4,17,33,101,"両磐","前橋・高崎",NA,NA,NA,NA,167.689989,0,NA,0,0,2,0,0,0,NA
"113",11,18,4,18,33,104,"両磐","沼田・利根",NA,NA,NA,NA,192.765353,0,NA,0,0,0,0,0,0,NA
"114",11,18,4,20,33,113,"両磐","児玉・大里",NA,NA,NA,NA,129.393829,0,NA,0,2,2,0,0,0,NA
"115",11,18,2,19,31,111,"盛岡","浦和",NA,NA,NA,NA,68.097845,0,NA,0,87,112,0,0,0,NA
