i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj
1,1,22,22,10,10,南部,南部,三沢,三沢
1,2,22,31,10,11,南部,盛岡,三沢,花巻
1,3,22,32,10,11,南部,北上中部,三沢,花巻
1,4,22,33,10,11,南部,両磐,三沢,花巻
1,5,22,41,10,12,南部,仙台,三沢,仙台
1,6,22,43,10,12,南部,古川,三沢,仙台
1,7,22,51,10,13,南部,秋田臨海,三沢,秋田
1,8,22,61,10,15,南部,山形,三沢,山形
1,9,22,63,10,12,南部,米沢,三沢,仙台
1,10,22,64,10,12,南部,新庄,三沢,仙台
1,11,22,71,10,12,南部,福島,三沢,仙台
1,12,22,73,10,17,南部,郡山,三沢,福島
1,13,22,76,10,17,南部,白河,三沢,福島
1,14,22,91,10,18,南部,宇都宮,三沢,羽田
1,15,22,93,10,18,南部,栃木・小山,三沢,羽田
1,16,22,95,10,18,南部,那須,三沢,羽田
1,17,22,101,10,18,南部,前橋・高崎,三沢,羽田
1,18,22,104,10,18,南部,沼田・利根,三沢,羽田
1,19,22,111,10,18,南部,浦和,三沢,羽田
1,20,22,113,10,18,南部,児玉・大里,三沢,羽田
1,21,22,131,10,18,南部,23区,三沢,羽田
1,22,22,141,10,18,南部,横浜,三沢,羽田
1,23,22,144,10,18,南部,小田原,三沢,羽田
1,24,22,151,10,20,南部,新潟,三沢,新潟
1,25,22,152,10,20,南部,長岡,三沢,新潟
1,26,22,154,10,20,南部,三条・燕,三沢,新潟
1,27,22,155,10,20,南部,魚沼,三沢,新潟
1,28,22,201,10,18,南部,長野,三沢,羽田
1,29,22,203,10,24,南部,上田,三沢,名古屋
1,30,22,211,10,24,南部,岐阜,三沢,名古屋
1,31,22,221,10,18,南部,中部,三沢,羽田
1,32,22,222,10,24,南部,西部,三沢,名古屋
1,33,22,223,10,18,南部,東部,三沢,羽田
1,34,22,231,10,24,南部,名古屋,三沢,名古屋
1,35,22,232,10,24,南部,東三河,三沢,名古屋
1,36,22,233,10,24,南部,豊田,三沢,名古屋
1,37,22,252,10,25,南部,東北部,三沢,関西国際
1,38,22,261,10,25,南部,京都,三沢,関西国際
1,39,22,271,10,25,南部,大阪,三沢,関西国際
1,40,22,281,10,25,南部,神戸,三沢,関西国際
1,41,22,283,10,25,南部,播磨,三沢,関西国際
1,42,22,331,10,30,南部,県南,三沢,岡山
1,43,22,341,10,31,南部,広島,三沢,広島
1,44,22,342,10,31,南部,備後,三沢,広島
1,45,22,351,10,32,南部,山口,三沢,山口宇部
1,46,22,352,10,32,南部,下関,三沢,山口宇部
1,47,22,353,10,32,南部,宇部,三沢,山口宇部
1,48,22,354,10,32,南部,岩国,三沢,山口宇部
1,49,22,355,10,32,南部,徳山,三沢,山口宇部
1,50,22,401,10,37,南部,福岡,三沢,福岡
1,51,22,402,10,37,南部,北九州,三沢,福岡
1,52,22,432,10,41,南部,八代・芦北,三沢,熊本
1,53,22,461,10,44,南部,鹿児島,三沢,鹿児島
1,54,22,462,10,44,南部,川北薩・串木野,三沢,鹿児島
2,1,31,22,11,10,盛岡,南部,花巻,三沢
2,2,31,31,11,11,盛岡,盛岡,花巻,花巻
2,3,31,32,11,11,盛岡,北上中部,花巻,花巻
2,4,31,33,11,11,盛岡,両磐,花巻,花巻
2,5,31,41,11,12,盛岡,仙台,花巻,仙台
2,6,31,43,11,12,盛岡,古川,花巻,仙台
2,7,31,51,11,13,盛岡,秋田臨海,花巻,秋田
2,8,31,61,11,15,盛岡,山形,花巻,山形
2,9,31,63,11,12,盛岡,米沢,花巻,仙台
2,10,31,64,11,12,盛岡,新庄,花巻,仙台
2,11,31,71,11,12,盛岡,福島,花巻,仙台
2,12,31,73,11,17,盛岡,郡山,花巻,福島
2,13,31,76,11,17,盛岡,白河,花巻,福島
2,14,31,91,11,18,盛岡,宇都宮,花巻,羽田
2,15,31,93,11,18,盛岡,栃木・小山,花巻,羽田
2,16,31,95,11,18,盛岡,那須,花巻,羽田
2,17,31,101,11,18,盛岡,前橋・高崎,花巻,羽田
2,18,31,104,11,18,盛岡,沼田・利根,花巻,羽田
2,19,31,111,11,18,盛岡,浦和,花巻,羽田
2,20,31,113,11,18,盛岡,児玉・大里,花巻,羽田
2,21,31,131,11,18,盛岡,23区,花巻,羽田
