"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"1",1,1,22,22,10,10,"南部","南部",NA,NA,NA,NA,45.047698,0,NA,0,0,0,0,0,0,0
"2",1,4,22,33,10,11,"南部","両磐",NA,NA,NA,NA,76.497531,0,NA,0,5,24,0,0,0,0
"3",1,2,22,31,10,11,"南部","盛岡",NA,NA,NA,NA,53.741119,0,NA,0,133,139,0,0,0,0
"4",1,3,22,32,10,11,"南部","北上中部",NA,NA,NA,NA,26.456241,0,NA,0,8,157,0,0,0,0
"5",1,5,22,41,10,12,"南部","仙台",NA,NA,NA,NA,37.81483,0,NA,0,246,423,0,0,0,0
"6",1,6,22,43,10,12,"南部","古川",NA,NA,NA,NA,88.601564,0,NA,0,0,23,0,0,0,0
"7",1,9,22,63,10,12,"南部","米沢",NA,NA,NA,NA,97.816302,0,NA,0,0,4,0,0,0,0
"8",1,10,22,64,10,12,"南部","新庄",NA,NA,NA,NA,111.030077,0,NA,0,0,19,0,0,0,0
"9",1,11,22,71,10,12,"南部","福島",NA,NA,NA,NA,74.5039605,0,NA,0,8,17,0,0,0,0
"10",1,7,22,51,10,13,"南部","秋田臨海",NA,NA,NA,NA,37.85337,0,NA,0,14,45,0,0,0,0
"11",1,8,22,61,10,15,"南部","山形",NA,NA,NA,NA,39.893131,0,NA,0,11,19,0,0,0,0
"12",1,12,22,73,10,17,"南部","郡山",NA,NA,NA,NA,44.3921305,0,NA,0,6,11,0,0,0,0
"13",1,13,22,76,10,17,"南部","白河",NA,NA,NA,NA,46.0778155,0,NA,0,2,4,0,0,0,0
"14",1,19,22,111,10,18,"南部","浦和",80,14750,1095,350,59.404424,0,1,1,42,55,685,159.971375807941,176.678670360111,0.677746999076639
"15",1,31,22,221,10,18,"南部","中部",80,14750,1095,350,142.1205443,0,1,0,3,3,685,159.971375807941,176.678670360111,0.677746999076639
"16",1,21,22,131,10,18,"南部","23区",80,14750,1095,350,41.287959,0,1,35,391,413,685,159.971375807941,176.678670360111,0.677746999076639
"17",1,22,22,141,10,18,"南部","横浜",80,14750,1095,350,42.707019,0,1,10,52,55,685,159.971375807941,176.678670360111,0.677746999076639
"18",1,23,22,144,10,18,"南部","小田原",80,14750,1095,350,82.53551817,0,1,0,2,4,685,159.971375807941,176.678670360111,0.677746999076639
"19",1,28,22,201,10,18,"南部","長野",80,14750,1095,350,210.75485,0,1,0,2,3,685,159.971375807941,176.678670360111,0.677746999076639
"20",1,18,22,104,10,18,"南部","沼田・利根",80,14750,1095,350,161.31552,0,1,0,0,0,685,159.971375807941,176.678670360111,0.677746999076639
"21",1,20,22,113,10,18,"南部","児玉・大里",80,14750,1095,350,97.943996,0,1,0,1,1,685,159.971375807941,176.678670360111,0.677746999076639
"22",1,17,22,101,10,18,"南部","前橋・高崎",80,14750,1095,350,136.240156,0,1,0,11,11,685,159.971375807941,176.678670360111,0.677746999076639
"23",1,33,22,223,10,18,"南部","東部",80,14750,1095,350,104.75828933,0,1,0,13,14,685,159.971375807941,176.678670360111,0.677746999076639
