"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"1",17,17,101,101,18,18,"前橋・高崎","前橋・高崎",0,NA,1,1080,17.751672,1,0,0,0,0,0,0,0,0
"2",17,18,101,104,18,18,"前橋・高崎","沼田・利根",16,840,1,1048,17.406503,1,0,0,0,0,46.6,0,0,0
"3",17,19,101,111,18,18,"前橋・高崎","浦和",24,1320,1,1032,14.278033,1,0,362,362,363,74.7,0,0,0
"4",17,20,101,113,18,18,"前橋・高崎","児玉・大里",10,760,1,1060,9.585198,1,0,13,13,13,40.3,0,0,0
"5",17,21,101,131,18,18,"前橋・高崎","23区",49,1940,1,982,10.6758865,1,0,0,0,109,105,0,0,0
"6",17,22,101,141,18,18,"前橋・高崎","横浜",68,2270,1,944,14.7382515,1,0,89,89,332,133.8,0,0,0
"7",17,23,101,144,18,18,"前橋・高崎","小田原",89,3350,1,902,10.145414,1,0,1,1,19,188.9,0,0,0
"8",17,24,101,151,18,20,"前橋・高崎","新潟",71,4000,1,938,10.982120667,1,0,24,24,163,228.9,0,0,0
"9",17,25,101,152,18,20,"前橋・高崎","長岡",48,3020,1,984,9.166779,1,0,7,7,221,165.6,0,0,0
"10",17,26,101,154,18,20,"前橋・高崎","三条・燕",59,3350,1,962,10.630046,1,0,2,2,38,188.8,0,0,0
"11",17,27,101,155,18,20,"前橋・高崎","魚沼",38,2270,1,1004,24.309973,1,0,34,34,225,123.9,0,0,0
"12",17,28,101,201,18,18,"前橋・高崎","長野",54,1940,1,972,9.955864,1,0,50,50,490,117.4,0,0,0
"13",17,29,101,203,18,24,"前橋・高崎","上田",42,1490,1,996,9.40924,1,0,130,130,130,84.2,0,0,0
"14",17,30,101,211,18,24,"前橋・高崎","岐阜",229,8210,1,622,23.096506,1,0,5,5,8,501.3,0,0,0
"15",17,1,101,22,18,10,"前橋・高崎","南部",209,9830,1,662,13.870379,1,0,11,11,12,676.3,0,0,0
"16",17,31,101,221,18,18,"前橋・高崎","中部",117,5080,1,846,10.249778,1,0,15,15,21,285.2,0,0,0
"17",17,32,101,222,18,24,"前橋・高崎","西部",143,6260,1,794,10.651282167,1,0,10,10,20,362.1,0,0,0
"18",17,33,101,223,18,18,"前橋・高崎","東部",111,4000,1,858,14.4087705,1,0,28,28,74,225.7,0,0,0
"19",17,34,101,231,18,24,"前橋・高崎","名古屋",148,7560,1,784,11.816696333,1,0,31,31,40,471,0,0,0
"20",17,35,101,232,18,24,"前橋・高崎","東三河",186,6480,1,708,10.371099667,1,0,8,8,11,398.6,0,0,0
"21",17,36,101,233,18,24,"前橋・高崎","豊田",205,7340,1,670,19.1842,1,0,13,13,46,441.3,0,0,0
"22",17,37,101,252,18,25,"前橋・高崎","東北部",248,8750,1,584,14.308194,1,0,1,1,3,550.9,0,0,0
"23",17,38,101,261,18,25,"前橋・高崎","京都",184,9610,1,712,11.391967,1,0,35,35,63,618.6,0,0,0
"24",17,39,101,271,18,25,"前橋・高崎","大阪",199,9830,1,682,9.980957,1,0,43,45,56,657.6,0,0,0
"25",17,40,101,281,18,25,"前橋・高崎","神戸",212,10150,1,656,10.602243,1,0,18,19,27,694.5,0,0,0
"26",17,41,101,283,18,25,"前橋・高崎","播磨",229,10480,1,622,10.305083667,1,0,10,10,11,749.3,0,0,0
"27",17,2,101,31,18,11,"前橋・高崎","盛岡",173,8960,1,734,10.400529,1,0,19,19,22,579.7,0,0,0
"28",17,3,101,32,18,11,"前橋・高崎","北上中部",173,8750,1,734,14.082083,1,0,6,6,9,544.4,0,0,0
"29",17,4,101,33,18,11,"前橋・高崎","両磐",135,7880,1,810,10.260317,1,0,0,0,1,489.5,0,0,0
"30",17,42,101,331,18,30,"前橋・高崎","県南",244,11120,1,592,10.065206167,1,0,8,10,11,837.9,0,0,0
"31",17,43,101,341,18,31,"前橋・高崎","広島",285,12310,1,510,10.9806595,1,0,10,13,21,999.2,0,0,0
"32",17,44,101,342,18,31,"前橋・高崎","備後",262,11660,1,556,9.443101167,1,0,0,1,1,896.2,0,0,0
"33",17,45,101,351,18,32,"前橋・高崎","山口",313,13500,1,454,19.77143274,1,0,3,3,4,1132,0,0,0
"34",17,46,101,352,18,32,"前橋・高崎","下関",456,13820,1,168,14.349542,1,0,1,1,1,1193.7,0,0,0
"35",17,47,101,353,18,32,"前橋・高崎","宇部",445,13820,1,190,22.458233,1,0,0,1,1,1167.1,0,0,0
"36",17,48,101,354,18,32,"前橋・高崎","岩国",395,12960,1,290,15.360497,1,0,0,0,0,1040.6,0,0,0
"37",17,49,101,355,18,32,"前橋・高崎","徳山",310,13180,1,460,16.16646,1,0,1,1,1,1087.7,0,0,0
"38",17,50,101,401,18,37,"前橋・高崎","福岡",349,14470,1,382,10.629495,1,0,7,20,22,1279.9,0,0,0
"39",17,51,101,402,18,37,"前橋・高崎","北九州",332,14150,1,416,9.620309333,1,0,8,12,22,1212.7,0,0,0
"40",17,5,101,41,18,12,"前橋・高崎","仙台",99,6480,1,882,10.194296,1,0,28,28,75,396.2,0,0,0
"41",17,6,101,43,18,12,"前橋・高崎","古川",123,7560,1,834,13.939844,1,0,0,0,3,460.6,0,0,0
"42",17,52,101,432,18,41,"前橋・高崎","八代・芦北",449,15660,1,182,11.372347667,1,0,0,0,0,1431.2,0,0,0
"43",17,53,101,461,18,44,"前橋・高崎","鹿児島",494,16850,1,92,10.790400167,1,0,2,5,7,1568.8,0,0,0
"44",17,54,101,462,18,44,"前橋・高崎","川北薩・串木野",482,16520,1,116,9.709810167,1,0,0,0,0,1522.7,0,0,0
"45",17,7,101,51,18,13,"前橋・高崎","秋田臨海",226,10150,1,628,11.18737,1,0,11,15,23,707,0,0,0
"46",17,8,101,61,18,15,"前橋・高崎","山形",161,6800,1,758,10.194444,1,0,4,4,12,404.3,0,0,0
"47",17,9,101,63,18,12,"前橋・高崎","米沢",127,5940,1,826,10.630839,1,0,6,6,11,357.3,0,0,0
"48",17,10,101,64,18,12,"前橋・高崎","新庄",209,7560,1,662,9.315831,1,0,0,0,1,465.8,0,0,0
"49",17,11,101,71,18,12,"前橋・高崎","福島",91,5400,1,898,10.856529833,1,0,11,11,29,317.2,0,0,0
"50",17,12,101,73,18,17,"前橋・高崎","郡山",76,4750,1,928,11.864114,1,0,5,5,31,271.1,0,0,0
"51",17,13,101,76,18,17,"前橋・高崎","白河",83,4000,1,914,11.427815667,1,0,3,3,19,229.8,0,0,0
"52",17,14,101,91,18,18,"前橋・高崎","宇都宮",49,2590,1,982,11.024745667,1,0,36,36,915,153.9,0,0,0
"53",17,15,101,93,18,18,"前橋・高崎","栃木・小山",40,2270,1,1000,18.316938259,1,0,4,4,265,125,0,0,0
