"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","prob1","prob2","share1","share2","out.share2"
"1",1,1,22,22,10,10,"南部","南部",NA,NA,NA,NA,45.047698,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2",1,1,22,22,10,10,"南部","南部",0,NA,1,1080,9.989086,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"3",1,2,22,31,10,11,"南部","盛岡",NA,NA,NA,NA,53.741119,0,NA,0,133,139,0,0,0,0,0,0,0.001,0.001,0.0421654676258992
"4",1,2,22,31,10,11,"南部","盛岡",36,1660,1,1008,6.519236,1,0,133,133,139,96.6,0,0,0,1,0.956834532374101,0.999,0.956834532374101,0.0421654676258992
"5",1,3,22,32,10,11,"南部","北上中部",NA,NA,NA,NA,26.456241,0,NA,0,8,157,0,0,0,0,0,0,0.001,0.001,0.948044585987261
"6",1,3,22,32,10,11,"南部","北上中部",36,2270,1,1008,10.20079,1,0,8,8,157,131.9,0,0,0,1,0.0509554140127389,0.999,0.0509554140127389,0.948044585987261
"7",1,4,22,33,10,11,"南部","両磐",NA,NA,NA,NA,76.497531,0,NA,0,5,24,0,0,0,0,0,0,0.001,0.001,0.790666666666667
"8",1,4,22,33,10,11,"南部","両磐",74,3350,1,932,6.379024,1,0,5,5,24,186.8,0,0,0,1,0.208333333333333,0.999,0.208333333333333,0.790666666666667
"9",1,5,22,41,10,12,"南部","仙台",NA,NA,NA,NA,37.81483,0,NA,0,246,423,0,0,0,0,0,0,0.001,0.001,0.417439716312057
"10",1,5,22,41,10,12,"南部","仙台",110,5080,1,860,6.313003,1,0,246,246,423,280.1,0,0,0,1,0.581560283687943,0.999,0.581560283687943,0.417439716312057
"11",1,6,22,43,10,12,"南部","古川",NA,NA,NA,NA,88.601564,0,NA,0,0,23,0,0,0,0,NA,0,NA,0.001,0.998
