i,j,空港i,空港j,航空会社,旅客数,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,エアライン参入数,鉄道ダミー,OD,utility,sumexputility,fittedprob,observedprob,DIS,Seat,Freq,MC,LF
18,25,東京,大阪,JAL,1262583,70,24600,12,800,17.719066,3,0,25143439,1.796728252,52.40310538,0.115067358,0.050215207,514,375.3920923,5463,5140,61.6
18,25,東京,大阪,ANA,1324401,65,24600,7,760,17.719066,3,0,25143439,1.217612363,52.40310538,0.064483011,0.052673821,514,423.0757457,5096,5140,61.4
18,25,東京,関西,JAL,249460,70,24600,3,800,17.719066,3,0,25143439,1.796728252,52.40310538,0.115067358,0.009921475,678,164.1153003,2281,6780,66.6
18,25,東京,関西,ANA,242305,70,24600,7,650,17.719066,3,0,25143439,1.217612363,52.40310538,0.064483011,0.009636908,678,227.0970934,1617,6780,66
18,25,東京,関西,SFJ,150657,73.33333333,20700,4,490,17.719066,3,0,25143439,1.483446375,52.40310538,0.084119281,0.005991901,678,144,1455,6780,71.9
18,25,成田,大阪,JAL,105150,75,25000,3,755,63.540196,3,0,25143439,1.796728252,52.40310538,0.115067358,0.004182005,589,205.2908093,729,5890,70.3
18,25,成田,大阪,ANA,87751,75,24600,2,740,63.540196,3,0,25143439,1.217612363,52.40310538,0.064483011,0.003490016,589,212.0533752,637,5890,65
18,25,東京,南紀白浜,JAL,66373,80,27000,2,400,17.719066,3,0,25143439,1.796728252,52.40310538,0.115067358,0.002639774,634,157.6995708,932,6340,45.2
18,25,東京,神戸,JAL,120191,75,24600,3,755,17.719066,3,0,25143439,1.796728252,52.40310538,0.115067358,0.004780213,695,229.6038514,727,6950,72
18,25,東京,神戸,ANA,114621,70,24600,4,320,17.719066,3,0,25143439,1.217612363,52.40310538,0.064483011,0.004558684,695,249.6654412,816,6950,56.3
18,25,東京,神戸,SKY,258947,70,11400,6,690,17.719066,3,0,25143439,1.463583731,52.40310538,0.082464934,0.01029879,695,177,1895,6950,77.2
18,25,東京,新大阪,JR,21161000,150,14450,1,780,6.872543,0,1,25143439,-4.866433175,52.40310538,0.000146953,0.841611205,NA,NA,NA,NA,NA
18,37,東京,福岡,JAL,1526552,110,36700,13,785,17.719066,3,0,5587903,2.052925178,58.51114951,0.133148245,0.273188708,1041,386.851158,6779,10410,58.2
18,37,東京,福岡,ANA,1605033,110,36700,14,805,17.719066,3,0,5587903,2.27830094,58.51114951,0.16680724,0.287233511,1041,416.2271593,6414,10410,60.1
