i,j,駅i,駅j,distance,cost
1,1,東京,東京,0,#N/A
1,2,東京,品川,6.8,200
1,3,東京,新横浜,28.8,500
1,4,東京,小田原,83.9,1490
1,5,東京,熱海,104.6,1940
1,6,東京,三島,120.7,2270
1,7,東京,新富士,146.2,2590
1,8,東京,静岡,180.2,3350
1,9,東京,掛川,229.3,4000
1,10,東京,浜松,257.1,4430
1,11,東京,豊橋,293.6,5080
1,12,東京,三河安城,336.3,5620
1,13,東京,名古屋,366,6260
1,14,東京,岐阜羽島,396.3,6480
1,15,東京,米原,445.9,7340
1,16,東京,京都,513.6,8210
1,17,東京,新大阪,552.6,8750
1,18,東京,新神戸,589.5,9290
1,19,東京,西明石,612.3,9610
1,20,東京,姫路,644.3,9830
1,21,東京,相生,665,9830
1,22,東京,岡山,732.9,10480
1,23,東京,新倉敷,758.1,10480
1,24,東京,福山,791.2,10800
1,25,東京,新尾道,811.3,11120
1,26,東京,三原,822.8,11120
1,27,東京,東広島,862.4,11340
1,28,東京,広島,894.2,11660
1,29,東京,新岩国,935.6,11990
1,30,東京,徳山,982.7,12310
1,31,東京,新山口,1027,12640
1,32,東京,厚狭,1062.1,12960
1,33,東京,新下関,1088.7,13180
1,34,東京,小倉,1107.7,13180
1,35,東京,博多,1174.9,13820
1,36,東京,新鳥栖,1203.5,14150
1,37,東京,久留米,1210.6,14150
1,38,東京,筑後船小屋,1226.4,14150
1,39,東京,新大牟田,1244.2,14470
1,40,東京,新玉名,1265.3,14470
1,41,東京,熊本,1293.3,14800
1,42,東京,新八代,1326.2,15010
1,43,東京,新水俣,1369,15340
1,44,東京,出水,1385,15340
1,45,東京,川内,1417.7,15660
1,46,東京,鹿児島中央,1463.8,15980
1,47,東京,上野,3.6,190
1,48,東京,大宮,30.3,580
1,49,東京,小山,80.6,1490
1,50,東京,宇都宮,109.5,1940
1,51,東京,那須塩原,157.8,2590
1,52,東京,新白河,185.4,3350
1,53,東京,郡山,226.7,4000
1,54,東京,福島,272.8,4750
1,55,東京,白石蔵王,306.8,5400
1,56,東京,仙台,351.8,5940
1,57,東京,古川,395,6480
1,58,東京,くりこま高原,416.2,6800
1,59,東京,一ノ関,445.1,7340
1,60,東京,水沢江刺,470.1,7560
1,61,東京,北上,487.5,7880
1,62,東京,新花巻,500,7880
1,63,東京,盛岡,535.3,8420
1,64,東京,いわて沼宮内,566.4,8960
1,65,東京,二戸,601,9610
1,66,東京,八戸,631.9,9610
1,67,東京,七戸十和田,668,9830
1,68,東京,新青森,713.7,10150
1,69,東京,熊谷,64.7,1140
1,70,東京,本庄早稲田,86,1490
1,71,東京,高崎,105,1940
